1869808790_396459194704232448 x	Good night my fellow #flyersfans hard to not hang head, just stretch it out tomorrow night @7
1869808790_396458647146221568 x	Homer said i dont blame em, he should have said, "i suck as a gm" downie concus, vinny lost some teeth, both out, yeah homer, u suck!
1869808790_396457922051727360 x	RT @DNFlyers: Holmgren: "I don't blame the fans. If I was sitting there, I don't know if I'd be chanting but I'd be thinking few things. Pa?
1869808790_396456644408004609 x	@BroadStBull just gets more annoying with him, please send him on his way, time for the hexy experiment
1869808790_396456031397888000 x	@MBarkannCSN at least we beat one washington team #goodstart #goforthree
1869808790_396454690806038528 x	RT @FlyersNation: Nothing builds chemistry like beating the shit out of people.
1869808790_396448516610199553 x	Well one philly team beat Washington #lol
1869808790_396446549833969665 x	Dont agree with emery though, whats the point, were still fn losing! Yeah homer thats all u signed was a bunch of goons #terrible
1869808790_396446029564084224 x	Wow and meanwhile were still getting rocked, cool goalie fight, pretty crazy
1869808790_396436969074720768 x	Hey the Sixers r on, yeah its that bad people...
1869808790_396432669510467584 x	homer should b packing right oh n snider ur so smart to hire someone in ur organization as a coach n say u dont need a new way, #crap!
1869808790_396433684406231040 x	@tytompkins19 well ed snider thinks we dont need new ideas, so berube better start incorporating something new cause snider is clueless...
1869808790_396431714920464384 x	Yeah good idea to put hartnell back on the top line, r u kidding me berube?? How bout voracek or read im mean fucking seriously
1869808790_396431022591864832 x	@BroadStBull 10
1869808790_396430582747762688 x	@FlyersNation im gonna start wearing a paper bag over my head
1869808790_396429443193118720 x	Boooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!
1869808790_396428961632493569 x	Hahahahahahahaha fuck my life
1869808790_396428643523891200 x	Like i wish i could just tell these guys, "hey, chill the fuck out n just play hard n have fun, you all look fucking frustrated" #bs
1869808790_396428113661665281 x	Im patient but, im becoming frustrated with them, omgf its gonna b a loooong season #shit!!
1869808790_396427365842432001 x	Absolutely b.schenn in that, come on man......
1869808790_396426009782026240 x	@BroadStBull unless ur the caps
1869808790_396425054202109952 x	This is starting to get old, these players n u know who they r, need to score n start putting em up in bunches! #FLYERS!!
1869808790_396347058522963968 x	@VanCanucks at what cost?
1869808790_396292182904434688 x	@tytompkins19 wow, we could have brought up mcginn n taken that fn pick....
1869808790_396292844392284160 x	@tytompkins19 i couldnt c em giving us a 1st rounder for talbot, anyone idiot would take that in a heart beat
1869808790_396293872806268928 x	@tytompkins19 do u like the trade in general?
1869808790_396295807651287040 x	@tytompkins19 only thing i dont like bout the deal is that he is now the 11th player under homer to b brought back #samedirection
1869808790_396297367169019905 x	@tytompkins19 who's impressed u/stood out to u so far?
1869808790_396302984575209472 x	@tytompkins19 hes looked very good, i wouldnt mind em up top but he playing well on that line
1869808790_396305008830214144 x	@tytompkins19 yes def. Coots playing more offense under berube's system, i wanna c em break out, scheens looked decent, needs to shoot more
1869808790_396305829181550592 x	@tytompkins19 yeah thats his game though but i agree, he has a very good shot, i wanna c em put gls in asap, hes looked better though
1869808790_396308980718657537 x	@tytompkins19 thats vintage g, he played good vs Ducks vinny n him def. Clicking i just want voracek back up top did they put the lines up?
1869808790_396312204171280384 x	@tytompkins19 good, so raffl can slot down, n now our depth is better, thats my biggest point, max good pk but not depth wise
1869808790_396314860319158272 x	@tytompkins19 downie can play natural position, just hate that 4th line, cant wait for laughts/morin/hagg to b here #patience
1869808790_396316122271977472 x	@tytompkins19 could b sooner, esp. If we make a trade n get rid of some of our old d
1869808790_396321034359803905 x	@tytompkins19 morin i say def. Play next yr. Im done with coby, hes been playing better so trade his ass now! Lol
1869808790_396327242697302017 x	@tytompkins19 what would u trade though
1869808790_396342498496643072 x	@tytompkins19 get rid of mez but no one wants to take em on, coby/grossman maybe even simms idk lol
1869808790_396302686607638528 x	@tytompkins19 yeah agreed n for once we have a goalie playing well but the team isnt, usually the other way around #annoying
1869808790_396029451563466752 x	RT @BauerExperience: Happy Halloween from the Bauer Experience!!! http://t.co/7DZGb0jCuM
1869808790_396029114072961024 x	RT @btbamofficial: Limited edition Christmas themed crewneck. Will be on sale for three days in December only. More info coming soon. http:?
1869808790_396028347425505280 x	@Markrecchi8 my mom did ur kids first hair cut at salon d kids n i still have ur jersey, thanks for giving me an autograph when i was a kid!
1869808790_396027196042911744 x	@Laughts21 reno 911??
1869808790_396026825484550144 x	@nufced what kind of contract could he poss. Sign with the #flyers?
1869808790_396026042164740096 x	Halloween for adults at the #manorbar http://t.co/roPt5Qf0GD
1869808790_395982121334222848 x	RT @Eklund: the latest> Flyers trade Talbot to Avs for Steve Downie.  And still in deep discussions on another deal...> http://t.co/URbvLnh?
1869808790_395981592512180224 x	@BroadStBull since hes a ufa after this season, do u think he'll want to sign here?
1869808790_395980917006946304 x	@S9Downie welcome back to the orange n black!
1869808790_395970883262894080 x	RT @tytompkins19: I thought talbot was a good glue guy. But I see the upside with the deal. Flexibility moving forward
1869808790_395970584448094208 x	@tpanotchCSN more points than talbot has though downie 7pts talbot 2 pts plus hes younger, more trades to come panach??
1869808790_395968236585771008 x	Great trade, love talbot but downie is much better player #flyerstrades
1869808790_395949006737903616 x	What better way to celebrate Halloween then in orange n black #flyers
1869808790_395731425707958273 x	Great win for the #sixers making me want to watch more...
1869808790_395731102562000896 x	RT @SportsCenter: Michael Carter-Williams EXPLODES onto NBA scene in an upset over Heat. 9 steals are most EVER for rookie in a debut. http?
1869808790_395730233888112640 x	So r the redsox's gonna raise that thing with all the little pointy things on top of a circle thing
1869808790_395693716079644672 x	#sixers off to a good start vs raining champs n L.james
1869808790_395602223486754816 x	@JohnBorukCSN should flyers pursue dion phanuef in a trade?
1869808790_395611341425483777 x	@JohnBorukCSN yeah thats what i was thinking as well, how likely mez gets traded since no one wants to take on his contract?
1869808790_395606870419062784 x	@BroadStBull thats an interesting stat, hes playing better lately, does his 1st come sooner or later though??
1869808790_395606486623453185 x	So just thinking about after next season when b.ryan is a ufa n signs a nice contract with the #flyers ryan-giroux-voracek.........
1869808790_395592561181863936 x	@BroadStBull how likely is it that dion phaneuf doesnt resign with leafs n we get a shot at em in the os and or trade??
1869808790_395370972305711104 x	@eriksooy ok so your opionion on this, say no one wants mez, now add in say....simms to that pot, bring up mcginn in his spot perhaps??
1869808790_395372461451399168 x	@eriksooy /unless u get a young prospect in return, i like simms but do u "really" like em??
1869808790_395374816360161281 x	@eriksooy agreed! 2nd thought- dion phenufe is ufa, if doesnt sign, would u give the $ for em
1869808790_395377504640581632 x	@eriksooy yeah kinda stuck with him def......
1869808790_395371334110556161 x	@tytompkins19 2/2 now if no one wants mez's salary would u add in say simms to that pot n then bring up mcginn???
1869808790_395371172206223360 x	@tytompkins19 interesting thought, i tweeted to carchidi bout who should start mez or gus n he said, thinks mez is being show cased 1/2
1869808790_395362424058302464 x	Its an obvious win when u go up 2 gls early, started to looking lazy in 2nd n then 3rd forget about it #lazylegs
1869808790_395364032213168128 x	@eriksooy very poor effort in the 2nd/3rd defense looks old n slow, showcase mez carchidi tweeted to me because gus needs to start over him
1869808790_395365056281870336 x	@eriksooy thats the whole thing they want to get rid of his salary, carchidi said show case n they want his salary off the books
1869808790_395366507112583168 x	@eriksooy at this point i could c a poss. Sneak in but to early to say, right now they have to play 1st,2nd and 3rd period first off
1869808790_395368539672313856 x	@eriksooy if no one budges, throw in a pick to help, they have to get rid of em asap
1869808790_395365289300611072 x	@eriksooy at this point do u care what we get for em, hes doing nothing, n gus is clear starter imo, moves puck better, faster, healthier...
1869808790_395364217530114048 x	RT @tytompkins19: When the NHL starts playing 30 minute games the flyers will be a really good team....
1869808790_395362649590231040 x	Or at least a better chance to when u go up early, #torelaxed
1869808790_395236084772515840 x	#flyers 10W-9L vs ducks with an avrg. of 7-8 gls combined per game, so expect a high scoring affair tonight as history has it...
1869808790_395233935049113600 x	RT @CandiStrud: http://t.co/1EzO2kYH9s
1869808790_395190636414251008 x	@tytompkins19 QB! Lol unless barkley can show something cause he is gonna get a chance with a full weeks of prep. U?
1869808790_395216185660559360 x	@tytompkins19 do u think JM can b an automatic starter though?  If hes ava. I think chip would take a shot
1869808790_395219007508598784 x	@tytompkins19 well regardless, i think we need to draft a moblie qb for this system since vick is likely done n foles poss. Traded n bark??
1869808790_395221751577468928 x	@tytompkins19 u said jm was proj. As a 2nd rounder, at this point eagles will get a decent draft pick, waste on jm or gamble in 2nd??
1869808790_395224746599911425 x	@tytompkins19 well will c, depending where were at in 2014 draft, if chip wants em or someone, we might have to trade up, but we kinda suck
1869808790_395020040455864320 x	@RoobCSN @jim_yaz so this obviously means were going after a qb in the draft?
1869808790_395016035952513024 x	@BroadStBull agree with u, being a healthy scratch was wondering if something sooner was going to happen, hope he doesnt get hurt though..
1869808790_395014616058961920 x	@BroadStBull who should b starting, gus or mez?
1869808790_394522276378718208 x	@KevinWeekes given the injuies, is it surprising that kari lehtonen and josh harden r tops in the league in gaa/svp ??
1869808790_394521225432944640 x	@KevinWeekes
1869808790_394520063963041792 x	@MikeMiss975 they have to get shady going, hes having a quiet start yet again...
1869808790_394517899458908160 x	Booooooooooooooooooooooooo #Eagles
1869808790_394486103841210368 x	@billmeltzer @TheOrangeUpdate @jsaquella why cant we have mcginn play on the 4th line
1869808790_394487453165576192 x	@jsaquella @billmeltzer @TheOrangeUpdate true, would like depth though but prob. Better for his development
1869808790_394488906902958080 x	@jsaquella @billmeltzer @TheOrangeUpdate wpudlnt mind seeing holstorm, whats the latest on cousins, i feel like he could get a shot?
1869808790_394493629366280192 x	@TheOrangeUpdate @jsaquella agree so heres a thought, rinaldo great checker, kinda one demential, cousins or mcginn over em?
1869808790_394495436184371200 x	@TheOrangeUpdate @jsaquella i think i just always want to c more skill everywhere over the goon style we play is what im saying lol
1869808790_394495119485059072 x	@TheOrangeUpdate @jsaquella i know hes a 4th liner, i understand what ur saying, but mcginn/cousins may b just 3rd/4th liners in the nhl
1869808790_394486730126274561 x	@tytompkins19 how bout this trade offer, fitzs will prob. Get moved according to shefter, eagles persue?? D-jack n foles, keep our 1st??
1869808790_394486350260744192 x	@teebs41 better game play from our boys last night
