76801385_400140813650235392 x	@CodySiwicki i'm a socialite
76801385_400147235457212416 x	@CodySiwicki http://t.co/HV6DSbXTAt
76801385_400141236222173184 x	me currently http://t.co/E8XEuq9OY0
76801385_400139386823524352 x	wow why do i like this jake miller song goodbye im ending myself
76801385_400134592771788804 x	@riBEDOINGITlee omg i cant believe they made a song about u http://t.co/hTv9ajfYHx
76801385_400133999294554112 x	if u wanna listen to a song listen to this cuz i said so ok cya ur welcome http://t.co/2gwW1wxia1
76801385_400126148543123456 x	happy birthday @OhhMaiGoshh!!!!!!!!!!!!!
76801385_400103633301553153 x	OMfG THIS SONG IS SO GOODDDDD !!!1 http://t.co/V5UqkPfoEq
76801385_400082531527041024 x	the elite philly crew will be out in april @micchelle_g @sopphiiaaxo #FUCKINBANGERZ
76801385_400080027737284608 x	Bye go amputate yourself twice bitch @MileyCyrus fucking $995 for a meet & greet jk still love u
76801385_400067132370612224 x	OMG THANk da lord for amex so i can buy my miley tickets tomorrow unlike you whack hoes who dont have american express that have to wait
76801385_400066801062535168 x	DOES ANYONE FUCKING KNOW THE PRICE OF MILEYS VIP CAUSE I HEARD PRICES FROM $300 to $800 AND I NEED TO FUCKING KNOW
76801385_400020510828163073 x	FUCKIN BANGERZ
76801385_399764290095173632 x	soooo tired goodnight jk i prob wont go to bed for another hour
76801385_399702857185652736 x	http://t.co/IlogfV0kRh
76801385_399700658343129088 x	LMAO people act like that award was even real like austin mahone will never be nominated for a grammy he's a flop
76801385_399698891811344384 x	austin mahone only has fans cause people think he's cute lmao... He can't sing at all and he's horrible live. Ariana's fame will outlast his
76801385_399698015239548928 x	RT @flopney: Selegend truly is the new JLO. A mediocre actress doing the most with her 2 octave vocal range!
76801385_399669068711460864 x	OMG LAWD http://t.co/ctoa7DYGyH
76801385_399649424390909953 x	just saw the weeknd on the street in philly lmao
76801385_399616867259539456 x	Cant believe i just met harry styles with @micchelle_g holy shit #blessed
76801385_399611500278460417 x	omg harry styles in this hotel lobby ajaiabaiaagaonehajabiBa http://t.co/8B5xzpJxIe
76801385_399577121380925440 x	Ariana grande queen of pop #votearianagrande
76801385_399576252438568960 x	THIS WIND IS SO STRONG WTF MY WHOLE LIFE LIKE JUST BLEW AWAY
76801385_399574027179544576 x	im not fashionably late for once #wow #crazy #whoami
76801385_399573157066989568 x	lmao i can't with these people walking around campus playing their nintendo ds
76801385_399567839994322944 x	Justin Timberlake is staying at The Rittenhouse lol have fun it's impossible to meet anyone there
76801385_399553623921008640 x	PROTECTED
76801385_399553770918785025 x	@NickDelGaga @AustinMahone maphonie!
76801385_399395851216252928 x	happy birthday @ingridluv9!!!
76801385_399375234182041600 x	Austin Mahone's new single is such a mess lmao whoever told him that sounded good needs to be fired
76801385_399373168655085568 x	@lolannaidc my springbreak is right when playlist live is wow convenient :)))))))))))
76801385_399374969932500992 x	@lolannaidc i need to omgggg
76801385_399364780747919360 x	@lolannaidc r u going to playlist
76801385_399365785677996032 x	@lolannaidc i wish i was ?
76801385_399366544159174656 x	@lolannaidc buy me a flight xo
76801385_399371998612049920 x	@lolannaidc LMAO if you bought me a flight i'd be there so fast
76801385_399371743111831552 x	#YOLO http://t.co/fc1pnIwvcG
76801385_399363119891615744 x	@perksofbeingtor ok kelly
76801385_399361749788688384 x	@Brookebonsted we bouta go on a late night adventure
76801385_399353766572347392 x	@lolannaidc noooo lol
76801385_399342648642637825 x	I need http://t.co/xlvxQS4olV
76801385_399333685704421377 x	@PerryKala theyre gonna be in philly in feb!!!
76801385_399337020507840512 x	@PerryKala i've seem them twice and theyre amazing!!! I also ran into brendon in a starbucks once but didnt get a pic... I need one haha! ?
76801385_399342451238141952 x	@PerryKala we need to go to the showww n pop our ?
76801385_399334735127650304 x	@ArianaGrande QUEEN OF MISSING
76801385_399328038480924672 x	#votearianagrande this isnt even all of them lmao and im not sure why im on the floor in one http://t.co/BlIIDCRS7b
76801385_399300890596614145 x	omg i was walking around rittenhouse square yesterday and i probably walked right by the restaurant food network queen @GDeLaurentiis was in
