940324848_322025288047398912 x	@ff_marcello thank you!
940324848_395963006938796032 x	RT @nickklausner: I always got so pissed when I was younger when someone would pick Yoshi for MarioKart #thatsmy #dinosaur
940324848_394476385424908288 x	RT @MikeVick: #GameTime #BLEEDGREEN #LetsGO
940324848_394197806942281729 x	RT @MensCodes: If guns kill people, then pencils misspell words, cars make people drive drunk, and spoons make you fat.
940324848_394137979725553665 x	RT @ESPNNFL: RT if you have the @Eagles winning at home tomorrow vs the Giants.
940324848_393937633904451584 x	RT @Guys_Codes: Just found out they were called teletubbies because they have T.V screens in their stomachs.. My childhood has been solved.
940324848_393202988237729793 x	RT @MensCodes: You're such a good friend... http://t.co/DR5wsP59cr
940324848_393172850875858944 x	RT @LifeHacks: If you buy something on Amazon and the price goes down within 30 days, you can email them and they will refund how much the ?
940324848_392181252197212160 x	RT @urmindblown: Steve from "Blue's Clues" has a net worth of $22 million.
940324848_391965737998626817 x	RT @itsWillyFerrell: If I had a dollar for every time I got distracted, I wish I had some ice cream.
940324848_391965669753098240 x	RT @SexFactsOfLife: As a kind of foreplay before mating, female giraffes will urinate in the male?s mouth.
940324848_391965599011966976 x	RT @itsWillyFerrell: 2 pac of eminems for 50 cents? Man thats ludacris!
940324848_391965409269649408 x	RT @SexFactsOfLife: Having eye contact for more than 6 seconds without looking away or blinking reveals a desire for either sex or murder.
940324848_391965155854413824 x	RT @Eagles: Determined. #FlyEaglesFly http://t.co/MTWHtU1zKi
940324848_391964687967203328 x	RT @BroadStBull: Bourdon has been working out and says he is in best shape of his life. Now weighs a lean 227. #Flyers
940324848_389930539068948480 x	RT @msitkoffNHL: Jason Pominville has now scored against ALL 30 #NHL Teams @mnwild #Sabres
940324848_389500327642529792 x	RT @ESPNStatsInfo: Nick Foles is the 1st Eagles QB not named Michael Vick with at least 3 Pass TD & 1 Rush TD in a game since Donovan McNab?
940324848_389458128628379648 x	@RealGlenMacnow why do all eagles qb feel the need to throw the ball up when going down?!
940324848_389052514186055681 x	RT @MensCodes: Mind Blown... http://t.co/2gVJ18p9jX
940324848_388835509533155328 x	RT @OMGItsTheD: That moment when you realize, life's actually pretty damn good.
940324848_388520546394447872 x	RT @MensCodes: Bucket List http://t.co/bIMhnGOcY3
940324848_388514777322242048 x	RT @TheRock: Strip away all the noise and it'll always come down to this.. #YouVsYou http://t.co/lnLfOCULvl
