465927758_205619988902580225 x	Let's go Devils!!
465927758_400113768442920960 x	RT @rdfrs: #Atheist volunteers turned away by #Kansas City Rescue Mission - by Matt Campbell - Kansas City Star http://t.co/Jazr9Pj2Lu
465927758_398993225589211136 x	RT @TheNeighborsABC: RT if you thought Abby's dance was the greatest solo dance in the history of team dance competition! #TheNeighbors!
465927758_398989116295356416 x	RT @TheNeighborsABC: RT if you think we're watching the greatest crossover in television history! #TheNeighbors
465927758_394838302622511104 x	RT @GeorgeTakei: So. True. http://t.co/aQdI0oDrqx
465927758_394327415453138944 x	RT @TheTweetOfGod: As a rule, if the number of genders allowed to drive in your country is less than two, you live in an awful country.
465927758_394278697999826945 x	@TheTweetOfGod so that's what with Lucifer did.... Interesting.
465927758_394272248766660608 x	@reallycb nothing like ending my night watching the beautiful Catherine Bell.
465927758_196720584707674112 x	Go NJ Devils!!!!!!!!!!
465927758_394102773853462528 x	@TheGEICOGecko aw thanks buddy! I needed that today.
465927758_393872835443453952 x	RT @Todd_McFarlane: GIVEAWAY: #ACIV is almost here?To celebrate, I?m giving away some signed #ACS1 toys! RT & Follow for a chance to win! h?
465927758_393872695626326016 x	@Todd_McFarlane @assassinscreed amazing
465927758_393858448385130496 x	@JessieTaylor05 I would and I don't even know you
465927758_393678934325624832 x	@AntonioParis maybe it's a tour group
465927758_393674676846997504 x	@AntonioParis wait and see... And hope for the best
465927758_393674216115277824 x	@KacieFOX29 looking mighty beautiful today
465927758_393530418244640768 x	@More2History @AncientAliens awesome
465927758_393529967625404416 x	RT @More2History: The @AncientAliens marathon begins now on @More2History. #AncientAliens
465927758_393308743179730944 x	RT @AntonioParis: Dear Hoaxers, the more expensive and fancy software you use, the easier it is for us to detect a hoax.
465927758_392704680251641856 x	@maddow clearly he's never been to NJ.
465927758_380362127426748416 x	@PeriKelsey 1pm for east coast
465927758_377785679918678016 x	This year is hitting me hard, I never realized how young Don was when he was murdered, he was 28, the same I am  this year. ?
465927758_377784104873623553 x	God I miss him.
465927758_377783901793845248 x	Donald L. Adams One Wtc
465927758_376188409502773248 x	@NASA @NASALADEE  That was amazing!
465927758_376001908995268608 x	@AJRealMoney purchasing power, domestically and global.
465927758_363815782712897536 x	@KacieFOX29 ...
465927758_363815505477373954 x	@KacieFOX29 ....
465927758_358649767808991232 x	@nerdist I always got "hi Chris Black" in college.... But now I have no friends so yea... Enjoy it haha
465927758_338640601299947520 x	RT @rickygervais: It's almost as if The Bible was written by racist, sexist, homophobic, violent, sexually frustrated men, instead of a lov?
465927758_334904461480820737 x	I look out into the universe almost every night... Still the greatest friend I have.
