1603925156_392642209738412032 x	RT @JellyKones88: @TrailwaysNY @GreyhoundBus @GHoundBusHelp bouncing me back-and-forth
1603925156_399527376134361088 x	Some say I need to send mail & calls to corporate office of greyhound bus lines but as I have been through they're customers service BAD BAD
1603925156_399525159524388864 x	RT @GHoundBusHelp: @KaileyBurger Kailey, our apology was for the delay in responding. Thanks, AC.
1603925156_399370249273081856 x	@MikeyJulian @GreyhoundBus if you would of been able to call and get a human to answer you would of got it back but no just like my deal
1603925156_399367579577618433 x	@MikeyJulian @GreyhoundBus Mikey got the manager of 8yrs saying over 1 1/2 years ago they stop signing claims form and say I need 2 go after
1603925156_399366265607041024 x	RT @MikeyJulian: @GreyhoundBus @FFelvus so after finally getting thru, emailing, and DM'ing you a description of a bag that was for sure on?
1603925156_399366139299762176 x	@MikeyJulian @GreyhoundBus hey if I was able to call 5 stations I went to I may of got it but only 1 answered  4 one put me on hold 4 30mins
1603925156_399349858512826368 x	Greyhound Falls Asleep at Wheel In Crisis: http://t.co/URT8latGxk via @youtube
1603925156_399328936968351744 x	RT @KaileyBurger: @GHoundBusHelp it wasn't a delay it was a hostage situation. Calling later 2 get my $100 CAR REFUNDED Because ur replacem?
1603925156_399328884422111232 x	RT @GHoundBusHelp: @KaileyBurger Hi Kailey, our apologies for the delay. Pls DM us ur ticket confirmation#, address, & contact# so we may i?
1603925156_399328790117384192 x	RT @KaileyBurger: @GreyhoundBus @GHoundBusHelp Trapped inside broken down bus that's already 3 hours late on shoulder of triboro bridge! Ne?
1603925156_399328735209738241 x	RT @KaileyBurger: @GreyhoundBus @GHoundBusHelp YOU ARE THE ABSOLUTE WORST
1603925156_399321228726779904 x	RT @BradsCancerKids: Greyhound Lines, Inc. Headquarters, Dallas, TX - http://t.co/W6egHIzgGO
1603925156_399316752691372032 x	RT @MikeyJulian: @GHoundBusHelp it was an unchecked bag.  It was left underneath and continued on to NYC.  I can give you my bus number if ?
1603925156_399316650924994560 x	RT @MikeyJulian: @GHoundBusHelp I called the station, 4 different numbers 30 times no answer.  Why?  3423 is schedule number. Reference Num?
1603925156_399316624198873088 x	RT @MikeyJulian: @GHoundBusHelp can somebody contact me?  i can DM you my details?  willing to pay a reward for good service/help.  need my?
1603925156_399316571325476865 x	@MikeyJulian this is Fred felvus hope you get your luggage back from greyhound mine been lost since 6/16/13 and still no word
1603925156_399302563914203136 x	RT @GHoundBusHelp: @MikeyJulian The number for the baggage dept. is 212-971-6329 . Pls DM a descrption of the bag & we will reach out to th?
1603925156_399184917726519296 x	To the public of America why would you allow Greyhound bus lines to abuse your fellow Americans who works hard for their money
1603925156_399184284969615360 x	If this was your company would you allow it to happen to Americans that pay good money to ride your service but only a Greyhound bus they do
1603925156_399183836351066112 x	It been a week now no no word from greyhound bus lines @ghoundbushelp is this the proper customer service Americans expect to receive NO
1603925156_399182400221372417 x	RT @MadGeo7713: @GreyhoundBus in #Pittsburgh are rip off artists
1603925156_399182341303988224 x	RT @MadGeo7713: @GreyhoundBus in #Pittsburgh saw a #driver yelling at a deaf woman for trying #ToAskAQuestion
1603925156_399182168154726401 x	RT @MadGeo7713: @GreyhoundBus @GHoundBusHelp #cheatedme out of money #HorribleCompany
1603925156_399182133216169985 x	RT @MadGeo7713: @GreyhoundBus @GHoundBusHelp #onlycaresaboutmoney #horriblecompany
1603925156_399182028417298432 x	RT @MadGeo7713: @GreyhoundBus @GHoundBusHelp  #racist #rude #MoneyHungry #UnProfessional #HorribleCompany
1603925156_399181783759327232 x	RT @MadGeo7713: @GHoundBusHelp now I know why it's been almost 20 yrs before I even used this company again #Horrible
1603925156_399181713659920384 x	RT @MadGeo7713: @GHoundBusHelp I just heard ur employee tell u Im creating a problem I have been sittin here quietly since he askd me to si?
1603925156_399181593514086400 x	RT @MadGeo7713: @CXAlert @GreyhoundBus is the #worstcompanyEVER!!! Bus broke down and they don't care about me getting to see my critically?
1603925156_399181418942976000 x	RT @MadGeo7713: @CXAlert @GHoundBusHelp  @GreyhoundBus does not care about #FamilyEmergencies They just want to steal your money #HorribleC?
1603925156_399181290337234944 x	RT @MadGeo7713: @CXAlert @GHoundBusHelp @GreyhoundBus ur agents are not willing to help if they were I wldn't have 2 do this 2 get ur attn ?
1603925156_399181147634413569 x	RT @MadGeo7713: @GHoundBusHelp reach out how? I have been calling ur customer service line for different help for 2 days
1603925156_399180926401667072 x	RT @MadGeo7713: @CXAlert @GHoundBusHelp @GreyhoundBus I watchd ur driver yell & be #unprofessional 2 #deafwoman 2day I doubt ur resolution ?
1603925156_399180800392175616 x	RT @MadGeo7713: @GHoundBusHelp tellin me I cant adjust my ticket cause it's round trip. #Ridiculous #TiredOfPayingPeopleToBeRudeToMe #Horri?
1603925156_399180730762547200 x	RT @MadGeo7713: @CXAlert @GHoundBusHelp @GreyhoundBus I will #Walk before I #EVER use this #Company again for transportation. #IfYouHateYou?
1603925156_399180607189942272 x	RT @MadGeo7713: @GHoundBusHelp @GreyhoundBus I contacted you via twitter as requested 2 hours ago. Don't understand why no one on ur end an?
1603925156_399180349227679744 x	RT @MadGeo7713: @GHoundBusHelp @GreyhoundBus @CXAlert why am I not surprised that GHound Agents saw the barely able to stand drunk guy & st?
1603925156_399179718597292032 x	I have 1054 tweets that tell you greyhound bus lines do Americans wrong in so many ways that something needs done to STOP the abuse
1603925156_398781102695149568 x	7th day greyhound bus lines refused to answer my question here on twitter
1603925156_398615698068746240 x	OK folks greyhound bus won't answer here so I want to Facebook 1 & they answered my question so Y Ghoundhelp giving me silent treatment
1603925156_398613756311511040 x	When I resent my claim form Oct 30 they received it on that date but they say they still have not received it when they had it for 8 daysnow
1603925156_398601516468436993 x	Greyhound bus line refuses to answer my question going on six days now this is not the proper customer services I wish to deal with
1603925156_398593925159452673 x	@MadGeo7713 thanks for your help on retweeting I need all the help I can get in my fight with greyhound bus lines still no word 6th days now
1603925156_398282289345724416 x	RT @Troymission: @GreyhoundBus According to her only "broke, ghetto" travelers choose your company. How will Greyhound address this problem?
1603925156_398282242474381312 x	RT @Troymission: @GreyhoundBus "Security" at your San Bernadino station called me bitch AND insulted my choice of travel i.e. Greyhound (1/?
1603925156_398280929132945408 x	My Twitter page has my journey since my luggage was first lost all the proof you would need since June 18th 2013
1603925156_398280247835381760 x	If greyhound bus lines had a proper customer service I would have been able to call the bus stations that I went through 1 out of 5 answered
1603925156_398279827092164609 x	Is estimated 5830 and no where in bus stations I've been did I ever see poster stating if your luggage is worth more than this get insurance
1603925156_398279549966114817 x	The value of the contents in your luggage in listed in the claims form then to find out they only pay 1 flat fee of $250 my luggage claims
1603925156_398279325507923968 x	I didn't ask for no refund of my ticket I just simply want my lost luggage back but also found out use a lot of claims form you estimate
1603925156_398278796564234240 x	In a year and a half and he's been working there for 8 years all on tape its been 5 days since I ask him how long do i wait now
1603925156_398278473397329920 x	Didn't sign but only after they made me wait 90 days to tell me they need signatures but got  recording stating they have not signed claims
1603925156_398277895531274240 x	From them stating July 17th 2003 I have 90 days from that day to wait for the claims settlement offer by mail but then found out claims lady
1603925156_398277464742707200 x	That's when they said they first started looking for it tracer was put on 6/18/13 they said 90 days to wait after that but got a letter from
1603925156_398277074773098497 x	You know I only asked for my lost luggage back that Greyhound lost June 16th 2013 filled out claims form they received it July 17 that's
1603925156_398276575806124032 x	Got her on the voice recorder is well
1603925156_398276503051714560 x	Plus a video of the claims lady at the Buffalo bus station d9 its her but the very next day she's in the claims department
1603925156_398275774127824896 x	Year and a half he has not signed a single claims form and that Greyhound only goes by a certain part of the claims form all on tape
1603925156_398275421047107584 x	I got a voice recording saying that the manager at the Buffalo bus station stating he's been there for eight years and over a year and a
1603925156_398274638859743232 x	To fine out that claims department lady at Buffalo station didn't sign my claim form
1603925156_398274294897475584 x	Day 5 no word still from greyhound bus line on how long do I wait on my reentered my lost luggage claim after waiting 90 days 2 fine out
1603925156_397861977462427648 x	RT @MadGeo7713: @GHoundBusHelp @GreyhoundBus @CXAlert I sent a DM to GH for help and shock shock no one came. #WayToGoGreyhound #HorribleCo?
1603925156_397859074555252736 x	This is not the way to run a company like greyhound bus lines we the customers are your pay check you keep pissing the customers off
1603925156_397858221396070400 x	@GHoundBusHelp still waiting on response from you been 4 days now any word on my lost luggage claim or are you ignoring the subject
1603925156_397856940740866048 x	RT @MadGeo7713: @GHoundBusHelp @GHoundBusHelp @CXAlert @FFelvus that was #GHoundBusHelp exact words guess this company really doesn't care ?
1603925156_397856933287591936 x	RT @MadGeo7713: @GHoundBusHelp @GHoundBusHelp @CXAlert @FFelvus because they can make you wait cause thats wht they can & always will do #H?
1603925156_397856887338958848 x	RT @MadGeo7713: @GHoundBusHelp @GHoundBusHelp @CXAlert @FFelvus (cont) The only catch is they make u wait 7-14 business days. (Cont) #Horri?
1603925156_397856705461379072 x	RT @MadGeo7713: @GHoundBusHelp @GHoundBusHelp @CXAlert @FFelvus GHound gave me a small refund for the ridiculous treatment & delay #Horribl?
1603925156_397501407081025536 x	RT @PoCo_ChrisC: GHoundBusHelp http://t.co/AacjfVlhDD says you DO have a reservation system.
1603925156_397501263291883520 x	RT @PoCo_ChrisC: @greyhound @GHoundBusHelp say they DONT have a seat reservation system. their website says they do http://t.co/GzTzVuk4FH ?
1603925156_397501179745533954 x	RT @PoCo_ChrisC: @GHoundBusHelp I'd like to get on the bus for 645 tonight if possible your guy just bumped me to tmrw. Guess my reservatio?
1603925156_397501098413809664 x	RT @PoCo_ChrisC: @GreyhoundBus @ghoundbushelp turns out greyhounds reservation guarantee isn't actually a guarantee of a seat... Got bumped?
1603925156_397501057762615296 x	RT @PoCo_ChrisC: @greyhoundbus @ghoundbushelps turns out greyhounds reservation guarantee isn't actually a guarantee of a seat... Got bumpe?
1603925156_397500895673720832 x	RT @MadGeo7713: @GHoundBusHelp @GreyhoundBus I am now leaving #Pittsburgh @GreyhoundBus arrive in #FairmontWV @ 11:30p total 10.5 hrs late ?
1603925156_397500644086792192 x	RT @abassplaya525: @GHoundBusHelp We had to take a local to Boston.   Missed our connection.  Very rude driver BTW.
1603925156_397500572368392192 x	RT @abassplaya525: @GHoundBusHelp 11/2, 3:30am bus from NYC to Boston cancelled at 4am for NO SCHEDULED DRIVER!  Lackadasical and rude empl?
1603925156_397500513333542912 x	RT @abassplaya525: @GreyhoundBus bus service from NYC to Boston scheduled for 3:30am cancelled @ 4am..WTF!  The worst ever!  Avoid at all c?
1603925156_397375715831980032 x	@GHoundBusHelp this is Fred felvus is there any word on my claims 4 my lost luggage yet been 4 months now very piss on no response from you
1603925156_397374212241125376 x	RT @GHoundBusHelp: @SahraNathoo Hi, advance purchase is a discounted fare. This does not guarantee a seat and is first come first serve. Th?
1603925156_397374094930612224 x	RT @GHoundBusHelp: @abassplaya525 Hi, we are sorry to hear this. Can u DM us the ticket confirmation#, address, and contact#?  Did you visi?
1603925156_397373869444829184 x	RT @GHoundBusHelp: @MadGeo7713 Gorge, upon arriving into ur destination, contact us on twitter with ur total delay time.-AC
1603925156_397373312650981376 x	RT @GHoundBusHelp: @PoCo_ChrisC Chris, our sincere apologies. If u can, pls DM us ur ticket confirmation#. We will have this looked into on?
1603925156_397372208408174592 x	Day3 no word on greyhound bus lines on how long 2 wait 4 word on my claims that I resent in after waiting90days 4 them 2 tell me no1sign it
1603925156_396856904674459648 x	One day has pasted when I ask greyhound bus lines 1 thing how long b 4 I hear a response after I resent claim form in after waiting 90 days
1603925156_397154814217707521 x	@FFelvus two days now no response from greyhound bus lines about how long before I hear about my reentered claims form waited 90 days so far
1603925156_396858389420326912 x	My mission is to bring AWARENESS 2 America about the abuse greyhound bus lines is dishing out on they're customers & will do so till the end
1603925156_396855239946403841 x	How greyhound bus lines lie http://t.co/TWJd0NBGcQ
1603925156_396853870091337728 x	If you need proof how greyhound bus lines is read my 1000 tweets all you need to open American eyes on awareness
1603925156_396851441471868928 x	Sent in claims form in over 90 days waited 90 days then found out no one signed it resent sign one in again now how long the wait is now????
1603925156_396849611115347968 x	RT @GHoundBusHelp: @becca_chap Rebecca, we do not show a valid ticket purchase in the system under that name, for that date departing San F?
1603925156_396849479070273536 x	RT @GHoundBusHelp: @DamnGirlMelanie Hi, we r sorry to hear this. Was this a checked bag? If so a claim form & tracer must be done at the st?
1603925156_396849386179022848 x	RT @GHoundBusHelp: @DamnGirlMelanie The claim form must be filled out within 30 days of arriving into ur destination. Thanks, AC.
1603925156_396849254477869056 x	RT @DamnGirlMelanie: @GHoundBusHelp I lost my bag yesterday, and the workers are extremely unprofessional. What am I supposed to do now?
1603925156_396425029518626818 x	@GHoundBusHelp  I resent my claims in again after waiting 90 days 4 you to tell me there was no signatures on my claims how long 2 wait now
1603925156_396846715934105600 x	@GHoundBusHelp hello greyhound social media are you there waiting for questions to be answered on how long the wait is going to be now
1603925156_395735194579529728 x	RT @JimDavid1: @GHoundBusHelp @greyhoundbus for the full refound of our tickets (round trip, for all the problems) Confirmation number 1698?
1603925156_395734826726461440 x	RT @GHoundBusHelp: @forest_green Our sincere apologies. If u can, pls DM ur travel itinerarly. We will be glad to provide fare & scheduling?
1603925156_395734433363668992 x	RT @NYCountrykid: How do you employ people who don't know the bus routes @GHoundBusHelp
1603925156_395734262399651840 x	RT @GHoundBusHelp: @vivadz2011 Hello, thanks for reaching out to us. Please DM us any questions or concerns u may have. Thanks, AC.
1603925156_395734010317770754 x	RT @MyzWright: @GHoundBusHelp im on ride 4872 & there are roaches everywhere. Even the bus driver just pulled over BC they are on her! Neve?
1603925156_395733768348389376 x	RT @GHoundBusHelp: @rebekah_hollins  Greyhound is proud of the many capable and courteous employees working to provide a pleasant travel
1603925156_395733717697966080 x	RT @GHoundBusHelp: @rebekah_hollins Hello Rebekah,Thank you so much!  At Greyhound Lines, Inc., we strive to achieve a high standard of cus?
