409554238_341001030454091776 x	If it isn't Matt "Changed Player" Cooke, rearing his ugly head. #BecauseItsTheCup #NHL
409554238_394235788809867264 x	Adam Hall struggled a bit last game - but at least he could be used on penalty kill. Jay Rosehill can barely be used, period. #flyers
409554238_395392300421234688 x	#PagingClaudeGiroux #flyers
409554238_395363438710767616 x	Terrible third period is once again the story, continuing a two-year trend. Amazingly frustrating to watch game in and game out. #flyers
409554238_394294384121745409 x	Early in a long season, but nothing but love for Steve Mason thus far - pleasant surprise on a struggling team. GAA 2.15 & .930S%. #flyers
409554238_394294037022113792 x	Looking at goaltenders with five games played or more, Steve Mason ranks in top ten for goals against average and save percentage. #flyers
409554238_394284843988557824 x	Sean Couturier led all forwards on either team in time-on-ice (20:03). He was strong defensively tonight and trusted by Berube. #flyers
409554238_394282328190484480 x	Cal Heeter (@Heeter1) stopped thirty-five of thirty-six shots in star performance to lead Adirondack Phantoms to victory. #ADKPhantoms
409554238_394274344039641088 x	Jake Voracek and teammates keeping pressure going in this third period, and draws penalty - he has been strong on puck tonight. #flyers
409554238_394273632215891968 x	What an effort by Vincent Lecavalier - deserved hat-trick. Playing on Giroux's wing seems to be working just fine so far, thanks. #flyers
409554238_394250306684346370 x	The most obvious difference in this game versus all others is the skating. This team is pressuring the puck and it is paying off. #flyers
409554238_394237963342594048 x	#PagingThomasVanek is the stupidest hashtag going. #flyers
409554238_394198675766792192 x	Jason LaBarbera pulled and comes to bench visibly upset. Sits for one save against, is put back in and Edmonton Oilers score. Crazy! #NHL
409554238_394123314958184448 x	"@dianacnearhos: Phantoms come up empty vs. Norfolk http://t.co/bg9hu40X4b" Interesting - and truthful - quotes from Rob Bordson here.
409554238_393923441595645954 x	RT @dianacnearhos: Not a night when a lot of people wanted to talk, a few ignored me. Props to Bordson for not only talking, but at length.
409554238_393914691908423680 x	John Gibson gets first professional shutout. Thirty-eight saves is never easy, against this offense - about as easy as it gets. #ADKPhantoms
409554238_393913595139870720 x	RT @dianacnearhos: Attendance was never announced, but it was rather sparse for a Friday night.
409554238_393913563657433088 x	RT @dianacnearhos: There's not much of a crowd but it is expressing its displeasure with a round of boos at the buzzer.
409554238_393907965280808960 x	Like last year, Adirondack Phantoms seem to unravel when losing - which happens often. Fights and penalties, rather than goals. #ADKPhantoms
409554238_393897001592438785 x	Jason Akeson loses his feet untouched and Nick Cousins sent sprawling over him - because this teams powerplay is that bad. #ADKPhantoms
409554238_393883820962754560 x	In an even more surprising move, Derek Mathers is allowed to dress and now joins his team on the ice. Weird sequence of events. #ADKPhantoms
409554238_393880660252692480 x	Tyler Brown removed from Adirondack Phantoms game - Terry Murray makes official roster error. Derek Mathers was pencilled in. #ADKPhantoms
409554238_393554135016288256 x	RT @philabright: Matt Read really stood up tonight. SH goal, game-winning assist and team-high 22:12 TOI.
