23452088_396762829208170496 x	Did Ray Emery Kill anyone today?
23452088_394616251861176320 x	More like rascal FATTS AMIRITE?  #WorldSeries
23452088_394620067599904769 x	Hybrid icing is easier to understand than this obstruction rule.
23452088_395365715341225984 x	Sixers-ranked 30th in the NBA.  No one shows up Flyers-the 2nd worst record in the NHL  Sellout.  Talk about the walking dead.  #flyerstalk
23452088_395363948993974272 x	RT @Wttpfbs215: Flyers, 3-8  their worst 11 game start of the franchise history?
23452088_395362972924919809 x	Must watch #flyerstalk  http://t.co/sEW6BLQUFu
23452088_395359518726836225 x	Hey....I thought the Heat were going to tank the season too? #winlessforwiggins
23452088_395358339544395776 x	If Derrick Rose can't score against the Heat what makes you think James Anderson will? #longseason #WinlessForWiggins #sixerstalk
23452088_395356282183753728 x	The Heat are up 20 against the Bulls. WTF? Tomorrow's Sixers is going to be nba equivalent of Sandy #destroyed  #strongerthanlebron #sixers
23452088_395353699570429952 x	RT @fakelavy: #TEEMUFOREVER
23452088_395353622537842688 x	I thought teemu Selanne died?
23452088_395353282497224704 x	Maybe Papa John's deal should be if the opponent scores three or more goals #flyerstalk
23452088_395328667192426496 x	RT @CSNPhilly: Sixers coach Brett Brown on Allen Iverson: "He amazes me." @jrfingercsn has the story: http://t.co/fHG7EoAHsZ #SixersTalk
23452088_395325158015377408 x	RT @Winless4Wiggins: IN CASE YOU MISSED IT: here's my shoutout on @SportsCenter today (about 2:30 into the video) http://t.co/uAALLg4OAV
23452088_395324058709291008 x	RT @FOX29philly: Fmr Eagles WR Freddie Mitchell sentenced today in court to more than 3 years in prison for Federal Tax Fraud
23452088_395316658539352064 x	The title for this year's Flyers season is Orange is the new Blah.
23452088_395313917825925121 x	Yeah.....this is the car I would think would have this license plate. #scorting #flyerstalk http://t.co/qLl7HVnDJt
23452088_395290962806992896 x	Why when someone jumps on a tv show they always land on a car? I just saw a girl land on a car that was a half a block away. #unlucky
23452088_395257146369388544 x	RT @NOTSportsCenter: #NBA Power Rankings 1. Heat 2. Bulls ... 27. Kentucky 28. Flint Tropics 29. Lakers ... 94. Min. Lynx 95. Suns ... 998.?
23452088_395203048089616384 x	RT @Phillies: Five years ago today. Where were you? #2008WSchamps http://t.co/SdQ3Og6yAt http://t.co/bBRYDtFMMR
23452088_395165782889758720 x	RT @Winless4Wiggins: 5 years ago guys http://t.co/GE5ezSpahg
23452088_395152442381586432 x	RT @diegorojas: New reel of hilarious Star Wars bloopers gets unearthed http://t.co/36ffzc8Pxe #VFX #Animation
23452088_395138460321054720 x	@CNoskow you're welcome. You do the same.
23452088_395133709042872320 x	RT @_Philly_Talk: 5 year ago today your @Phillies were the 20008 World Champions of baseball!
23452088_395118782550921216 x	@CSNPhilly @sbaickerCSN they should have gone to 6600 van Kirk st. With some mylec air flows #flyerscountry
23452088_395117434807779329 x	RT @CSNPhilly: #Flyers surprise Ed Snider Youth Hockey Foundation kids by practicing in Kensington. @SBaickerCSN: http://t.co/l2kPM8hver #F?
23452088_394986026021978112 x	A year ago today this happened. #strongerthanthestorm http://t.co/Wj5tyQ9nrS
23452088_394991295888130048 x	@andygibson2311 I was bombed so it didn't feel painful.
23452088_394991120071278592 x	RT @andygibson2311: @SEACRESTOUT looks painful
23452088_394903571768303616 x	*drops the needle on the record*  "Cause we're stronger than lebroooonnnnn...."  @Sixers  #sixersstrong #sixerstalk http://t.co/3EF9x0oTiX
23452088_394894193510076417 x	RT @BleacherReport: LeBron James calls Allen Iverson "pound for pound the greatest player ever" http://t.co/2nM0s88MK4
23452088_394774983505100801 x	RT @kmattio: BABY ANDY REID. Brilliant. Parents of the year. (h/t @WillBrinson) http://t.co/iuJzXLbWrw / http://t.co/rTzWeIju5e
23452088_394621315145285632 x	RT @SteveDutzy: You Trekkies are a bunch of NERDS!  *Takes sip from Chewbacca cup *Hums Cantina theme *Lightsaber battles dog *Continues be?
23452088_394616087855529984 x	I know one thing that's not flatts. The lead singers belly #WorldSeries
23452088_394606309120950272 x	*watching Forest Gump with 9yo*  9: Wait.... this Is a true story, right?  Me: this story couldn't be more true  9: ......  Me: ahh....yes?
23452088_394544156573704192 x	More dick stockdon and ronde barber #POSITIVEEaglesTweets
23452088_394542544413261824 x	Eating Crab fries by 3 o'clock  #POSITIVEEaglesTweets
23452088_394540262095347714 x	For who cares.....for what ever #eaglestalk
23452088_394532329387200512 x	RT @PeteDymeck: Uncle Rico from Napoleon Dynamite @RoobCSN #QBsbetterthanBarkley
23452088_394529118173134848 x	RT @KevinCooney: When's the turnover coming?
23452088_394528342239887361 x	RT @BroadStPhanatic: Matt Barkley might not take us to the Super Bowl, but at least he took us to midfield.
23452088_394526740271595520 x	Just like we practiced it. #POSITIVEEaglesTweets
23452088_394526353951031296 x	Only three days till the quest for Wiggins begins. #POSITIVEEaglesTweets #WinlessForWiggins #sixerstalk #eaglestalk
23452088_394525395871358976 x	Brett Farves' at the airport.  #POSITIVEEaglesTweets
23452088_394524641077002240 x	We've picked up a ton of yards on fourth down. #POSITIVEEaglesTweets
23452088_394524346829795328 x	"So wait. There's two Peytons on the Giants?" #eaglestalk
23452088_394524118567354368 x	The Giants' field goal game  is outdoing the Eagles' punting game. #eaglestalk
23452088_394522247291236352 x	RT @GeoffMosherCSN: Uhhh, Vick and Barkley each have their helmets on. I'm done. #EaglesTalk
23452088_394521690761621505 x	R.I.P. Lou Reed Marky Mark and the Funky Bunch on Jay Leno-Wildside http://t.co/Za8GTndrhM
23452088_394486915996876800 x	#Represent http://t.co/D0EcZ3ZWI2
23452088_394485322387828736 x	@OHickenlooper thanks for the stars.
23452088_394477262789439488 x	I am watching an Elizabeth Shue movie that doesn't have karate or feature a Beach Boy's song. WTF?
