263549568_394468144355753984 x	@dynasty8314 Lmao!!!!
263549568_395380782405259265 x	Bosh my nigga my nigga
263549568_395205832931287041 x	Lmao love them soooo much!!!! tgibs15 @tgibsonracing http://t.co/msDzoGANRw
263549568_394656168783925248 x	I'm soooo excited I can't stand it
263549568_394660549361160192 x	@dynasty8314 it's a secret lol
263549568_394639194330767360 x	@dynasty8314 wonderful
263549568_394526955091288064 x	I uno if I like this picture or not http://t.co/k2v5YNo5IX
263549568_394476284895834112 x	One of my lip piercings fell out last night
263549568_394476974426836992 x	?@dynasty8314: @alyssaapaige23 did u find the ring u had in it? yea but not the ball ):
263549568_394478160706031616 x	?@dynasty8314: @alyssaapaige23 damn that sucks when's your birthday I know what to get u lol ??July 30th lol
263549568_394482920335106048 x	@dynasty8314 24
263549568_394493931029020672 x	@dynasty8314 30 is a great age
263549568_394474856898908160 x	Why does toe nail polish last like 7 decades but on my fingers last like 3 days -__-
263549568_394470224608915456 x	My call log is so funny to me right now
263549568_394471066401509376 x	?@dynasty8314: @alyssaapaige23 why you call a bunch of people? lol not at all.. It's literally 2 ppl alllll the way down LMAOOO
263549568_394472396528570369 x	?@dynasty8314: @alyssaapaige23 lol now that's funny? lol yup
263549568_394473424774791168 x	@dynasty8314 yayay it's turn up time for you!!
263549568_394473938371502080 x	?@dynasty8314: @alyssaapaige23 lol I know right ... What are u getting me for my birthday huh lol? prob the same thing I got you last year ?
263549568_394473236224028673 x	& this one video is super scary & at the time, I thought it was funny.
263549568_394473828002594816 x	@dynasty8314 I cantttttt.. It's horrible lol
263549568_394471465657307136 x	Whyyyyy my ex insist on texting me.. MOVE ON MAN. I deff have. ???
263549568_394471084818714624 x	@dynasty8314 I'm a loser
263549568_394469445818920961 x	& I love having intelligent conversation.
263549568_394465211203477504 x	Bailey would freakkkkk out if he couldn't sleep in the bed with me
263549568_394464449727561728 x	I can't sleep
263549568_394465669070454784 x	@dynasty8314 lol I dunno.. I'm really reevaluating my life. I was doing good for a while & I feel like I'm letting myself slip
263549568_394301451763478528 x	Ugly shirt. http://t.co/mwsLwoLxFh
263549568_394460259894689793 x	?@dynasty8314: @alyssaapaige23 if it's on you it can't be ugly u make everything look great?lmao well thank you!! (:
263549568_392799737394790400 x	?@J_Scalz: @alyssababyy23 when are we getting married ??? you tell me lol
263549568_392758501413748736 x	?@dynasty8314: @alyssababyy23 love your new pic you look fantastic? thank you!
263549568_392776956183588864 x	?@dynasty8314: @alyssababyy23 no problem you still in myrtle beach?yup
263549568_392777404038782976 x	@dynasty8314 I live here
263549568_392788755507322880 x	This is what my ex is having sex with y'all.. & she got that un-curable!!! ???? http://t.co/c38HN9hzhK
263549568_391965972883865600 x	Last night ? http://t.co/9ReUO0vNVS
263549568_391391721210527744 x	Shout out to everyone that said I couldn't do it.. ? http://t.co/4dTcdn5dGE
263549568_391406045803061248 x	?@dynasty8314: @alyssababyy23 you look fantastic? thank ya!!
263549568_390966344671563776 x	I made these jeans myself almost 4 years ago & I ALMOST fit in them again.. When I do,, I have succeeded ?? http://t.co/3NJtQhnD2I
263549568_390962641654804480 x	I need some foooood
263549568_390965611138129920 x	@dynasty8314 grrrr lol
263549568_390268785724518400 x	a shoutout to @mooredaryle just because! (:
263549568_390318958488068096 x	Shout out to @dynasty8314 bc I can (;
263549568_389026174774824960 x	I need to be laying out on the ocean right now.. Too bad I'm too lazy to get up & do that
263549568_389051956729491456 x	?@dynasty8314: @alyssababyy23 man I wish I lived that close to the beach and it still be that warm lol? yeah it's amazing
263549568_389056484614877185 x	?@dynasty8314: @alyssababyy23 are you at the beach now??? Nope I'm still laying in bed lol
263549568_388731890959912960 x	Jobbbb. http://t.co/nXZmwY0JTJ
263549568_386683523320795136 x	?@dynasty8314: @alyssababyy23 hey how are things going? super great! & you??
263549568_380011709098110976 x	I need to sale this couch before I move, I've only had it for 7 months.. 300 obo http://t.co/sWpERgaO8r
