1671124794_392121584141737985 x	@RunRyanRunyan yup. Fort Lauderdale.
1671124794_396406257239592960 x	RT @OwlScoop_com: http://t.co/7bueheh9j9 Gameday preview: http://t.co/7bueheh9j9's Gameday Preview breaks down all the key matchup... http:?
1671124794_396385775723745281 x	RT @OwlScoop_com: Per a letter that went out to Temple University's Owl Club, Kevin Clark has been named the university's permanent athleti?
1671124794_396385697005072384 x	RT @OwlScoop_com: http://t.co/7bueheh9j9 Rutgers vs. Temple: Who has the edge: After suffering two straight defeats, Rutgers welc... http:/?
1671124794_396294718071767040 x	RT @OwlScoop_com: http://t.co/7bueheh9j9 Recruiting roundup:  http://t.co/mCNtm6ZrEm
1671124794_395757153447084033 x	RT @RunRyanRunyan: That moment when the Sixers beat God's favorite team Miami
1671124794_395210736726581248 x	RT @SportsCenter: Miguel Cabrera underwent "core muscle repair" surgery today in Philadelphia. Tigers expect him to be ready for Spring Tra?
1671124794_395205837267804160 x	RT @OwlScoop_com: Per http://t.co/ygQsaRpUnF's Bobby Deren @DraftSeason, it's been 767 days since QB Chas Dodd has started a game at Rutger?
1671124794_395205614428635136 x	RT @OwlScoop_com: http://t.co/7bueheh9j9 Media day musings: Temple basketball coach Fran Dunphy and several of his players spoke ... http:/?
1671124794_394973837559083008 x	RT @OwlScoop_com: http://t.co/7bueheh9j9 Rhule dissects SMU, previews Rutgers: Matt Rhule talked more about the Owls' 59-49 loss ... http:/?
1671124794_394190203495403520 x	RT @OwlScoop_com: WR John Christopher hauled in a diving TD reception and the Owls have a 21-7 lead. Pulled that in with one hand and kept ?
1671124794_394190148377657344 x	Can't get to a TV or computer to watch today's game? Follow @OwlScoop_com for updates.
1671124794_394176188811182080 x	Follow the action on http://t.co/Sm2mTcxVnF: Temple (1-6, 0-3) at SMU (2-4, 1-1)  3:00 p.m. EST Television: ESPN3 Radio: 1210 AM WPHT
1671124794_393819875061530624 x	RT @OwlScoop_com: @MarkWhited215 and http://t.co/7bueheh9j9 have you covered with our preview of Saturday's Temple-SMU game. http://t.co/jL?
1671124794_393810232029507584 x	RT @OwlScoop_com: http://t.co/7bueheh9j9 Recruiting roundup: http://t.co/7bueheh9j9's Recruiting Roundup takes a look at how some ... http:?
1671124794_393471720889528320 x	RT @OwlScoop_com: @TheTempleNews is once again an Editor & Publisher EPPY Award finalist for Best College Newspaper Website in America http?
1671124794_393148192579002368 x	That awkward moment when you feel special because @JoeyBats19 followed you on Twitter, but later realize he follows 117,000 others.
1671124794_392351947967463424 x	RT @RealGlenMacnow: Eags lose, Foles plays awful, Victorino GS puts Sox in WS, @dom9brown taunts us, @MVFive calls us MFers, Reid is 7-0. H?
1671124794_392351275742146560 x	RT @OwlScoop_com: An early look at SMU and Matt Rhule's portion of today's American Athletic Conference coaches teleconference. http://t.co?
1671124794_392307103601549312 x	RT @OwlScoop_com: http://t.co/7bueheh9j9's Mark Whited @MarkWhited215 breaks down Temple's defensive performance against Army. http://t.co/?
1671124794_392154091927134208 x	RT @RunRyanRunyan: @MarkWhited215 #classicMark
1671124794_392113099547099136 x	@RunRyanRunyan I've done it once. Unbelievable experience.
1671124794_392123310047526912 x	@RunRyanRunyan I'm really bad at Twitter. I keep retweeting you, rather than replying lol.
1671124794_392122870551556096 x	RT @RunRyanRunyan: @MarkWhited215 well damn haha that would be nice
1671124794_392121192221802497 x	RT @RunRyanRunyan: @MarkWhited215 a week?
1671124794_392113721189105664 x	I think I might need to change my profile pic. The egg isn't really a good look.
1671124794_392112702744977408 x	RT @JonHeymanCBS: here are our predictions. my prediction: some will be right, some wrong. http://t.co/iwbLItxMBL
1671124794_391957340976873473 x	RT @OwlScoop_com: @gpaone121 writes about Temple wide receiver Jalen Fitzpatrick's breakout game http://t.co/KfZM7zGSXJ in the Owls' 33-14 ?
1671124794_391937485171093504 x	RT @OwlScoop_com: We'll have all the postgame interviews and complete coverage of the win at http://t.co/7bueheh9j9.
1671124794_391657879595278336 x	Temple wins its first game of the season, 33-14 over Army.
1671124794_391655644798795776 x	Temple gets its second interception of the season, credited to LB Tyler Matakevich.
1671124794_391653757382975488 x	Will #picklessnomore become a trend now?
1671124794_391653477124177920 x	RT @OwlScoop_com: A Temple defense that came into today's game 84th in the nation in scoring defense got its first INT and defensive TD of ?
1671124794_391652528120541184 x	On a pass intended for WR Xavier Moss, CB Tavon Young records the Owls first interception of the year.
1671124794_391651719131979776 x	RT @jcrasnick: Leyland: "Prince Fielder is not the only guy in the National or American League playoffs who's struggling right now.'' #tige?
1671124794_391651302637584384 x	RT @BenRevere9: Every team team in the east is going down that mean UK may have a chance!! Lol
1671124794_391649846601711617 x	RT @OwlScoop_com: Temple went scoreless in the second half at Cincinnati last week and has just 7 points in the second half this week.
1671124794_391649211768246273 x	No TD. But on the next play, Kelvin White runs it in for one. PAT good. That's 14 unanswered points. Owls' still up, 33-14.
1671124794_391648390548692992 x	TD is under review.
1671124794_391648286655799296 x	9-yard TD reception for Army FB Larry Dixon.
1671124794_391647373123809280 x	At the end of the third quarter, Temple is well on the way to its first win of the 2013 campaign, with a 33-7 lead over Army.
1671124794_391645887262257152 x	QB Kelvin White back under center for Army.
1671124794_391645204635451393 x	RT @OwlScoop_com: Chris Parthemore, who's not having the best day blocking, was just flagged for a hold on the kickoff return. Temple will ?
1671124794_391644977194749952 x	Army WR Patrick Laird with Army's first TD on a 14-yard catch. PAT good. Owls lead 33-7. #scorelessnomore
1671124794_391643259879297024 x	RT @OwlScoop_com: Temple is looking for its first shutout since the Owls posted consecutive shutouts against Ball State (42-0) and Buffalo ?
1671124794_391641219312283648 x	Following a fumble recovery by Tyler Matakevich, freshman RB Zaire Williams runs for a 15-yard TD. PAT Good. Owls lead 33-0.
1671124794_391639877504102400 x	@DJ_RaYdiO at homecoming?
1671124794_391638425561886720 x	Army brings in their third QB of the game, Tevin Long.
1671124794_391637824442605569 x	Second-half underway; Owls lead 26-0.
1671124794_391637501917417472 x	How is this for a stat: In the first half, Army has thrown for only 12 yards.
1671124794_391630015143481344 x	Temple goes for two on the PAT. Fails to score.
