393422417_307852830084063232 x	@jaaninerose thank you.
393422417_393473730288308224 x	@MikeMiss975 Tim biakabatuka.
393422417_380895466541817856 x	@TonyBrunoShow is that all the time now or just tomorrow?
393422417_373279770714591232 x	@dmoore910 @DanaMarie133 @Dooeys_Road @mteek @KeenansNW must be tough work playing the same songs for last 8 years. #nopassionteek
393422417_373293102943195136 x	@dmoore910 @DanaMarie133 @Dooeys_Road @mteek @KeenansNW not sure what's worse. A) DJ TEEK B) Tim Tebow
393422417_373293528614711296 x	@dmoore910 @DanaMarie133 @Dooeys_Road @mteek @KeenansNW can't wait to dance to Mumford n Sons this weekend. #ShitNoOneSays
393422417_373291420385554432 x	@scottstratton4 @Dooeys_Road not surprised. Only 3rd biggest wknd of summer.Maybe he should stop playing all I want for Christmas it's you.
393422417_373291787110338561 x	@scottstratton4 @Dooeys_Road * is you.
393422417_373182045461417984 x	RT @stoolpresidente: Football starting is the definition of bittersweet.  Probably the most bittersweet thing in the world.  Football start?
393422417_372888434295451649 x	@kathryn_knott did someone poop in the pool
393422417_372161292049854464 x	@KeenansNW @mteek even your DJ can't have an empty dance floor this weekend right? Oh wait he plays awful music. #pandora #murdersagoodtime
393422417_372157100635734016 x	@mteek did you play blurred lines 5 times like you promised Saturday Night? I better hear it once this Saturday. #onemorechance  #pandora
393422417_372153024569167872 x	@Dooeys_Road this could be the best picture yet. I may have to make an appearance this weekend just for a new photo. Pics are hilarious
393422417_369447719875534849 x	@j_ferr had to be J Fink
393422417_369267235262455809 x	@Dooeys_Road that is hilarious.
393422417_368987221052751872 x	@KeenansNW here is a hint. Hire pandora fire your DJ. The OD>Keenan's
393422417_368984746132398081 x	How do I know your DJ sucks @KeenansNW two smoking hot chicks walk on the dance floor and walk right off  #youneedanewDJ
393422417_368979581841072128 x	How do I know your DJ sucks ass? @KeenansNW this is your dance floor with an hour left in night. #goingtoechos http://t.co/OIiSo6ww7o
393422417_368970885589237760 x	@perkins442 #murderagoodtime lame dork #old #rememberwhenyouwerefun
393422417_368968118632058880 x	@KeenansNW DJ TEEK BLOWS ?? get him outta here please. #murdersgoodtimes
393422417_358365450775703552 x	@NAMES_NOT_RICK you stink. Ill trade you golf balls so you don't lose $5 golf balls
393422417_315996055449767938 x	RT @HARRYMAYES975: Andy Enfield grew up in Shippensburg.  #FGCU
393422417_357322172475244545 x	RT @darrenrovell: Arnold Palmer has quite a collection of golf clubs, as in more than 10,000 http://t.co/2785lmQNnp (via @coribritt)
393422417_355785875721961472 x	@KevinCooney any chance this game is getting played tonight ??
393422417_352515902916395009 x	@KevinCooney it's been so long since he has been on base I guess his body didn't know how to react.
393422417_350725796886872065 x	@HARRYMAYES975 do you get lessons or do you work it out yourself
