899147978_391530103634939904 x	RT @HornyFacts: I would sleep so much better if you were by my side..
899147978_395560240139091969 x	@anmuhr I love you a lot <3
899147978_395131406784815105 x	@JPadmore92 Are you someone in the D-League?
899147978_395512109896720384 x	@JPadmore92 You playing college ball?
899147978_394648992908607488 x	RT @damienwoody: These DEs for the Vikings just running past Rodgers! Always stay on the same level as the QB, especially if he can run
899147978_394130975992463360 x	@chefVOYardee Been a 76ers fan my entire life! I definitely think you deserve some playing time and spot starts #cantwaittowatch #RT
899147978_392849492547874816 x	PROTECTED
899147978_392850415328313345 x	@tyleryoung22 @samyoung1535 @SamYoung4 @kristinredyoung @S_Young06 Sam Young retweet us!!!
899147978_394129701448347648 x	@SamYoung4 @tyleryoung22 @samyoung1535 @S_Young06 What would you think about an interview for my sports radio show? #thinkaboutit?
899147978_394102487881646080 x	RT @Drakee_YMCMB: I just want you. That's all. All your flaws, mistakes, smiles, jokes, sarcasm, everything. I just want you.
899147978_394102346851954688 x	@SamYoung4 Thanks for the retweet! I know this is a stretch, but what would you think about an interview for my sports radio show?
899147978_393731748770504704 x	@jeremymcgowan_ Keep me posted
899147978_393731709017260032 x	RT @jeremymcgowan_: #WhereIsNickHeyer
899147978_392849917883863040 x	@samyoung1535 @SamYoung4 @tyleryoung22 @kristinredyoung @S_Young06 Definitely didnt want that to happen
899147978_392309759694491650 x	@SamYoung4 finally followed me, but now we have to get him some swag since he has zero. @tyleryoung22 @kristinredyoung @S_Young06
899147978_391530590513946624 x	RT @HornyFacts: I wish I was kissing you instead of missing you.
899147978_391530548285693952 x	RT @UberFacts: Drug lord Pablo Escobar had so much cash that rats ate nearly $1 billion of his money each year.
899147978_391530483156545536 x	RT @Sports_Greats: ? Awake ? Blessed ? Grateful
899147978_391530307373244416 x	RT @S_Young06: ALS WALK TODAYYYYY ?????????????????????
899147978_391530261294637056 x	RT @Lmao: No matter what you do on the computer you always end up on twitter, facebook or youtube.
899147978_391530119145472000 x	RT @UberFacts: Music has been proven to effectively lower stress hormone levels.
899147978_391529975637352448 x	RT @ProFootballTalk: Merton Hanks: I fined Ndamukong Suh to get his attention http://t.co/EeJTLQrmF4
899147978_391441348408377344 x	RT @K_Kuntz: I can honestly say that after getting two staples in your head it really fucking hurts
899147978_391298713336836096 x	@ChelsKohl @tyleryoung22 @kristinredyoung @samyoung1535 @S_Young06 More or less, you just rained on my parade
899147978_390942529173979136 x	Rueban Randle going HAM on David Wilson via tweet. Don't know how I feel about that... #cantweallgetalong?
899147978_390942578272509952 x	@tyleryoung22
