243311021_385204522718879744 x	This 30 for 30 is pretty solid #eddie #EddieWouldGo
243311021_293871922863828992 x	@brick_squaaddd I was not in any physics lab sorry kid
243311021_395733038170009602 x	I just don't even care anymore #sleepyourself #sleepmyself #ohboy
243311021_393438897445040129 x	What happens when your professors get drunk #straightknowledge
243311021_393168021940080640 x	Nothing better then getting out of your 6 to 9 at 7:30. So much free time
243311021_391581722783285248 x	@JoeyMack88 @Kevbot926 nope I had to pay with my card as he rambled on about finding a ATM cause he didn't even have cash #drunkbastard
243311021_390850570397184000 x	Watching kev bug out when you tell him the maintenance ppl are here never gets old. #douggetstossed @deanomc0110 #wheresdoug? #closetlife
243311021_388329435638005760 x	About to go body surf a out of control ocean. #firedup
243311021_387940004594716672 x	Nothing is getting me through the day more then knowing I'm going to be sleeping in my bed with a nice ocean breeze tonight. #fallbreak
243311021_387707157657157633 x	@brick_squaaddd wait you mean you don't watch #friendzone? It's on MTV rite now. #youcanjusttellmehowyoufeel
243311021_387651187144941568 x	Finally starting to feel like fall #nothateingit
243311021_387024040399212544 x	I would watch a movie instead of writing a paper. Back to freshman year status. #freshmanyearstatus #whocaresanymore
243311021_386486354655592448 x	October 5th and it's 85 degrees in my house. This sucks #tohottosleep
243311021_386323695347990528 x	First night at brickyard. Girls gone wild #ohyeah
243311021_386304424500809728 x	Everyone loves the beard. #savage
243311021_385977220092944384 x	It is way to freaking hot in my room for it to be October right not. #sweating #cantsleep
243311021_385831112997867520 x	The 45 minutes between my classes on t-tr make my day so long and boring. #waitingaround
243311021_385117096809861120 x	Just about two short months till I can shave. Come on thanksgiving. This beard is getting serious #mountainman
243311021_385109674368180224 x	Just ate the worst/smallest 5$ chicken sandwhich of my life. as some weird girl sat and watched me the whole time. #iwoulddoitallagain
243311021_384824405903147008 x	School would be a lot more cool if i didn't have to proof read my papers when i finished.Only to realize what i wrote is barely English
243311021_384365935471394816 x	RT @KodyDalzell: Can't believe I missed church again. 9000 Sunday straight. Ugh
243311021_384362508532076544 x	?@Tombomb42: So Kev stood in a stall with a guy while that man was taking a poop and smoking crack #Successful21st?balls deep #blumpkin
243311021_384063633946603521 x	First time hitting Rowan for the night. Will see how this goes #ohboy
243311021_383581403570765825 x	Nothing better then a nice early morning #coffeepoop  #per
243311021_382964026000801793 x	First exam of the school year. #easyA #yourboyownstests
243311021_380903677609148416 x	On the nights I need the sleep the most I can't fall asleep #dontgetit
243311021_373101560852905986 x	this chemistry teacher needs to be put to #sleep to hungover for this shit #dead
243311021_371995862379294720 x	RT @SOLavin12: Can't wait till next summer...
243311021_252870629114667008 x	@megaSleep21 Tyler does not like too dance #tylersuberfacts
243311021_367742272521383936 x	@megaSleep21 weird your boyfriend works nearby. #nevervisit
243311021_353909051521904640 x	@jaredmaley yo dude didn't see that tweet till now. Was out in ac. How long you here for?
243311021_354250174077468673 x	@jaredmaley just send me a text next time 609-226-3317
243311021_352959763056836608 x	Yes I am still working the lifeguard stand. #july4th #acbp #12hrday
243311021_349281992069758977 x	@brick_squaaddd seriously so funny omg
243311021_347082296924438528 x	@deanomc0110 ill tell Sarah to clean your room and move back into mine
243311021_344223094585569281 x	RT @KodyDalzell: Getting paid to do absolutely nothing all day #rainday #acbp
243311021_338179290342510592 x	@megaSleep21 I don't get it
243311021_337677156035477504 x	@jaredmaley hahaha dude I hated every minute of being there. Did i look good? and You in ventnor?
243311021_337677799684972544 x	@jaredmaley hit me up if you do
243311021_337682402686144512 x	@jaredmaley ended up with a #b- #kiddingme
243311021_334837996354416642 x	@dcamp26 seriously?
243311021_334418513265582081 x	@BTarbs15 come on man it's atleast the third #rook
243311021_334412896136224769 x	Final at 6 and a final tomorrow. Might as well throw back a few smooth pilsners in between the two #nattielight #onceithitsthelips
243311021_333778335194836994 x	Is North America above South America? @Kevbot926  or is South America above North America? Or neither? #nobodyknows
243311021_332582225122033665 x	RT @SOLavin12: Last class of the year and I have a 15 min presentation...might as well go out with a bang. #kiddinme??
243311021_331781241483444224 x	It was alarming when the scale said I droped 5 pounds but now that my jeans wont stay up I'm freakin #cantaffordtoloseweight #adderalaffect
243311021_331752694593245185 x	@BTarbs15 do you even lift bro? #getyoursoftasstothegym #morning
243311021_331533017103364096 x	@brick_squaaddd settle down there kiddo
243311021_331422279282065408 x	RT @rahwatupbra11: Welcome to the week of everyone trying to calculate the lowest possible grade to get on their finals instead of studying?
243311021_331208621260173312 x	@Kevbot926 mr conlkin if you do not stop running around the house. Thumping around and yelling. I will chop your little balls off.
243311021_330809629477068800 x	@dcamp26 I have nothing to say more then I'm a little upset with you Dan.
243311021_329774941820043264 x	RT @SportsCenter: The last 2 games have been a struggle for Carmelo Anthony from the field. Despite averaging 29 PPG, he's shooting just 18?
243311021_329674328570478593 x	@MaxSwells2134 people who wash there hands when the pee will never have my respect
243311021_329617943828758528 x	RT @Jennblaa: I can't imagine ever not living by the beach
243311021_329070443644461058 x	?@Know: Lonely people actually tend to take longer showers.? @megaSleep21
243311021_327953136306225152 x	@KodyDalzell it's bull shit
243311021_327845243426848770 x	RT @Ventrig: No Westbrook, no finals. Might as well call it now and hand the #Heat the #Ship cuz Lebron ain't losin to the spurs
243311021_327258399710515200 x	@brick_squaaddd if I wasn't such a hard core procrastinator I wouldn't of saw this.your supposed to use the @ thing to tag people. #soon
243311021_327201707920592897 x	?@Jennblaa: Having thick hair is a blessing I do not have? @tmacdoug this girl serious? #Blessing?
243311021_325291838556737536 x	@ZKasabo @joshaschultz that's when you can swim hahaha
243311021_325291015126798336 x	Brooks pool at 4 @ZKasabo @JoshASchultz be there or be square
243311021_324330366494203906 x	I would do anything write now not to write this paper. My paper writing skills are worse then a #5thgrader
243311021_322725952377462784 x	@BTarbs15 dude I haven't been home since 8:30 #illsleepwhenimdead and for the breakfast #sorry
243311021_322039625508069376 x	@BTarbs15 @deanomc0110 No more pool. we got yelled at. Some dude said if he sees it he is going to fine us
243311021_321696590299537410 x	You know it's a good night when Lilly calls everyone of @tmacdoug friends  @dcamp26 @MaxSwells2134 and who ever else #happybirthdaydoug
243311021_321290446305366018 x	Highlight of my day is the skateboard ride down hill to class #soperr
243311021_321244857853149184 x	@megaSleep21 don't worry about telling me that my text would go to her...... #illjustkeepsendingthem
243311021_320777160958808065 x	Miss my bug one week till we have sushi @megaSleep21 #bug
243311021_318893573850411008 x	@rahwatupbra11 there are no pitches in tee ball, you hit off a "tee". So I guess he has an excuse #sleep
243311021_318482112779005953 x	RT @SportsCenter: LeBron James (hamstring) Dwyane Wade (ankle) & Mario Chalmers (ankle) will all be sitting tonight when the Heat ta ...
243311021_318448487878516736 x	Pretty much just put this paper to sleep. I should have been a English major #togood #staightA+
243311021_317818357413986304 x	This game is unreal #Michigan deserves this win #marchmadness
243311021_317138214114709504 x	@dcamp26 @kodydalzell Dan settle down #hisheadisbigenough
243311021_317093336018214912 x	Dollar beers #kiddingme #seeyatomorrow
243311021_316705199731376128 x	RT @Earth_Pics: This is the dream! RT if this is on your bucket list. http://t.co/E0UC9Wsh7y
243311021_316187250130046977 x	RT @SciencePorn: If Mother Nature would give sharks human teeth, they wouldn't look as scary. http://t.co/5WbzYztarA
243311021_316186893995868160 x	@deanomc0110 your still sleeping you fool #tweetlies #clown
243311021_315141724915777536 x	@brick_squaaddd I just want to live under the boardwalk, put needles in my arm, and eat cats. #lifeproblems
243311021_312743885380136962 x	@tmacdoug @maxswells2134 @drdingi I bet 3 ppl get it tops
243311021_312728353708847105 x	@MaxSwells2134 oh you shoveling your face with that good. #batmanshit
243311021_312654370107949056 x	@brick_squaaddd I'm just gonna have to drink through it and pretend its not raining
243311021_312652428455591936 x	@brick_squaaddd this rain is really not in our favor
243311021_312202561740476418 x	Today is a day, that needs o be celebrated. Happy #piday @MaxSwells2134 @CarsonRau1 @tmacdoug #neverforgotten
243311021_311901581220134912 x	What's a rave? Sounds like a #rape
243311021_311597783209611264 x	Always good to take a fall and look around to see no one saw you  #neverhappened #stillhurt
243311021_311495768995426304 x	?@VeryCoolThings: Beverage buckle http://t.co/OHfb3DzqOs? @MaxSwells2134 @tmacdoug  this could be per
243311021_311494912644349952 x	RT @VeryCoolThings: Beverage buckle http://t.co/ITGXcNDxWm
243311021_311491042660732929 x	Been rocking the same umbrella since first semester freshmen year. She has kept my dry many times #faithfull #history
243311021_311128939085045760 x	So hard to think about school work after that perfect weekend with @megaSleep21 and the weekend coming up is gonna be #bold #parade
243311021_309695504864911361 x	@tmacdoug fuck my spring break. Can't it just be the same 1 year #loseing
243311021_309667262669926400 x	Is it bad when I'm stretching and I can smell my own shoes. when there on my feet? @tmacdoug
243311021_309467021890973696 x	Kevin and his new girlfriend over achievers http://t.co/FoIARhGYFX
243311021_309449850586542080 x	Mad bugs flying around this class room. Wonder why @Kevbot926 #fartbubbles
243311021_308389945150693376 x	iPhone 5 without the #otterbox is a whole Different world #wow #freedom
243311021_308415858055733248 x	@lindsey_tierney it's amazing. But I'm one of those ppl who break phones sleeping. #muchneeded
243311021_307931438114824192 x	Can't concentrate even on adderal. Might as well take the F #ihatethisclass
243311021_307870252723744770 x	Hate that feeling when your shins sweat  #soweird
243311021_307332722215485440 x	RT @Earth_Pics: Glass Floor Cottage, Bora Bora http://t.co/2BTIFz82Cb
243311021_306431979124051971 x	Is it a requirement within the I tech building to wear boots and a camo hat #clowns
243311021_305872533117349889 x	The real question is does anyone actually watch #talkingdead #comeonnow
