986028018_399899675764867072 x	Pugboat Annie #pugtitles
986028018_399898967921528833 x	A Pug's Life #pugtitles
986028018_400292357544742912 x	The only thing better than rockin' sex is Moroccan sex. #comedy
986028018_400276417834778624 x	I like my ladies like I like my tacos, really loaded with no flat bottom. #comedy
986028018_400275709857251328 x	Thank you Old El Paso Hot & Spicy for ruining every other taco seasoning for me. #oldelpasouk #comedy
986028018_400272629522653184 x	Where any publicity is good publicity, we're just thankful Ford didn't release a sex tape. #WelcomeToToronto #Comedy
986028018_400251943303385088 x	Today Show Breasts #AddBoobsToTvTitles
986028018_400251274878148609 x	The Bold And The Beautiful Rack #AddBoobsToTvTitles
986028018_400250875576193024 x	CSI: Bust #AddBoobsToTvTitles
986028018_400250496943796224 x	Dr. Who Hooters #AddBoobsToTvTitles
986028018_400249809681932288 x	Bosoms The Originals #AddBoobsToTvTitles
986028018_400248992002371585 x	The Big Titty Bang Theory #AddBoobsToTvTitles
986028018_400248422982107139 x	Grey's Mammary Anatomy #AddBoobsToTvTitles
986028018_399908426517471233 x	Octogenarian: "You can tell she's horny if you reach down and it feels like you're feeding oats to a horse." #comedy
986028018_399908235353661441 x	If you've ever bragged to someone that your watch cost $10 at Walmart you might be an octogenarian. #comedy
986028018_399908163849183233 x	Octogenarian Humour: "To catch a rabbit you hide behind a tree and make noises like a carrot" #comedy
986028018_399905792884613120 x	Octogenarian Humour: "Ward, you were pretty hard on the beaver last night." #comedy
986028018_399903958392516608 x	Octogenarians: See now that Rob Ford someone ought to shoot the fat son of a bitch and render him down.  Well they'd need a big pan. #comedy
986028018_399902929106132994 x	Octogenarians: See now that Pamela Wallin, I wouldn't fuck her, she's mean looking. Well Harry, you might have to stand in line. #comedy
986028018_399900418458660865 x	Reservoir Pugs #pugtitles
986028018_399657508140118016 x	ProTip: Drink tall boys to make your huge head appear smaller. #comedy
986028018_399656059532353536 x	If you're going to let the dog lick your face why not just rub your face in his arsehole and cut out the middleman #comedy
986028018_399655882272690176 x	Removing the impacted stool digitally really means they use their finger #comedy
986028018_399653824643608577 x	The main difference between an oral and rectal thermometer is the taste #comedy
986028018_396618553140322305 x	I?ve had bad luck with both my wives. The first one left me and the second one didn?t. - Patrick Murray #comedy #quote
986028018_394798968565026818 x	Lets name the new iPad the MaxiPad #iPad #UnpopularOpinionNight
986028018_396617593231904768 x	Instead of getting married again, I?m going to find a woman I don?t like and just give her a house. - Rod Stewart #comedy #quote
986028018_396617149810081792 x	In court you are putting your fate into the hands of twelve people who weren?t smart enough to get out of jury duty - Norm Crosby #quote
