138767511_332548732463742977 x	7 minute workout: http://t.co/TYPfoc5gsu
138767511_399591065046376448 x	@pennmuseum is a must see! I'm loving the exhibits. http://t.co/yy6SUZh4Xf
138767511_399254330618163200 x	Ergonomics included on this informative list "@Forbes: 5 small workspace changes that will make you more productive: http://t.co/G5UxCUcPtd"
138767511_399251825599471616 x	For students- carry your backpack with a safe weight vs pulling a wheeled bag.  Eliminates rotational stress on spine http://t.co/lSphZqnddP
138767511_398176733418889216 x	@ayoungvoice -It was great meeting you too! What a fun morning with amazing segments! @RogersTVToronto
138767511_398176301028089856 x	RT @ayoungvoice: @torontochiro Nice to meet you this morning! Missed your segment, but I'll catch up on it at 3pm for the rebroadcast! @Rog?
138767511_398176054986022912 x	RT @RogersTVToronto: Woke up late? Catch #daytimeTO again at 3pm with our great guests @ThePatriciaCake @BareIfForBooks @Pantene @TorontoCh?
138767511_398135261076271105 x	@shannontboodram It was great meeting you today! I hope you enjoyed your posture assessment! http://t.co/UxughNE3f2
138767511_397887885170335744 x	@EssenceofHealth Thanks for giving me an immune boost shot today! I am feeling great :)
138767511_397941943759409152 x	@EssenceofHealth @RogersTVToronto @EssenceofHealth @RogersTVToronto thanks! I am looking forward to it. #daytimeTO @val_cole
138767511_398134209727823872 x	@EssenceofHealth @RogersTVToronto @shannontboodram It was FUN! I had a great time talking with Shannon about posture and the new book!
138767511_398111305673895936 x	RT @RogersTV_PR_TO: This morning's #daytimeTO has @snapdNorthYork @WhitePine_TO @ThePatriciaCake @BareIfForBooks @Pantene @TorontoChiro on ?
138767511_398099908244172800 x	In the green room! @ RogersTV_PR_TO http://t.co/6NJ7aEj3Ra
138767511_398093640074919936 x	Tune into #daytimeTO! I'm on at 10:49am @RogersTVToronto. We are going to talk about spinal health and my new book!
138767511_397881678359564288 x	@Hypervibe_CA Thank you! I appreciate your support! :)
138767511_397881478128087041 x	RT @Hypervibe_CA: Your tweets are full of good content for our audience @torontochiro and congrats on the new book!
138767511_397712059208441856 x	Tomorrow with @RogersTVToronto @RogersTV_PR_TO #daytimeTO!  I will talk about my new book! #health #wellness #posture @ON_Chiropractic
