584389327_396277797465108481 x	@Phillies #PhilliesPhriday Ashburn statue
584389327_393719239800274944 x	@SheinelleFox29 @KacieFOX29 Is Mike wearing leather chaps?
584389327_392696044519043074 x	@KeeleyFox29 Single greatest piece of work you have done!   Too funny!   Love your work!  http://t.co/VYfemfJZlB
584389327_390788574721081344 x	@bobkellytraffic What time does it open? So happy it's finally done!!!
584389327_390799504641118208 x	@bobkellytraffic Thx Bob!
584389327_390646353409630208 x	@jillianbmele Razoo on Bourbon.   Awesome outside bar in back with fire pit.
584389327_381445204978728960 x	@JasonHills01 @BrookeBCNN
584389327_378968338975576064 x	@TheMoneyTeam Pregaming before fight!!!   Rocking #TMT gear!    #hardwork #dedication http://t.co/YFZZiHLhqg
584389327_378923938731937792 x	@TheMoneyTeam Anymore black TMT hats at MGM gift shop?    Need two if any available.
584389327_378759602365399041 x	Looking to bet fight tomorrow.  Are you TMT?
584389327_369443077619859457 x	@BrookeBCNN Can't go wrong with Scomas.   One of my favs in the entire country
584389327_366597760780206081 x	@BrookeBCNN Best Willie Nelson song ever!  http://t.co/yP3dDUnlzc
584389327_355879829029130240 x	@OpieRadio and here's the apology video!  Hilarious!  http://t.co/z8rxjeUc89
584389327_355799299612868609 x	@OpieRadio News screwup.  Big time.  http://t.co/uB9SnyaMY6
584389327_355799023757705216 x	@AnthonyCumia Classic!  http://t.co/uB9SnyaMY6
584389327_355798164915240960 x	@salgovernale Was this you and Richard? http://t.co/uB9SnyaMY6
584389327_352506971762589698 x	@BrookeBCNN How is the Hosseini book compared to his other two?   Worth the read?
584389327_351050082390515713 x	@mjterns @darrenrovell Johns Roast Pork has the best cheesesteaks in Philly
584389327_343131837666848770 x	@AnthonyCumia Great segment on Stern's show today!
584389327_340968839032492033 x	@AnthonyCumia You need this for your go bag!  http://t.co/9V4D4zlve4
584389327_340670854084055040 x	@AnthonyCumia @OpieRadio http://t.co/k4o9WmbpZl
584389327_330518540559990784 x	@CMPunk Have you seen these?  Pretty cool shirts. http://t.co/jVfIlU7E4g
584389327_326664799255662592 x	@OpieRadio http://t.co/Z3Rx3gx63F
584389327_326535467745017857 x	@GrillCheese49 Hit up John's Roast Pork.  Best Sandos in town!!
584389327_326534548458438656 x	Hey @GrillCheese49!! #onemorepic
584389327_323641519204622336 x	@mjterns @vonte_jackson Human Centipede 1 is fine.  No way you can eat watching the second one.
584389327_320571475528671233 x	@BrianReganComic Thx for taking the time to meet with my kids in Baltimore!  Thx for giving us the opportunity! http://t.co/yIMWYL1ICr
584389327_318444550370766849 x	http://t.co/5xzAvN5AKj
584389327_308082148106174464 x	@cecilybecily @bibbymoynihan Awesome job on the employee skit!   First one was great!   Loved this one more!  Keep up the awesome work!
584389327_307273317654601729 x	@salgovernale New fake name for you to use on calls:  Jack Enoff
584389327_295237560706412546 x	Picked car up today from @enterprisecares.  Issues getting picked up and then got filthy car with food caked all over gear shift.  Nasty!
584389327_295246093002895360 x	@enterprisecares Followed you per your request
584389327_290552564649426944 x	@JennaWolfe What do you recommend for breakfast, lunch and dinner?   Protein and carb balance of course but what are your recommendations?
584389327_288684022522052608 x	@MandT_Bank is the WORST!   Always making things difficult for their customers (especially those that were from Wilmington Trust). No more!
584389327_283692470263496704 x	@JosABank_Brand They would have if the items that were ordered a week earlier were shipped from your warehouse.  They weren't!
584389327_283431373715410944 x	RT @SheenaParveen: If you're driving tonight or tomorrow mostly N&W of Philly, be careful of some light icing on roads! Precip conti ...
584389327_283431099965779968 x	@howiemandel Hat or no hat?  Is that the question?
