26124748_392090248840507393 x	RT @GhettoInspire: http://t.co/066mvq3lWo
26124748_395987549040033792 x	@TomCatt76 Bye weeks are hurting you just as bad as me, you gotta fill out that roster haha
26124748_395931544516182016 x	@shawnesty23 definitely definitely definitely definitely agree with you that its Recovery 2
26124748_395929428150063105 x	@Gauravyboy of all weeks to catch me, you definitely drew the best one. bye's will be a killer
26124748_395928432963362817 x	@TomCatt76 @ESPN_FirstTake it was against the bobcats, dont forget
26124748_395928370262712320 x	RT @Phillies: 5 years ago today, Broad Street never looked so good. #tbt http://t.co/YvjQfS1O8O
26124748_395732968812998656 x	BREAKING NEWS! Nash misses game with scheduled sit haha some "sports reporters" don't even look into what they report
26124748_395723990922055680 x	@shawnesty23 sixers dont seem to have this whole tanking thing down
26124748_395289534134767616 x	RT @DeliciousVinyl: Yancey Boys "Quicksand (prod. J Dilla)" f/ Common [Official Video] + LP Stream http://t.co/ONvrOX3Fx8 via @okayplayer
26124748_395273984582758400 x	RT @MeekMillRapLike: BUT RICH HOMIE QUAN RAP LIKE HE CRYING AND JOGGING AT THE SAME TIME
26124748_394493430212333568 x	RT @Trouty20: #FlyEaglesFly
26124748_393751277252780032 x	whats with the trend of letting your qb who might be the weakest link on the team throw it 50+ times?
26124748_393540971461242881 x	@shawnesty23 Climax (remix) is Joey's best verse in recent memory
26124748_393570538540376065 x	@shawnesty23 haha definitely wasnt completely serious. came on shuffle and it is better than 70% i hear from him now in my opinion
26124748_393532424790888448 x	There are times, when you will need someone.  I will be by your side.  There is a Light that shines special for you and me #legendary #ripJD
26124748_393422314899243008 x	RT @KanyeThatType_: Kanye the type of nigga... http://t.co/nhBSWog3xI
26124748_393031426376859648 x	@TomCatt76 a couple big moves though really shook the league up.  the barrage of bye weeks are coming so we'll see who makes it through
26124748_393029135460618240 x	@TomCatt76 with 3-4 being 6th the season is far from over.  That stat correction loss is huge, a win could put you in 5th this week
26124748_392816159680372736 x	RT @DAVEseason: we used to blow it off, but ..."i listen to everything but country" is realest assessment of music ever made
26124748_392668441452097536 x	RT @_Happy_Gilmore: NFL QB Power Rankings: 1-Peyton Manning 2-Aaron Rodgers 28-Shane Falco 54-Johnny Utah 96-Uncle Rico 998-Chad Henne 999-?
26124748_392637871301332992 x	@shawnesty23  foles is better than josh freemen
26124748_392644757081452544 x	@shawnesty23 hahaha touche
26124748_392400168261140480 x	@TomCatt76 haha yeah we're gonna see if jeez can hold up.  but yeah my first lead of the night came with 2 minutes left in the night
26124748_392307250850574336 x	@TomCatt76 Jeez projections have you a .84 favorite, talk about keeping it close
26124748_392306676176404480 x	anyone at home.. how is philly radio sounding? is the foles wagon empty?
26124748_392306264341893121 x	RT @EliotShorrParks: Nick Foles dropped back 22 times yesterday without facing pressure. He completed just 9 passes for 55 yards on those 2?
26124748_392305025701003264 x	@shawnesty23 @itzbreak very false...
26124748_392023828341481472 x	RT @BrianFlann: YOURE A PIECE OF SHIT HELU
26124748_392018297966706688 x	@BrianFlann 0 td's out of the 1 o clock games hurts
26124748_392000489941774336 x	@nfldraftscout you have to think mike would tell him to deactivate his account one of these days right?or is marcus just THAT irrelevant?lol
26124748_391995044644671488 x	@MVFive @MikeVick when are you gonna make your stupid brother delete his twitter account?
26124748_391986901877403648 x	@shawnesty23 this qb play from foles makes you miss someone...
26124748_391988837615804416 x	@shawnesty23 lol youre such an apologist
26124748_391992398684753920 x	@shawnesty23 lol are you watching the game? he cant complete a pass beyond the line of scrimmage
26124748_391994359819689984 x	@shawnesty23 given i have foles starting in 2 leagues, trust me i wish you were right
26124748_391992946368602112 x	at least as things stand.. MV7 will be the unanimous pick to start upon a healthy return
26124748_391991651410771968 x	Devin Hester is unbelievable
26124748_391951835432353794 x	@BrianFlann you getting a little nervous?
26124748_390893683383353344 x	@BrianFlann you feelin good about your chances this week?
26124748_390905897938997248 x	@BrianFlann @Gauravyboy hahah you never know who can go off
26124748_390904274655272960 x	@BrianFlann hahaha very true
26124748_390170234566361088 x	@TomCatt76 haha yeah so far.  i'm down to play today, you know where to find me
26124748_390148057775755264 x	"You're too close man" - Dylan
26124748_389942860025720832 x	RT @MuggsyBOEGS: Desean just whipped out the ooh kill em
26124748_389502680034332673 x	@BrianFlann hahaha definitely didnt see a 50 coming from foles, peyton against the jags though is just unfair
