40113278_377258803840184322 x	1:24 to go.
40113278_398294408959107072 x	@KBarrettFox29 Thank you for sharing your story! You're one courageous woman!
40113278_391703529120751617 x	TD Texas! 40-38 Texas vs Auburn 5 minutes left in the game.
40113278_399794305767727104 x	Where did the time go? Sigh- gotta get up in 4 hrs & I'm not even sleepy yet. #tomuchtodo #solittletime
40113278_399751203749244928 x	#WBOC News at 11 will air at 11:46 p.m. @wboc
40113278_399689018721710080 x	RT @CBSNews: Typhoon Haiyan slams into northern Vietnam - http://t.co/jugBksO5OK
40113278_399661235370590208 x	There is no 6 p.m. newscast tonight! See you on #WBOC News at 10 on FOX 21 and on WBOC News at 11! @wboc
40113278_399659976429682690 x	RT @wboc: Fire Damages Grasonville Home http://t.co/4dsxdqnkAH
40113278_399638696095662081 x	?@MHasken22: Waiting for my chocolate chip banana bread to finish baking.? > When should we expect u. Lol #wbocweekendcrew
40113278_398662379657244672 x	@megmccorkell Did I just see a man with blue beads on his braided beard in your piece??
40113278_398495298156494848 x	@DoverDEPolice say suspicious package found near post office was harmless. #Geocaching #wboc
40113278_398295508969848832 x	When I grow up I want to be like @authorjimlynch. Lol #runner #marathoner #Imonlyhalfcrazy
40113278_397109439796617216 x	RT @Redskins: The #Redskins are 23-14-1 in overtime games, with the last one coming in Week 14 vs. Baltimore last year. #HTTR
40113278_395589136515473408 x	Driver license services are down at the @DelawareDMV in #Dover. I'm old systems will be up later today. http://t.co/zp0dzwKdZK
40113278_394583997281361920 x	#WBOC News at 6 starts now!
40113278_394303148870742017 x	Ugh. How did my IFB just break, and during the show? #anchorproblems
40113278_393078643624116224 x	This is what nearly every woman hates. Krazy glue to the rescue!  http://t.co/6pH6EbvBpo http://t.co/duomWuFq8R
40113278_392023311565471746 x	YAAAAAAAAYYYY #HTTR We win.
40113278_391973891469758464 x	Oh sheesh. Just when the #Skinz get a yard, we fall back 10. #HTTR?
40113278_391710487399776256 x	See ya at 11! No 10 p.m. Fox newscast tonight. #wboc
40113278_391677961453064192 x	Hilarious listening to TLC's Scrubs blasting in the #newsroom. #oldtimes #classichits
40113278_391395097595904000 x	Catching the last 15 minutes with @dateline_keith!!
40113278_391264680062488576 x	Hmmm never before have I felt nauseous while in Chopper 16, so why now? Glad were almost back to #Salisbury.
40113278_391270217537425408 x	@adimike55 Thanks! I've landed and now have food in my tummy. :)
40113278_391273727897264128 x	@adimike55 lol hilarious
40113278_391270714650533888 x	@CalebTyler22 sounds interesting!
40113278_391258902571937792 x	My view from Chopper 16. On the way to a fire in #OC. #wboc http://t.co/L3oUHJvRc1
40113278_391270040806248448 x	@CalebTyler22 Yup
40113278_391261634414784512 x	Fire at The Majestic hotel in #OC. Crews cleaning up the scene. #wboc #Chopper16
