34096001_4652828435 x	Insomnia......
34096001_4576678571 x	Can't sleep!!!!!!
34096001_4576665632 x	FREEDOM EDEN http://bit.ly/1bCpz0
34096001_1579925405 x	Playing 7 Card Stud at Hollywood Park.
34096001_370623840801390592 x	#teamcarlosdanger #socialfresh @leah_dekalb knows the most dwarfs
34096001_362959793108946945 x	@TonyBrunoShow where is the delmon young outrage???????
34096001_361935746380206082 x	@JSalisburyCSN The guy who plays second and can't drive in runs.
34096001_388518012304629760 x	On way to #nyc
34096001_370760149234769920 x	#socialfresh anyone find a Mac charger? #help
34096001_370624702810554368 x	#socialfresh #teamcarlosdanger @elsagrego sings best
34096001_370624346072444928 x	#teamcarlosdanger @itsamich looks like Sloan from entourage #socialfresh
34096001_370623323710820352 x	@SEM_SanDiego  has been on twitter for 4 years #teamcarlosdanger #socialfresh
34096001_370622745718951937 x	#teamcarlosdanger Mitch traveled the furthest from #sanfrancisco #socialfresh
34096001_370290063453601792 x	Who is going to #socialfresh?
34096001_363174580971515904 x	@rsouthgate  When is the next Zero Hour podcast out?
34096001_359141395367337984 x	RT @jonloomer: 11 Powerful Ways to Increase Relevant Facebook Likes with Ads http://t.co/bJFi3z9cqI  #smm #social
34096001_359141210801176576 x	RT @JasonMillerCA: Visual Gold! The New Revolution of Content Marketing [Infographic] http://t.co/RjmUmnm12f
34096001_356197609221787648 x	@TheGoodPhight not yelling chooooch anymore, those are real boos
34096001_356192945210261505 x	@TheGoodPhight #choke
34096001_350134076818206720 x	@ryanlawrence21 did revere do that on his own?
34096001_350125358584037376 x	@ryanlawrence21 McCarthy just called that bunt a beauty #wtf
34096001_349408016749170688 x	And so the #Phillies season comes to and end. #firecharlie
34096001_343501186596491265 x	@Eastbay where is your tour bus? Have been looking at Home Depot center for it.
34096001_340973049820094464 x	@ToddZolecki Kyle was out if position, his fault
34096001_340945379908546560 x	@TheGoodPhight Charlie says you are not supposed to do that, yet Revere has done it several times #firecharlie
34096001_339963182850400256 x	@jodymacman Will the same people who want Howard pinch hit for against lefties say the same for Utley who is hitting worse?
34096001_339616104089518080 x	It's officially hockey season in LA.
34096001_339211005173321728 x	@JSalisburyCSN Since 9/11/11 the Phils are 115 -123.
34096001_338750936392552449 x	@magelb @TheGoodPhight #badsigning
34096001_338750583836131328 x	@TheGoodPhight could not agree more, #useless
34096001_333422889988673537 x	@LesBowen @magelb gotta look for something positive
34096001_333421937919406081 x	@magelb @LesBowen he just made up for it
34096001_333414815466926081 x	@LesBowen bastardo slams glove  on dugout bench
34096001_333397199230734336 x	@magelb @LesBowen I think it's worse that I drive here from Cali to see this
34096001_333390992747163649 x	@JSalisburyCSN @KevinCooney the #phillies are as dead as this stadium #chasefield
34096001_333320374051803137 x	@JSalisburyCSN drive out from LA for this series, it's getting ugly
34096001_332980805343256576 x	In #phoenix for the #phillies games
34096001_332195770180714497 x	RT @socialmedia2day: Who are the right influencers and how can you incentivize them? Free webinar w/ @mblast - http://t.co/OM8kFB7yEu
34096001_329848371974139904 x	@PFTompkins Was this a podcast?
34096001_329844144589656064 x	Most annoying website: http://t.co/lJCFtRGBhV #constantupdates
34096001_329842945232625665 x	@BigDaddyGraham I fire Charlie, trade JRoll for CF lead off hitter and replace him with Galvis. Clubhouse needs a shake-up.
34096001_329841396381016064 x	@BigDaddyGraham Agree. It time for Charlie to go, it does not matter if you blame him or not, change needed. #tradejroll
34096001_326952716616232962 x	@ToddZolecki and J-roll swings at first pitch
34096001_323526119326359552 x	@TonyBrunoShow Howard now has same batting average as Utley. So does Utley suck now? #confused
34096001_323531191603048448 x	@TonyBrunoShow I know T, just a comment about the fans, Howard is the most under appreciated player in Phillies history.
34096001_323532775233835010 x	@TonyBrunoShow ROY in 05, then Top 10 in MVP voting every year after except last year when he was injured.
34096001_323290111339032577 x	Foster the People "Pumped Up Kicks" ACOUSTIC on SiriusXM Alt Nation: http://t.co/87VF6AvXzT via @youtube
34096001_323289726025076736 x	Hank Williams Jr., Jamey Johnson & Shooter Jennings' "Waylon Tribute Med...: http://t.co/xAszpg5k07 via @youtube
34096001_322491340120285184 x	How did this get made? One of the best podcasts around! @paulscheer  http://t.co/1ATqPr0Foc
34096001_322471248426856448 x	RT @joelmchale: RT @CommunityGiveaw: Chance to win a signed copy of DUNGEONS&DRAGONS & tshirt tweet #Hoping4Season4Community fro ...
34096001_322465858691661824 x	DUI?  Dealing Drugs?  Better Call Saul! http://t.co/2AJ3cwuiBO  Rumors of AMC spin-off for Saul #pleaseamc
34096001_322448443824037888 x	I know the risk of #dog #parasites in #California because of @VCAPetHealth! #heartworm http://t.co/mfj2qo0Ohq
34096001_322426674530639874 x	@fatmayldrm7 try this http://t.co/Qc7cr1gHa0   Good luck in your matches! #gonoles
34096001_321681505506181121 x	@Mike_Stelzner We need to discuss your charity foundation.
34096001_322222153179201537 x	@Mike_Stelzner Never had the chance.  Would still like to discuss.
34096001_322098371898798080 x	@MYGEEKTIME Hey Ralph, is Geek Time available on podcast?
34096001_322046715098177536 x	I love people who complain about facebook.....on @facebook!
34096001_322046379612573696 x	RT @SallyHogshead: The Maestro (Power+Prestige) = confidence! RT @StephSammons: I?m a Maestro, what are u? @SallyHogshead?s ?fascinate?  ...
34096001_321789181129003008 x	Post conference bball http://t.co/JplBqmH8V9
34096001_321675775176749057 x	Anyone have one of these cool modems I can borrow? #smmw13 https://t.co/OyxzqoKeh8
34096001_321531148809424896 x	51% of companies think @facebook  is the most important social network, the other 49% have the last name #Winklevos
34096001_321529461789048832 x	@SallyHogshead This Maestro thanks you for the follow!
34096001_321508083492855808 x	@EricTTung thanks for the catch!
34096001_321495363011895296 x	If I had a nickel for evertime I heard about #podcasting at #SMMW13 today I would have .75 cents.
