20396961_384527068014604288 x	Homeland was brillsny as usual tnite
20396961_384078683587477505 x	Thanks
20396961_374208304308039680 x	Fire amaro today
20396961_322913065022652416 x	@mot1107 @bwmaher83
20396961_397217830078525440 x	@Bonner_Prendie What today's football game says is what students and alumns already knew WE NEVER GIVE UP
20396961_397108347893460992 x	@Bonner_Prendie We are Bonner
20396961_391411986552324096 x	#strikebackrules
20396961_391404698420654080 x	#strikeback was #awesome tonight everyone eatch
20396961_389253593620291584 x	#strikeback julia and scott have been flirting the whole show
20396961_388874870333124608 x	Does scott end up with richmond? #StrikeBack
20396961_388872891263385600 x	What hapoens to richmond next week any thoughts #StrikeBack
20396961_388871764010602496 x	@StrikeBackFan show kicked ass tonight did u like tge little hand rub from richmond
20396961_388433774239051776 x	RT @StayChiIl: Don't stop retweeting this! http://t.co/N2ZJzKWw
20396961_372111690038398976 x	@saintseamus I am boring save it
20396961_372110423014662144 x	RT @FOXSports1: It's the second week of FOX Sports 1. We want to celebrate! For every 25 retweets this tweet gets will give away @FOXSports?
20396961_372093797082992641 x	RT @Team_Bautista: If @BautistaFund has 10,000 followers by 11pmEST 8/28/13  1 Follower of @Team_Bautista who RTs this tweet wins a signed ?
20396961_371787440802914304 x	RT @amyfadoolCSN: what happened?  Hope he's ok .RT @PeteAbe ESPN's John Kruk was just taken from press box at Dodger Stadium on a stretcher?
20396961_371787132626419712 x	RT @ErinAndrews: Sending prayers Kruky RT @PeteAbe: ESPN's John Kruk was just taken from the press box at Dodger Stadium on a stretcher. He?
20396961_371786880364580864 x	RT @PeteAbe: ESPN's John Kruk was just taken from the press box at Dodger Stadium on a stretcher. He was conscious.
20396961_371093301149323264 x	Now this is a winning streak #finally
20396961_370370545118113792 x	#walkoff
20396961_370370202317651968 x	Finally #letsgofor2inarow
20396961_369549711088549888 x	RT @derek_boyko: #Eagles coach Chip Kelly will join @JayGlazer, @curtmenefee and gang on first edition of @FFD on @FOXSports1 tonight at 6 ?
20396961_369541623647969281 x	Espn is a joke, they are about to become irrelevant #foxsports1
20396961_369543193697607682 x	@mot1107 @SeamusDoyle_MLB espn is a joke and they will quickly become irrelevant #foxsports1
20396961_369122097793990656 x	@saintseamus yes a blowout w this team is a 1-0 win
20396961_367015675027406848 x	RT @JamesMartinSJ: Pray for the safety of Fr. Paolo Dall'Oglio, SJ, the Jesuit priest who has been kidnapped in Syria. http://t.co/YdjZ1sm6?
20396961_367006528718381058 x	RT @Greenpois0n_x_: RETWEET THIS IF YOU WANT MORE FOLLOWERS
20396961_366553650534944769 x	@saintseamus  Cody asche
20396961_366552624033579009 x	@saintseamus hey just wondering r u a 4 four 4 Philly sports fan?
20396961_365952929838014465 x	RT @BobCooney76: Brown has been an assistant with San Antonio since 2006 and was the head coach for the Australian national team  for 9 yea?
20396961_365582622300188672 x	@saintseamus u are awesome u made chipper jones quit twitter
20396961_365568329659850752 x	Chase Utley you are the man
20396961_365576804188164096 x	@mot1107
20396961_365321494823309313 x	?@saintseamus: 5 Minutes until my 17th #Birthday? happy birthday
20396961_365321285292666880 x	@saintseamus happy birthday
20396961_364932823821455362 x	Bring back doc
20396961_364931479500898304 x	@saintseamus I am a fan of your tweets love your passion for Philly sports. Where do u go to high school?
20396961_363008109239099392 x	RT @ChristiChat: #BENGHAZI IS REAL? RETWEET? @AceCurry007 @lexielewis888 @cubfanbeerguy @BossHoggUSMC @irritatedwoman @iResistAll @WickedHu?
20396961_362251074352070656 x	NBC Sports - HardballTalk:  Phillies to call up 3B prospect: is Michael Young gone? http://t.co/r79iK4Enud
20396961_356143991722479618 x	RT @Greenpois0n_x_: RETWEET THIS IF YOU WANT MORE FOLLOWERS
20396961_354050759249244162 x	RT @X__LayEssence: My baby cousin is missing ! He lives in DC, his name is Mikey, 7 & Autistic. Please help us find him. !!!!! http://t.co/?
20396961_352166145056444416 x	RT @oliverdarcy: --> RT @BrettLoGiurato: Megyn Kelly is moving to primetime upon her return from maternity leave, Fox announces.
20396961_351864947719938049 x	RT @bridgethaley_: Can everyone click this link and RT? Katie's in 4th! Keep on clicking and sharing, people!  http://t.co/4wJBNRrEYa
20396961_342624030760771584 x	http://t.co/G3ecftcmXA
20396961_342623598147665921 x	How many days till I have to stop taking Advil before procedure @bwmaher83
20396961_342622847442767873 x	@bwmaher83
20396961_339471097294622721 x	Hi
20396961_339470567822467073 x	Tweet tweet tweet
20396961_335837292201656322 x	RT @suebphilly: Ahhhh! Warm raspberry crisp. I'll top it off with some ice cream and I'm in heaven! http://t.co/Er5vivAEZ5
20396961_323018182107467776 x	@bwmaher83 @susancbs3 ty
20396961_322912288208195584 x	@bwmaher83 sb has pneumonia
20396961_322913262830252032 x	@bwmaher83
