33512659_396626888472281088 x	Here we go
33512659_396626498615926784 x	Morning stories
33512659_396625328606425088 x	What a night
33512659_395274950992744449 x	@ChalieStone28 Okay
33512659_395027119044329472 x	RT @itscompliKATTEd: I suck as a person
33512659_396351164502908928 x	@Nick__Barth ok
33512659_396725355798474752 x	RT @julquinnn: "This is my turn up juice" @bustin_AGrubbs
33512659_399655954192416768 x	Talking to Michael carter Williams
33512659_399446079550550016 x	RT @julianadixon: Where the ballers at
33512659_399009065960865792 x	Hangout with holtz
33512659_398658249693491200 x	RT @marykate_morris: WE GOING TO THE SHIPPPPPP ???? #HFUWS #FAMILY
33512659_398550704098672640 x	RT @bustin_AGrubbs: It's the perfect day to watch movies and order food with someone ?
33512659_398539629877800960 x	I wish I got friends to hangout with on campus
33512659_398242253069893632 x	I want what I can't have!
33512659_398146786894028800 x	Favorite people who always me laught and put smile on face. @hello_kattyxo  @kelsey_dowd
33512659_397853111248625665 x	RT @jack3gallagher: Social netwroking deff ruins lives
33512659_397543659962241026 x	I want be someone's man crush everyday
33512659_397542978463354880 x	She a dork @hello_kattyxo http://t.co/5q1qGCQnjE
33512659_397535793704493056 x	RT @kyle_kaminsky: Some Girls do look a lot hotter with glasses.    key word is some
33512659_397530141926387712 x	The Works for dinner#comeup
33512659_397515790548615168 x	RT @BagnarelliCasey: don't think too much, you'll create problems that weren't even there to begin with
33512659_397514864676986884 x	RT @Sean_Cards: What I need in my life is a badd lookin blonde girl asap
33512659_397510081123598336 x	Came home went to my room and its really clean up thanks mommom.
33512659_397503958698041344 x	Going home.
33512659_397498161867935745 x	@carolynn_mccune why do you always favorite my tweets
33512659_397459399863980032 x	Who order iced coffee and take all the ice out #weirdo
33512659_397453584914079745 x	@carolynn_mccune hey
33512659_397456180458450945 x	@carolynn_mccune what's up
33512659_397434272434647040 x	RT @timmy_mill: I need Christmas break
33512659_397432806407548928 x	Kate is so weird
33512659_397261276830658560 x	RT @BagnarelliCasey: hate randomly waking up in the middle of the night ?
33512659_397261109113020419 x	RT @NFLONFOX: Nick Foles is the only player in NFL HISTORY to throw 7 TDs AND have a PERFECT passer rating (158.3).  Really.
33512659_397237405054668800 x	@kirstenregan happy birthday(:
33512659_397237644398043137 x	@kirstenregan no problem
33512659_397052507433611264 x	@kelsey_dowd let's go
33512659_397021252537155584 x	@erikacioncii happy birthday(:
33512659_397036619682689025 x	@erikacioncii no problem
33512659_396822480116920322 x	RT @victoriago3big: you might hate my words but you know that I'm right
33512659_396821100115410946 x	RT @mharrisCSN: Brett Brown: "I think Michael Carter-Williams is for real" #nooneisarguing #sixerstalk
33512659_396820717305864192 x	Watching netflix
33512659_396749300845510657 x	RT @Dollahhh_Bill: Last night was real, I just woke up
33512659_396537342984335360 x	RT @britneyflaherty: lane for president of ccp #lane4pres @bustin_AGrubbs
33512659_396537273916735489 x	RT @tallllaricooo: lane for president of ccp #lane4pres @bustin_AGrubbs
33512659_396536938326265856 x	Great night @julquinnn
33512659_396536826791350272 x	RT @bender3395: Me and @julquinnn are still up drinking get at us
33512659_396499880962580482 x	Great night
33512659_396463426764943360 x	Lane 4 president
33512659_396446302155710464 x	Party about to turnup
33512659_396429942696599552 x	@_hannahlynnn where at
33512659_396349113068822528 x	@Nick__Barth wanna go up together
33512659_396346754414940160 x	@Nick__Barth how are you getting there?
