114866624_395762058970796032 x	@PJStukas @howardeskin uh, duh.
114866624_388144940632793088 x	The whole TBS pregame and postgame show cast is great, actually. #ButPedroTheMVP
114866624_388145377947697152 x	@Capt_KeepItReal is that a channel?
114866624_350133251450470400 x	We have runs. Utley and Brown score on a double error by Padres second baseman Logan Forsythe. Phils up 7-5 in 13th. Papelbon warming.
114866624_350124081728860160 x	As a Padres writer pointed out to us, Huston Street has allowed 10 home runs in 26 1/3 innings this season.
114866624_354761089369653249 x	How many Phillies players say "For The Love of The Game" is their favorite baseball movie? Way too many.
114866624_369142318621667328 x	Someone is trying to tell me that Ryan Howard right now has the same value Jim Thome had when they traded him. Stop.
114866624_80054190784778240 x	RT @delcotimes: MADSON SHOOTING FOR THE STARS:  http://bit.ly/kQUrAB  #phillies
114866624_354762292354744321 x	@whereskernan @KevinCooney @DennisDeitch not even sure it's overrated. I didn't think anyone thought it was good. Until 3-4 Phillies players
114866624_369136424349466624 x	Mayberry was Amaro's first acquisition as GM. He would have fit in better with the dreadful Phillies teams of the Felske/Elia/Leyva years.
114866624_396295578424188928 x	That sure doesn't look like Mike Trout. Huh. RT @jachobe: Just got a pic with a best player in baseball!!unreal!! http://t.co/SK23NuI9GC
114866624_396296518850068481 x	@T0mmyo uh, ok. Best hitter, sure. Not best baseball player. Not close either.
114866624_396303175244058624 x	@T0mmyo yes, ignoring base running and fielding is not absurd. Gotcha.
114866624_396307476339228672 x	@T0mmyo right. Great, great hitter. One of best ever. But u said baseball player. Total package.
114866624_396310589230039040 x	@T0mmyo no, I don't believe it is. Fittingly you didn't list best overall player: Willie Mays.
114866624_396312795102584833 x	@T0mmyo original point had nothing to do with historical context. Best player in baseball. Right now. 99 out of 100 people would say Trout.
114866624_396314071915835392 x	@T0mmyo I can't go on any further. It's going in circles. Best hitter, yes. Hitting is not the totality of a baseball player. That's all.
114866624_372910609991737344 x	And we head to the bottom of the ninth inning with Train playing over the Citi Field speakers. #Train
114866624_369231622844870656 x	Only three major leaguers have more home runs than Darin Ruf's 6 this month: Alfonso Soriano, Miguel Cabrera and Justin Upton (all with 7).
