1969199864_395513660820303873 x	@Gabby_Durrin what pedals are they?
1969199864_399875079003455488 x	?@Tom_ON: @TimAllenCyclist @wigglebikeshop the sweets are the best thing about wiggle!? Definitely the best part of a wiggle order!
1969199864_399876832579043328 x	@TimAllenCyclist @Tom_ON @wigglebikeshop makes you feel less guilty about eating sweets when there free ;)
1969199864_399874623703359488 x	RT @Si_Wilson: On the 11th hour, on the 11th day, of the 11th Month we will remember them
1969199864_399210835387904001 x	@DaveBatesSL4 far to much of a healthy refuel!
1969199864_399218800534749184 x	@DaveBatesSL4 haha :D I'm feeling the hunger after today's ride!
1969199864_399259181825658880 x	@DaveBatesSL4 at the moment I'm the same, I just always feel hungry!
1969199864_399228854566670338 x	Anyone no of any Sunday club runs tomorrow in the Loughborough/Leicester/Nottingham area? :)
1969199864_399218845682262016 x	RT @premierleague: PHOTO Luis Suarez sweetly strikes his second goal against Fulham. Liverpool lead 4-0 after 82 mins #LIVFUL http://t.co/T?
1969199864_399210660166660097 x	Big day in the saddle. 101 miles, 1500m climbing and it's safe to say I'm knackered! #letsgeteating #cycling
1969199864_398951626180153344 x	RT @roadcc: #Cyclocross legend Sven Nys to ride discs this weekend? Pictures released by Shimano suggest he might http://t.co/JamHNeghlZ #c?
1969199864_398951204027658240 x	@LieslJobson a very interesting read!
1969199864_398923771064492033 x	No races at Elveden next year, gutted! It was the best closed road circuit I raced this year. #gutted #cycling
1969199864_398947156771741697 x	@Tom_ON yep got an email saying no more #elveden races :(
1969199864_398951066987167744 x	@Tom_ON they weren't bad if you pre entered but a few times I didn't, and probably would of gone and entered on the line if it was cheaper
1969199864_398948421484441600 x	@Tom_ON yep a real shame, was good safe traffic free racing. I think the ?25 on the day entry put people off going there though?
1969199864_398925105381650432 x	@SianBotteley whys it been so rubbish :( xx
1969199864_398754090349756416 x	RT @taylorphinney: If u start a sentence w/'Only real men...' u r trying 2 hard 2 justify ur feminine tendencies. From a man who shaves his?
1969199864_398754077657808896 x	@taylorphinney too true
1969199864_398753763231813632 x	RT @lborouniversity: Beautiful sunrise behind Towers this morning. Let's hope for a lovely day! http://t.co/YyYVgCfuKb
1969199864_398753445731368960 x	RT @VeloUK: @RussDowning This is @NFTOProCycling's champs bike with champs stripes, @ContiTyres Durace Ace Di2 11 speed ... http://t.co/FEX?
1969199864_397999299789074432 x	RT @spannawalker: This is hilarious and so worth the read! #stolenLlama http://t.co/TQUs7ywAaL
1969199864_397803275841724417 x	First ride in the dark highlighted that my lights are shit! Anyone recommend me some lights, actually good enough to see pot holes etc! :)
1969199864_397742659659657216 x	RT @JeffOutLoud: Water main breaks at the tip of a penis shaped church in DIXon, Illinois. You can't make this shit up. http://t.co/sxYx86G?
1969199864_397737465014132736 x	@Martintastic I know the feeling! The weathers shit!
1969199864_397736054079635456 x	@DaveMont where did that happen?!
1969199864_397735890275287040 x	RT @NearNakedMan: @roadcc @YBLECOL You won't find the #WorldsMostEyeCatchingCyclingKit on ebay, it has to be EARNED! http://t.co/gHUXXX0axR
1969199864_397735613618982912 x	RT @jimmycarr: Make sure you keep all your pets indoors this evening. They didn?t contribute towards those fireworks so they shouldn?t get ?
1969199864_397674346195734528 x	Any current discount codes @DiscountSupps @Monster_Supp??
1969199864_397675380389474304 x	@Monster_Supp money off for spending a certain amount, etc? I haven't had a code for a while
