22704001_317453613557510144 x	Flyers lost in the shootout. They're now 1-2 in shootouts this year.
22704001_316329321767792640 x	Man. Such Danny Briere hatred! When did this start?
22704001_390975187794919424 x	My pregame prediction: The Flyers will score more than two goals tonight for the first time all season. #FlyersTalk
22704001_298240156379537409 x	Not even an encore?! UGH.
22704001_254234449569538048 x	I never tweet about politics, but I simply cannot figure out how defunding PBS is a selling point to ANYONE, regardless of stance.
22704001_254243717454651392 x	@aboyle7211 It's 1/100th of the budget. Not even. Axing PBS (etc) won't solve any debt crisis.
22704001_387999913599971328 x	Hey Flyers fans, have you heard? @MikeSielski is back in Philly working for the Inquirer! Must have flown under the radar ...
22704001_388833420479967232 x	This is not Rinaldo's best game. At least, um, as far as discipline is concerned.
22704001_396437093288665088 x	FIRE HOLMGREN chants in this building now. Wow.
22704001_395976442762100736 x	Very, very interesting how you all seem to be of two minds on the Talbot-Downie trade. Half of you love it, half seem furious!
22704001_388834551033630720 x	Another man down? Lecavalier isn't on the bench either. So both he and Hartnell are MIA.
22704001_388455537899085824 x	It sucks outside today, you guys :(
22704001_391946779249627136 x	I'm standing outside the Linc. Someone just yelled at me: YO THE FLYERS SUCK. Um. I'm sorry?
22704001_388091306205278208 x	How dinosaurs are made! http://t.co/soRHRj1hJf
22704001_304430129629765634 x	They have to be drained after that one. Tomorrow's game against the lesser Florida Panthers will not be easy. Big risk of a let-down.
22704001_344453595216875521 x	I think I wore the wrong footwear to Merion #muddytoes
22704001_396468112616202240 x	Steve Downie was taken to the hospital tonight after the game.
22704001_364148900082360320 x	Oregon is pretty awesome! http://t.co/iZmnU1no8T
22704001_313794637879992320 x	My parents had to put down our family dog Bo today. Bo was only 10, but she had a rare aggressive cancer. Really sad day in our world :(
22704001_218402256695992320 x	If the Night Market prevents me from finding parking in my neighborhood tonight, I am not responsible for my temper. That is all.
22704001_316716092787666944 x	Fill in the blank: The biggest issue with the #Flyers is ____________. #FlyersTalk
22704001_316705561964056576 x	Said it before and I'll say it again .. Rick Nash was a great pick up by the Rangers. Man.
22704001_353490839105839105 x	Paul Holmgren believes the Flyers are an "improved" team by "a lot" already this offseason: http://t.co/SqLVxdeHpN #FlyersTalk
22704001_395974190890627072 x	I think we could be seeing Giroux centering Lecavalier and Downie. Thoughts?
22704001_395539963334246401 x	The lit-up sign w/ parking directions on Broad St also flashes: "World Champion Heat vs. Sixers" ... way to market the home team, guys!
22704001_391020396189069313 x	Kimmo Timonen will be reevaluated tomorrow. #FlyersTalk
22704001_390999292866883585 x	Now sure what's up, but Kimmo Timonen has left the bench.
22704001_388022757524373504 x	@hater_ex @MikeSielski Yes, I can definitely confirm I don't have one of those.
22704001_387760939216683008 x	Giroux again says his hand isn't bothering but admits his confidence isn't where it needs to be.
22704001_391354838166294528 x	"I'm Still Alive" IS NOT THE NAME OF A PEARL JAM SONG, PEOPLE!
22704001_391353555502006272 x	Asked some dude what he's most looking forward to hearing tonight. He said "I really like 'I'm still alive'" ... SIGH.
22704001_225010661757952001 x	Let's keep the hockey talk strong through the dog days of summer, shall we?
22704001_296644942338617344 x	The #Flyers rank 25th out of 30 teams in goals per game. They're averaging exactly 2.
22704001_292995383091662848 x	I got in a fight with a door at the Wells Fargo Center last night. I have a gash on my face. Hockey season is underway!
22704001_316734776977551362 x	Mezsaros just went to the bench hunched over. He's not happy about something - he fell after a crash and landed awkwardly.
22704001_295700104692768768 x	THAT ... Was a bad goal.
22704001_190193683319111680 x	I'm gonna take flack for this, but it's upsetting to me that the soft pretzels in the press box here are better than the ones in Philly.
22704001_387277074001453056 x	Craig Berube has not yet agreed to the terms of his new contract. That's expected to come later today. #FlyersTalk
22704001_387212061886799872 x	I mean, I get it -- the problems were all the same as last year's. But three games? Might as well have done it last April.
22704001_396494461191979008 x	Flyers fans are apparently so frustrated they don't just want to fire Holmgren ... they're calling for MY head in my stories' comments!
22704001_285452646263963648 x	When you think of the #Eagles' 2012 season, what one word comes to mind?
22704001_396652486800322562 x	Fighting belongs in hockey. What Ray Emery did last night does not. My thoughts on last night's brawl: http://t.co/EI8WsPNihP #FlyersTalk
22704001_396464262341603328 x	Homgren on FIRE HOLMGREN chants, boos, etc.: "If I was sitting in the stands ... I might be thinking the same thing." #FlyersTalk
22704001_396449870325620736 x	Best reason to keep fighting in the NHL? Without it, Flyers fans would have had absolutely nothing to cheer about tonight.
22704001_396450828841545728 x	@urgeok81 ... I guess my joke was lost on you?
22704001_391211229609345024 x	My phone is starting to autocorrect random words to "jam" ... I'm beginning to think I've texted "Pearl Jam" 1 or 1,000 times too many.
22704001_390896744999161856 x	The wins are about to happen, the Flyers say: http://t.co/H1KFbHiXTG #FlyersTalk
22704001_388811758778847232 x	Interesting question posted by @mharrisCSN earlier: Right now, the Flyers are playing at what % of their ability? Your take?
22704001_388666424584962048 x	Attn: Philadelphians who listen to hockey on the radio ... today's Flyers-Coyotes game will be broadcast on @933WMMR.
22704001_387785291953491968 x	In which everyone thanks Steve Mason for the Flyers finally getting a W: http://t.co/guHCIq73Fw #FlyersTalk
22704001_387312067838889984 x	Craig Berube: "We need to play better without the puck" More from Flyers new coach on what to expect: http://t.co/77pPaaTz2q #FlyersTalk
22704001_386212087040462848 x	Ilya Bryzgalov skated with the Las Vegas Wranglers today. Coach/GM Mike Madill says: "All the guys are excited to have him." #ExFlyersTalk
22704001_385583443536404480 x	Can't blame Mason for either of the Leafs' goals tonight. But you can blame those breakdowns in front of him. Same old same old.
22704001_385057333044211712 x	As expected, the Flyers have signed Hal Gill (@Skillsy75).
22704001_383934631453548544 x	Remember: Before Snider's vote of confidence, we all thought Laviolette was on a short leash. The first 15ish games are very important.
22704001_316557961164120064 x	Getting ready to tape today's Lunch Break with THE Bob Kelly. Hope you'll all tune in - 12:30 on http://t.co/EKBxKYXkPe
22704001_386664725133946880 x	When was the last time all of Philly's teams were such a bummer?
22704001_396435882967695360 x	And now ... 5-0 Capitals. This. Is. Ugly. Hooooo boy.
