120631459_389195868991393792 x	Staters gon' state.
120631459_395586555223748608 x	Definitely think I should have been born as a trust fund baby...
120631459_395718683244642304 x	RT @PostGradProblem: "It's only 8pm" is the new "It's only midnight." #PGP
120631459_395648645799768064 x	AI referencing Charlie Murphy/Rick James skit. Legend.
120631459_396098298576400385 x	RT @Deadspin: Teacher accused of being high on heroin in class appears before court, issues statement to the press: "Roll Tide" http://t.co?
120631459_396083793993285632 x	@KyleRice1989 deserves the attention
120631459_396082749901004800 x	http://t.co/2o9yWt2C3A
120631459_395967807151542272 x	@FlyGoalScoredBy Chris Traeger!
120631459_395966643656208384 x	RT @FlyGoalScoredBy: Downie and Rinaldo on the same team jesus christ on a cracker.
120631459_395947589188993024 x	RT @aaronpaul_8: ?
120631459_395926129187770368 x	RT @Skillsy75: Happy Halloween!!! http://t.co/mGABmsVemP
120631459_395901598729515008 x	?@StevePendergast: Phillies High: Shane Moves to California http://t.co/AbsAWrgap5 via @zoowithroy? @Honig17
120631459_395376952741478400 x	RT @twolinepass: .@PKessel81 im glad you're american cuz you're gonna rip the olympics apart ??????
120631459_395353849713528832 x	RT @FlyGoalScoredBy: TYPICAL PHILLY FANS KILLING A HOCKEY LEGEND.
120631459_395353777164652544 x	RT @FlyGoalScoredBy: Do that to Corey Perry NOT Teemu Selanne.
120631459_395009503399526400 x	RT @ShawnGuinan: @brendanjryan15 @StevenNichols10 @_lis911 @ScruffmaDuff @tgiannetta cool bro
120631459_395009059289829376 x	@StevenNichols10 @_lis911 @ShawnGuinan @ScruffmaDuff @tgiannetta yes Steven?
120631459_394624889887653889 x	RT @twolinepass: RIP matt moulson
120631459_394304472501194753 x	RT @evilbillobrien: PSU beat OSU 63-14 and then got screwed out of the national title.  Looking forward to seeing that scenario reversed.
120631459_394303909973753856 x	RT @OnwardState: 56 points is the most that Penn State has allowed in a game since 1899 against the Duquesne Athletic Club.
120631459_394258041874685952 x	RT @zoowithroy: Penn State going with an unconventional coverage scheme there.
120631459_394248995276857345 x	RT @FlyGoalScoredBy: THREE GOALS LETS ALL FUUUUCK.
120631459_394248858584510466 x	Vinnnnnnn
120631459_394243132512301056 x	I hate rosehill
120631459_394242500569100288 x	RT @FlyGoalScoredBy: This feels like a dream.
120631459_394235499046772736 x	Ron Swanson is so good.
120631459_393821614170599424 x	@Michael_Soumas @craighmm hang loose fingers for that. #muckamuckamucka
120631459_393821127547834368 x	RT @Michael_Soumas: @craighmm @brendanjryan15 bored, so I decided to watch #AngryBoys #Smouse
120631459_393812775979712512 x	RT @The700Level: Union?s motto entering final weekend of regular season: ?So you?re telling us there?s a chance? http://t.co/uHNfu5bLMq
120631459_393769632404082688 x	Motivation is low right now.
120631459_393769292552232960 x	RT @tonyisdynamic: ANGELO CATALDI  BORN IN RHODE ISLAND  GREW UP A RED SOX FAN  NOW A FAN OF PHILADELPHIA SPORTS TEAMS  ___________________?
120631459_393769236386291713 x	RT @FlyGoalScoredBy: Are we certain, I mean absolutely sure that Tye McGinn isn't better than Scott Hartnell?
120631459_393522813413634050 x	RT @FlyGoalScoredBy: The Rangers like to eat at Sbarro. That's not a joke it's a sad fact.
120631459_393519390815453184 x	Why isn't everytime the flyers score a shortie, free shorties at @Wawa the next day? You're welcome for the free idea
120631459_393512982296395776 x	RT @RowlffDogg: Big Dogg is in the house this weekend!  Gotta show him how Michiganders roll.  (I can't believe I'm saying that) @ShawnGuin?
120631459_393483294459064321 x	@mradamscott is pretty cool
120631459_393179505504047104 x	RT @FlyGoalScoredBy: Cliff Lee 09 catch forever.
120631459_393028880543797248 x	RT @FlyGoalScoredBy: Big thanks to @philabright and  @The700Level for the extra helping of sadness this morning. http://t.co/rJbByBo1Wa
120631459_393002647080681472 x	RT @LesBowen: Angelo RT @WIPMorningShow: What ONE person do you blame the MOST for the current state of all Philly sports right now?
120631459_392974702035365888 x	Love starting my day with traffic
120631459_392997612972163073 x	@Honig17 preach
120631459_392840006773248000 x	?@KingZAYE: I'm not texting back if the send button is green, get an iPhone u peasant? @blose07
120631459_392821089434611712 x	Found out Ill be handing out Halloween candy this year alone like a single mother because @Honig17 will be galavanting around state college
120631459_392821723151990784 x	@Honig17 ?
120631459_389210958117478400 x	RT @Kurt_BSH: We just got a "strip Giroux of the C, make him earn it back" comment. Oh god it's happening it's all happening
120631459_392822815084515328 x	@Honig17 you're not a step friend anymore, you're a step stranger.
120631459_392692142969470976 x	RT @FlyGoalScoredBy: Okay, the Flyers, I forgive you.  Check out of that motel off of Cottman and and come home.
120631459_392668883418902528 x	RT @JasonAAV: 2014 recruiting rankings:  Sanctionless Pitt: (42).  PSU w/ sanctions: (28).
120631459_392624526074601472 x	RT @zoowithroy: BREAKING ZWR EXCLUSIVE: Dom Brown went to the Kanye & Kim proposal in a Ray J t-shirt.
120631459_392615582329503744 x	RT @TheGoodPhight: Report: Phillies To Sign Monstrous New TV Deal within the Next Month http://t.co/PvqIb6bLUl
120631459_392386770215911426 x	RT @mlse: Imagine Lauren Pronger put a curse on Edmonton when she left? That'd be great.
120631459_392339891159564288 x	?@PostGradProblem:25 Embarrassing Things I Did While Hungover At The Airport  http://t.co/PV7N0dqHn1  @cmay03 @JustinMcCarthy9
120631459_392317448864944128 x	RT @dom9brown: @mindycaaat Philly doesn't love me . I get boo's almost everynight . No big deal use to it.
120631459_392302355276136448 x	RT @zoowithroy: Eagles Week 7 Report Card: Introducing Randy Touchdown and Jamewas Winston http://t.co/SmTJ8HXJQr
120631459_392277543463948288 x	RT @TheGoodPhight: Ruben Amaro: Alternate Reality 2013 Executive of the Year http://t.co/ip3H4hc2dG
