238782539_396817411040505856 x	FINAL: King 46, Franklin 28. King will face Mastery Charter next Saturday for the Pub AAA title
238782539_396815131922796544 x	King gets a Franklin TO on downs at its own 2 which ends in an fumbled snap and safety. 46-28 1:26 left.
238782539_396812241200488448 x	Fast&furious. Watkins scores on a 14-yard run after Dargan broke a 53-yarder. Run failed. 46-26 King with 4:06 remaining.
238782539_396810449921908736 x	Franklin won't go away. Rodriguez takes the ensuing kick 90 yards. XP blocked by James Brewer. 40-26 6:57 left.
238782539_396809662156124160 x	After a Delane Hart INT, King's Ishmael Dargan runs 32 yards for a score. Run failed. 40-20 #MLK with 7:11 left in the game.
238782539_396808603769647104 x	RT @teamant11: "@AA215: Frankford beats Southern 31-14 in semi 2... @HuckPalmer @AceCarterDN @teamant11 #AA"
238782539_396807942638288896 x	RT @AA215: Frankford beats Southern 31-14 in semi 2... @HuckPalmer @AceCarterDN @teamant11 #AA
238782539_396805962452848640 x	Headed to the 4th King leads Franklin 34-20.
238782539_396805439704150018 x	Franklin answers with a 30-yard Caldwell to Javier Buffalo TD. Rafeal Rodriguez runs the PAT in from 11 after a holding call. 34-20
238782539_396803118152699904 x	Walker had a receiver drop a TD pass on third down, but on the next play he ran it himself for a 16-yard score. 34-12 King 2:21 in 3Q
238782539_396799209028206592 x	Walker tries to sneak it in but looses ball in the scrum. Refs call it a fumble. He appeared down from here.
238782539_396798496495239168 x	MLK back on the doorstep after a 60-yard run by Aaron Watkins takes them to the 1.
238782539_396798096170291200 x	An Edward Dennis 30-yard TD run gets Franklin within 28-12. 9:51 left in 3rd
238782539_396793047008043008 x	RT @RallyInq: Imhotep Charter rolls over Prep Charter, 53-7, to capture second straight Public League AA title
238782539_396792299109511169 x	Franklin's Jamere Williams 2 sacks. Edward Dennis 39 rushing yards.
238782539_396791922812915712 x	King holds 28-6 at the half. Walker 113yds passing, 2TDs; 42 rushing yds and another TD. McCray 2 catches for 54. Both TDs.
238782539_396790994018238464 x	Walker and McCray connect again after King takes possession on a Kareem Robinson interception. Walker|McCray 15-yarder. 2pter no good. 28-6.
238782539_396785972462899200 x	Walker with a 12-yard keeper scores after fumbling snap. Worked so well he did it again for the deuce. 22-6 King
238782539_396780526003965953 x	King's Walker hits Mark McCray for a 39-yard score. Run failed. 14-6 King
238782539_396777065430536192 x	A Franklin 5-yard TD pass by Kevin Caldwell to Jamal Lane. XP no good. 8-6.
238782539_396774213513924608 x	King's Takeem Ford takes the opening kick 84 yards for a TD. Joseph Walker made it 8-0 with a 2pt keeper
238782539_396768901985349632 x	Just got to share the sideline with @DHuntTrib ... A GREAT way to start the night!! #Respect
238782539_396766860059746304 x	Getting set here for the second half of the Pub playoff double header at Gratz SS, King vs Franklin kick at 7 pm
238782539_396392016424484864 x	Final: Bartram 20, Lincoln 6
238782539_396386817441665024 x	Braheem Edwards hits Gary Johnson for a 9-yard TD pass with 1:38 left. 2pt failed. 20-6 Bartram
238782539_396383438476808192 x	Bartram driving. 3rd and 6 from the Lincoln 7-yard line under five remaining
238782539_396381755235500032 x	7:18 left in the 4th Bartram still leads 14-6 and have the ball at own 31.
238782539_396370393348333568 x	Bartram leading Lincoln 14-6 at the half.  Makai Sheed's 44-yard pick-6 with :11 left in the half is the difference.
238782539_396353158899064832 x	Bartram at Lincoln off to no start because Bartram's bus arrived at 2:50. Warming up now. Likely tee it up in 10 mins...
238782539_396238044590010368 x	@jmasonnewsbreak thanks, Joe. He seems like a good kid. Can't wait to see what he has on the court now
238782539_396019847886143488 x	Central beats Gratz 14-0
238782539_396011552702074880 x	Coplin and Moseley connect again for a 27-yard TD with 6:47 left in the fourth. Two-pt run failed. Central leads 14-0
238782539_396008863981264896 x	End of third Central still leads Gratz 8-0
238782539_385094988918702080 x	@RichieKalikow thank you, kind sir
238782539_396000891276242945 x	Central QB Jeff Coplin's 25-yard pass to Brian Moseley is the game's only score. Walt Pegues' run for 2 makes it 8-0 Central at the half.
238782539_395983805128769536 x	Getting set for some non-league Pub football: Gratz at Central 3 p.m. kick. http://t.co/mUIPFQF7HI
238782539_394639869362057218 x	RT @PatMcLoone: @AceCarterDN the Daily News thanks both teams for the Sunday game!
238782539_394630701162958848 x	Per O'Hara head coach Danny Algeo, Bonner-Prendergast will be at O'Hara   Sunday, Nov 3. at 1 pm.
238782539_394184314348654592 x	Final: Father Judge 10; Roman Catholic 7
238782539_394183336773828608 x	Connor Foley's 36 FG with 1:33 left gives Judge a 10-7 lead
238782539_394168410378354688 x	A Matt Carroll to Clayton Rush slant went for 68yds but Rush was caught at the 5. Later, Marquis Seamon went for 53 but was caught at 2.
238782539_394167627742203904 x	Scoreless 1st hlf between Roman and Judge. Windy conditions, but Judge  was stopped 2x in red zone after long plays were tracked from behind
238782539_393850456730255360 x	Final: Prep Charter 40, Roxborough 12
238782539_393842949823692800 x	Simmons does it again. This time on a 22-yd pass. Kick no good. 34-12 PC
238782539_393841984584286208 x	After a Rox fumble, PC Curan Simmons catches a 33-yard TD. Two-pter by Strothers 28-12 Prep Charter. 4:46 in third.
