1658597894_396116155959488514 x	Happy Halloween! #BIg Red #Ditka http://t.co/bfevlr5Skn
1658597894_396106045635829760 x	@brendenp2011 Yo Philly #whatup
1658597894_396045195361259520 x	@Jeff_McLane Is that a Wissahickon Jersey?
1658597894_395381830939332608 x	RT @TheDailyShow: We aren't selling Kristen Schaal but we are selling her vagina!....costume. http://t.co/YcXFmUJodg
1658597894_395381539779141632 x	RT @LarryFitzgerald: Big congrats to my guy @ShaneVictorino on his #GoldGlove! Solid ballplayer and a better dude! #MLB #RedSox
1658597894_395346364739387392 x	@ReluctantSE @tpanotchCSN Gaffa!
1658597894_394975105870462976 x	@TheSportsDude_  I am up 22 and my opponent has Wilson and Lynch #trouble #Noshot #Philly #yowhatup
1658597894_394498100305612800 x	@brendenp2011 What a horrible call!   Blue couldn't make that call from where he was infield blue should have made that call if need be.
1658597894_394497666765565952 x	RT @brendenp2011: Call in last night's World Series was a complete miscall. Worse than Seahawks-Packers last-play call considering scale. S?
1658597894_394175047138824192 x	RT @ColbertReport: "Researchers have developed a breathalyzer for #marijuana. It's already been turned into a bong." http://t.co/kAXp4nV5dR
1658597894_394058923063672832 x	@BleedingGreen as for Phil Simms is he analyzing his careers? #has been #LT #Hoesteller
1658597894_393495080398782464 x	RT @brendenp2011: Now this is a #TBT. Me and @Garrett_Roux in 8th grade. What were we thinking? #longhairdontcare http://t.co/dQ94M1CK6r
1658597894_393494622041038848 x	RT @SportsCenter: RT @JermichaelF88: Home Sweet Home! #FinleyStrong
1658597894_392091076867416065 x	RT @brendenp2011: Chiefs now 7-0. Might start 9-0, can't say they'll beat Denver after that. I think #Chiefs and #Broncos will both be 9-0 ?
1658597894_390983735707197440 x	@brendenp2011 that's my boy!!!   Oh wait?
1658597894_390983602231857152 x	RT @brendenp2011: My brother had a free ticket to the Flyers game tonight and didn't go because he "didn't feel like it." You're no brother?
1658597894_390441871283322881 x	RT @nufced: Have you heard ?Chip Kelly on Dr. Phil? by SportsRadio94WIP on #SoundCloud? https://t.co/U9iUjZEjec
1658597894_390239328947154944 x	@sbaickerCSN sick as in Pepto
1658597894_386988881935347713 x	@BrandonBoykin2 @Eagles what an effort serious effort on that snatch. Congrats!!!!
1658597894_386988551411609600 x	RT @BrandonBoykin2: Great win. Whattup Philly? #blessed  #playmakers
1658597894_386929313242959873 x	Andre Rolle Cheap cheap cheap!
1658597894_386928027172876288 x	Coughling looks like such  a whiner every time I see him!
1658597894_386926628435415040 x	RT @brendenp2011: I love the way Foles runs this offense. Great drive there.
1658597894_386920745722720256 x	This is a joke lying down!!!
