406855026_394581220409233408 x	@AFansler10 no clue
406855026_394248140590940160 x	@Rkahla stop creeping on me you weird bastard
406855026_392357663834927104 x	Just drove by @DJ_HAM304 and @JuiceNixon_
406855026_396481989458821120 x	@Hartsy19 you're literally horrible.  You've had absolutely ZERO impact on any game this year
406855026_396481488860246016 x	@28CGiroux way to lead the team.  That C should be stripped from your jersey.  Fortunately for you not only do you suck but your team too
406855026_396481302880190464 x	@Simmonds17 you're a one dimensional joke.  Just go stand in front of the net.  You're just a pure goon
406855026_396481107065331712 x	@Bschenn_10 how did I know you wouldn't come close to your expectations?  Your brother is equally as bad if not worse
406855026_396480907944927232 x	@Bschenn_10 you're a absolute classless joke.  You have no hockey skill that was advertised, so you fight to try to compensate.
406855026_396479202591277056 x	@CrossingBroad :(
406855026_396478134595633152 x	@tpanotchCSN do you see a trade happening soon
406855026_396475806001942528 x	@TedStarkey @tpanotchCSN as a flyers fan, that "spark" comment the announcer made was sad, just sad
406855026_396475587948449793 x	?@tpanotchCSN: told Flyers chairman Ed Snider left the game after 2nd period.? GOOOOOOD
406855026_396475251183607808 x	@CrossingBroad is right.  Flyers fans are in their own world
406855026_396471878904446976 x	@DylanM64 opinions are like assholes
406855026_396474130398457856 x	@DylanM64 absolutely not "breh". That's a poor excuse to be witty there bud
406855026_396474700148527106 x	@DylanM64 I actually laughed harder the second time.  Go for 3, I might cry of laughter
406855026_396473905717972993 x	@tpanotchCSN do you see a trade coming?
406855026_396473865385541632 x	@BroadStBull do you see a trade coming?
406855026_396473630420656128 x	@daveizzle @NHLFlyers #nattitude
406855026_396472598798020608 x	@BroadStBull he won the fight but embarrassed the organization
406855026_396472417729933312 x	@DrewTilley @Simmonds17 too bad he fucking sucks
406855026_394203767220211712 x	RT @Slim8ty: @ManOfAllSteins always had mad hate for Larry
406855026_396470936003960832 x	@JohanGartner @ksfortier @CoverThePuck @bradleyc4 at this point it's all just slop on ice
406855026_396467738983821312 x	@markdono94 lol your islanders sure have been a force lately huh?
406855026_396470640724946944 x	@markdono94 it's gonna take us a long time to contend again
406855026_396470221860769794 x	@markdono94 I agree, whole thing was a joke.  Just pissed off at the moment to be honest, my bad
406855026_396469983393619968 x	@phillytokorea @MtAiryPhil975 @Sixers @WashWizards @mcw yeah.  It's a shame it appears as though the sixers don't want him
406855026_396467039243870208 x	?@GirouxScoreYet: No.? @28CGiroux
406855026_396466885891747840 x	@AkosScott your avi
406855026_396465865215840257 x	@KerithBurke @MikeSielski they're digging deep for a new roster
406855026_396449153204879361 x	@Sixers could you explain to me why the fuck you're winning?  Then you hashtag "togetherwebuild".  You can't build with shit picks
406855026_396457076681355264 x	@BIG_CHODE it kills dude
406855026_396442807537500161 x	?@sbaickerCSN: FIRE HOLMGREN chants in this building now. Wow.? No reason they shouldn't.  This is flat out sad
406855026_396442590192861184 x	RT @CrossingBroad: As they should ?@BrauckObama: @crossingbroad paul must go chants ringing through WFC?
406855026_396433634288488449 x	@MikeSielski they need people to lose their jobs
406855026_396329605226717185 x	RT @subaru_usa: Subaru breaks previous best year & sets fifth consecutive yearly sales record (347,890 YTD) up 28% over 2012.
406855026_396318592603394050 x	@T0mmyo @ryanlawrence21 @jachobe you're both wrong.  The best player in baseball goes by the name of Michael (mini mart) Martinez
406855026_396307172973236224 x	RT @jachobe: Just got a pic with a best player in baseball!!unreal!! http://t.co/PsjPj0QfTt
406855026_396053648981372929 x	@975TheFanatic @NK975 not after one game
406855026_395985569454759936 x	@MikeSielski I love that in order for our 8 million dollar captain to produce we have to try to put different players around him.
406855026_396003291668439040 x	@PhillySports724 @MikeSielski that's true.  He does look a lot better than he did
406855026_395963918712967169 x	RT @DanyAllStar15: Yeah, Varlamov is a fuckin baller. 7-1 on the season but fuck it he's just kidnapping people left and right n assaulting?
406855026_395735538298150912 x	@FightinForPHI Hopefully we don't look like that every night...
406855026_395731358473269248 x	RT @SportsCenter: Michael Carter-Williams EXPLODES onto NBA scene in an upset over Heat. 9 steals are most EVER for rookie in a debut. http?
406855026_395726922778284032 x	#MCW
406855026_395722460664168449 x	RT @KNegandhiESPN: MCW putting together one of the best debuts ever in a @Sixers uniform. What a night for the rookie vs. the Heat.
406855026_395718557730107392 x	RT @ESPNStatsInfo: Via @EliasSports Michael Carter-Williams has 7 steals, the most by any player in NBA history in a career debut.
406855026_395693328555339776 x	RT @ESPNStatsInfo: Not a typo ... 76ers lead Heat, 23-2
406855026_395692189868494848 x	RT @HARRYMAYES975: Put the subs in Brett!  #Sixers
406855026_395691394955632640 x	RT @EliotShorrParks: Sam Hinkie should walk to halfcourt right now, middle fingers raised, swag on a trillion. #Sixers
406855026_395691244698861568 x	@PhillsNation96 #togetherwetank
406855026_395642601392848896 x	RT @SportsCenter: Allen Iverson was listed at 6'0", 165 pounds, but he retires a GIANT of the game. http://t.co/dxkWuN17gd
406855026_395634228282814464 x	RT @EagleFanProbs: Today a true legend, hero, and Philadelphia icon officially retires. Thank you, Allen Iverson, see you in the Hall. http?
406855026_395624931817713664 x	RT @ReggieMillerTNT: .@alleniverson had the heart of a lion, congrats on a fantastic career, I luv'd the battles throughout the years. 1st ?
406855026_395619384372494338 x	RT @975TheFanatic: Iverson: I'm always going to be a Sixer until I die.
406855026_395614783774666752 x	?@CrossingBroad: They should?ve let Pat Croce play owner for a day for this.? @Slim8ty
406855026_395614704191930368 x	Official retirement of one of the best ever #AllenIverson
406855026_395609452910768128 x	RT @Slim8ty: @ManOfAllSteins baker dozens coming right for heaths window
406855026_395608830006284288 x	@Slim8ty mine
406855026_395608188890136577 x	RT @tpanotchCSN: Luke Schenn's accidental stick to T.Selanne's face cost him 4-5 teeth. He needs oral surgery; out 2 weeks per @icemancometh
406855026_395599010083659776 x	@Hartsy19 maybe it'll help you not play like shit
406855026_395551925967802368 x	It starts tonight #109876ers #TankForWiggins
406855026_395360404278636544 x	I'd love if the flyers could play a full game just once
406855026_395331851193053184 x	@PapawRoidt damn shame the nba is ahead of the nhl
406855026_395287447502065665 x	#FreeFedEx
406855026_395287231050444800 x	RT @Ike58Reese: My former teammate Freddy Mitchell just received 3yrs(37months) in PRISON! #WTFEEZEY #DontPlayWithTheIRS
406855026_395283056421912576 x	RT @DJ_HAM304: @meyer_eli http://t.co/oOfz2EAl2Y
406855026_395282965975924736 x	@neilmccormick20 is Jodie Meeks sick?
406855026_395282310364663808 x	RT @EagleFanProbs: Unfortunately, all good things must come to an end. The great, historic, memorable Isaac Sopoaga era is over as he is tr?
406855026_395274306395320320 x	RT @AdamSchefter: Sounds like New England close to trading for Eagles DT Isaac Sopoaga.
406855026_395263583916810240 x	?@mstairs12: 5 years ago today World Series Champs, feels  like yesterday. Moment I will never forget. Thanks Philly.? Thank you Matt
406855026_395263523447898112 x	@PapawRoidt @NOTSportsCenter hahaha they're gonna be horrible
406855026_394938917029687297 x	@LesBowen who the hell would we trade?
406855026_394913305539907584 x	RT @975TheFanatic: @ManOfAllSteins @il_babbo http://t.co/R0CcyjcJCO
406855026_394906760659861504 x	RT @BleacherReport: LeBron James calls Allen Iverson "pound for pound the greatest player ever" http://t.co/2nM0s88MK4
406855026_394906009971740672 x	@il_babbo @975TheFanatic @MikeMiss975 what was he saying?  I missed it?
406855026_394854415288791041 x	RT @36westbrook: Well the film was as bad as I thought
406855026_394584117498888192 x	@ZERTZ_86 so do you plan on making a fucking play at some point this year or nah?
406855026_394583537849876480 x	@AFansler10 it's pathetic to watch
406855026_394564993926311937 x	If theres one thing I've learned over the past 3 years of eagles football it's that you should NEVER  take being in the playoffs for granted
406855026_394581515516264448 x	@PapawRoidt the raiders are no joke ridiculous
406855026_394579791833485312 x	?@Giants: Eli Manning: "We still believe"?you beat the fucking eagles big deal
406855026_394562752888705025 x	?@975TheFanatic: Eagles TE Zach Ertz joins the post-game show now!? Ask him how he's managing to do absolutely nothing
406855026_394560606441054208 x	@neilmccormick20 I fucking hate him
