41587022_388044482765418496 x	RT @Daraghmclove: @TotallyIrish98 @steviecummins the godfather!!!!
41587022_396410460213637120 x	RT @panthersblondie: I retweet small and large accounts every day.   I may not congratulate you on a milestone, but my RTs mean I consider ?
41587022_396410084903096321 x	@ScottNotBarry means you have a flatulence problem.
41587022_396387783579013120 x	@Chantic you're made of cement?
41587022_396392456398581760 x	@Chantic dear one. It's a rather weak play on words about building. I'll do better in future I promise.
41587022_396394911299563520 x	@Chantic you too cement girl. :)
41587022_396397040038866944 x	@Chantic I seriously doubt that.
41587022_396396794084880384 x	@ChucklesDowner at least she smells of cinnamon
41587022_396396632738365440 x	@Grind_n_Roll ooh, arty.
41587022_396396383139561474 x	@FixedOpsGenius so you're saying Lady Gaga is a wanker?
41587022_396395545117605889 x	@StellaGMaddox after looking at your profile pic. Yes, yes he will.
41587022_396395128145063937 x	@spin1038Ryan your dog should not be drinking wine.
41587022_396393786936688641 x	@TallerThanATree it also takes up considerably more room.
41587022_396393488939769856 x	@Cunda22 I was pretty proud of that one myself. Thanks.
41587022_396393260832555008 x	@Honeypie420 that and falling over.
41587022_396393156063023104 x	@scottishwildcat @Shykinky I am about as computer literate as a strawberry. I couldn't turn off a retweet if I danced in front of it naked.
41587022_396388389827919872 x	@ChucklesDowner fuck you and your fucking children.
41587022_396390091889065984 x	@ChucklesDowner a boy's best friend is his mother.
41587022_396391945561722880 x	@ChucklesDowner ask Norman Bates. He was an American and loved his mommy. Am I pronouncing that right? Mommy?
41587022_396391221469675520 x	@Cunda22 if she said lie down and roll over you'd do it in a heartbeat.
41587022_396390861564837888 x	@darraghdoyle nope but it teaches us about Peig Sayers so we're about even.
41587022_396390486015234048 x	@Shykinky sing it from the rafters.
41587022_396390358428684288 x	RT @Shykinky: Newly followed someone. One day later and I have to unfollow because they retweeted 20 tweets by one person in the space of 1?
41587022_396389823826886656 x	@tedalexandro careful Ted. That's the last place you want to be seen with an erection.
41587022_396389357126688768 x	@TrueTorontoGirl said every Catholic priest ever.
41587022_396389116965040128 x	RT @rpbateman: Just merely referring to it as a pro is underselling my crastination abilities.
41587022_396389015496445953 x	RT @OnBeingHer: How beautifully explained. http://t.co/1lWZjMyymE
41587022_396388723614814208 x	@rpbateman your birth.
41587022_396388626055323648 x	RT @The_Dorkster: *switches from vinegar to honey  *catches more bears than flies  *sues everyone's grandma  *builds log cabin out of artif?
41587022_396388222466785280 x	@lovesflanery I just left the happiest plaice on earth. He was swimming with all his friends- checks your tweet- sorry, never mind.
41587022_396387428279525376 x	@Chris0u24 I know, the binoculars fog up, then you have to clean them on your raincoat, then you fall out of the tree
41587022_396387105670443008 x	RT @Vodkantots: "That candy is for older kids, Honey."  -what I say to 3 about all the good shit
41587022_396386881023512577 x	RT @MiSsSnObBy: You know I'm drunk cause I'm *being awesome and am so much fun to be around   *on the phone with my mom yelling and crying
41587022_396386809405779968 x	RT @alexroehl: I slurp my spaghetti, because I like to challenge my wife when she does laundry.
41587022_396333042928992256 x	Train I'm on seems to be on fire. Seriously.  We just stopped at a station billowing smoke. I didn't get off. Ten people got on. #Ireland
41587022_396341544636391424 x	@paddybrown100 every fucking time. It was twenty minutes late arriving too.
41587022_396344787911340033 x	@paddybrown100 I need public transport about as much as you need a hair straightener
41587022_396339290684530688 x	Made it! Pearce station never looked so good. Now all I have to do is jump the barrier and outrun the security staff. I feel like James Bond
41587022_396344449418424320 x	@angelawalsh2112 you'll be pleased to hear I'm safe. At least for once I have a -A funny thing happened to me on the way here- story
41587022_396338481276149760 x	Almost there. Wheezy and his mother got off. Young people today have no staying power. I'm made of sterner stuff.
41587022_396337714918092801 x	Wheezy was playing possum. He had the inhaler. I don't know how long more I can keep typing. Feeling a little faint.
41587022_396337435845865472 x	Only three more stops till mine. I like those odds.
41587022_396337219889557504 x	Train slowing down, thinking of jumping but I only just ironed these slacks. Wheezy is strangely silent.
41587022_396336766900510720 x	Wheezy's-my nickname for the asthmatic kid-mother is shouting something at me but I can't hear her over the sounds of coughing and gasping.
