44515693_69256296918036480 x	She makes it impossible
44515693_68416425668247553 x	@JelenaSparks yoo
44515693_165574439906459648 x	Love her like crazzy
44515693_163660797095055361 x	Something wicked thus way comes
44515693_163155446272770048 x	Deeper now then before poetic notions
44515693_161508236405649410 x	Im doing all i can
44515693_160980221858807808 x	Seeing her melts my heart
44515693_160558651369721857 x	Wonder if she thinks of me too
44515693_393216329031090176 x	How do you change what you can't see .....
44515693_392787682482745344 x	@SarahLC78 welcome back to the land of Twitter
44515693_70490501110972416 x	On my way to the othopedic dr yippie
44515693_392788784653565952 x	@SarahLC78 it took me a while too once I started again nice to hear from you again :-D
44515693_392789587002941441 x	@SarahLC78 we only worked for an hour and the other 15 hours was drive time. ... We got paid for the ride so ...
44515693_392790967700692992 x	@SarahLC78 I'm not complaining lol ... Love that profile pic ... Miss our chats too
44515693_392808926963851264 x	@SarahLC78 I know but still awesome
44515693_392172646009675776 x	15 hours on the road really makes you think about life love and the decisions you have made along the way ...feeling enlightend ...
44515693_392067368433635328 x	Hope all is well
44515693_391959265852014592 x	RT @MartineSJersey: "...if you can't handle me at my worst, then you sure as hell don't deserve me at my best." -Marilyn Monroe
44515693_391955473152626689 x	@MartineSJersey hope all is well
44515693_201391386044538880 x	All about timing she says huh
44515693_372405490547818496 x	@Smiley360 straight baking soda works well try adding vanilla extract for flavor i recommend arm &hammer brand
44515693_372404639997501440 x	@ladylost2 me too
44515693_372404361457967104 x	hello everyone @Smiley360
44515693_372403901221195776 x	soooo
44515693_372403563877511168 x	I'm going to the #AHSensitive Twitter party on Tuesday 8/27 at 1pm ET/12pm CT/10am PT! All the details at http://t.co/1FK2CuZzFe
44515693_358423208422146048 x	@PhillyThrottle Derek didn't recognize u first time I watched show keep up good work don't break no more bikes bro
44515693_341726596786450432 x	@mailgal2000 hello :-)
44515693_341607405097992192 x	@HuffPostLive @ThatKevinSmith @mailgal2000
44515693_341596101633265664 x	@mailgal2000  was it something I said lol ?
44515693_341519033390219264 x	@mailgal2000  try to stay positive hope u have a good day  even though its crappy out :-)
44515693_341332905722777601 x	Finally home  :-)
44515693_341317253918244865 x	RT @PhillyComedy: RT this tweet for your chance to win FREE PASSES to the #CapeMayComedyFestival #PhillyComedy
44515693_341282242661871617 x	Is it 6 yet ugggh
44515693_341001526199869440 x	@SheenaParveen please follow me im in a twitter race with a friend  :)
44515693_341000945523638272 x	@philaphillies please follow me im in a race to see who can get more followers with @mailgal2000  she kicking my but
44515693_340806592796696576 x	@mailgal2000 hope you have a great day at work
44515693_340669216065720320 x	@mailgal2000 hope you had a good night hope to talk too you soon
44515693_340320013586137088 x	@mailgal2000  is the best xoxo
44515693_340319412370427904 x	Had a great time with @mailgal2000  can't wait till the next time then the next time     :-)
44515693_339986758039134208 x	Had a kick ass night telling kick ass stories to a kick ass girl .. no matter how bad she says the stories where @mailgal2000
44515693_340173376012296192 x	@_Bacon_Bit_ good night indeed
44515693_340172326979125248 x	Can't wait to meet @mailgal2000  :-)
44515693_340107747272056832 x	@mailgal2000 I'm a lucky guy
44515693_339984478934020097 x	RT @mailgal2000: @antman1214 andcona cock !!
44515693_267731566892040193 x	#trekwars cool
44515693_263151414996520960 x	@philly311 quick question is Philadelphia. Still under state of emergancy through. Tuesday. I want to be sure if I don't go to work
44515693_263161355719290880 x	@philly311 but as of now the state of emergancy is in effect?
44515693_262943942205661185 x	@MikeJerrick hey just wanted to tell you the target. Store in bridesburg where I work is closing at 1:30 be safe
44515693_217792474196881408 x	My life is shit
44515693_217559308659982337 x	RT @WWETheBigShow: I laugh at the haters. None of you can even lace my boots. I have competed with the best. My accomplishments are lege ...
44515693_217558837375406080 x	RT @NotebookOfLove: Sometimes I wish I could read your mind to find out how you feel about me.
44515693_217558808539570179 x	RT @TextMeThis: If you make me just an option, I'll make you just a memory #relationshiptexts
44515693_217558764012830720 x	RT @LostWords_: It's tearing me apart to know that I've tried so hard but still... I can't have you.
44515693_217558701530292225 x	RT @LostWords_: You can't force yourself to stop liking someone, but you can tell yourself that you deserve better & try to move on.
44515693_217558654797352960 x	RT @NotebookOfLove: I've made lots of mistakes in my past...but if you judge me on what I did in my past, then you have no reason being  ...
44515693_69793560202985472 x	At mercer cafe
44515693_217558550539542528 x	RT @NotesOnGirls: I can choose to let it define me, confine me, refine me, outshine me, or I can choose to move the heck on and leave it ...
44515693_217558338731380736 x	RT @Vintage215: Stop letting others define and set the pace for your life.
44515693_217558217096564736 x	Fuck you. You know who you are pretended to be a friend just to fuck with my head bravo bitch
44515693_216196900905431040 x	So  at my lowest point ever all I see is darkness ahead I lost my mind and my heart following a dream that i had no bussiness dreaming
