562883637_280764317006176256 x	RT @MentalPoison: @CroMagComedy Remember to send us your #twopics for Monday's show!
562883637_397944642005905408 x	Listening to this week's Mental Poison. These guys are the best comedy podcast going. http://t.co/SHVG6xaFyS
562883637_397944048482533376 x	@davidalangrier just watched Blankman for the 10,000 time. Still hilarious!
562883637_397932481519026176 x	RT @NoQTommy: @CroMagComedy Perform for Def Jam Nov. 24 Secure a meeting @ Def Jam in NY Register Today 610-659-4485 http://t.co/TAjKylgUSI
562883637_397932411180556288 x	This shit sucks.
562883637_394853256637448192 x	@thedheadfactor is a wicked funny podcast from down under. Go check them out!
562883637_393207661782925313 x	Coolest MEME ever. http://t.co/0gGd0dULW3
562883637_388509953671311360 x	Hahaha! http://t.co/svHdJ78w6C
562883637_387250620400697344 x	@MentalPoison good to have you guys back. Whatever happened to Farfugnuten?
562883637_387076086569656320 x	@TheNakedSun1 alright, this is some music I can bug out to.
562883637_370579837431185408 x	RT @PhillyDope: Hottest band in Philly...go!
562883637_370579823279632384 x	@PhillyDope @THEkidfelix hands down.
562883637_368744366816231424 x	Crapsticks.
562883637_368058765696040960 x	RT @KrautLaserVomit: If you're named "class clown" in clown college, does that just mean you're a really excellent clown?
562883637_365949146953310208 x	Who you gonna call? http://t.co/E5e2eYZXv3
562883637_365948781054816256 x	I pity the Jedi http://t.co/2qK7xtCW4w
562883637_360668778364809217 x	RT @MarcusDarpino: Insomnia takes a hold of me tightly  sleep like a crackhead daily & nightly will I ever sleep? I don't know, turn off th?
562883637_359898705912012802 x	Why'd the chicken cross the road? ANSWER: AIDS
562883637_359209544250970112 x	Listen to the man, he seems serious. http://t.co/WoRygnPfCR
562883637_356596818294996992 x	Gotta admit, kinda psyched for tomorrow. Mental Poison turns 100, lol.
562883637_356596656893988865 x	RT @JimiEarly: Who is this George Zimmerman and Trayvon Martin everybody is talking about?
562883637_354284555756253184 x	Where do babies come from? @mentalpoison #twopics
562883637_350381145235529731 x	RT @TheAVClub: Paula Deen loses corporate sponsors, but gains book sales, cruises, and Glenn Beck http://t.co/l18RIRH1pY
562883637_339041089157738496 x	@MentalPoison #twopics how did you assholes all meet and what's the story with this shit show?
562883637_331999357400399872 x	The only food I have left in the house are frozen peas. FML.
562883637_329015709613047808 x	@MentalPoison #twopics keep your pimp hand strong. Have you ever procured the services of a prostitute?
