27256398_422966809411993600 x	@jkirk5009 incorrect.
27256398_422926645230854144 x	Kofi is the most under rated person on the roster
27256398_423890440174444544 x	@JimmyKempski it only goes to 3 no #2 or #1
27256398_423890804357480448 x	@JimmyKempski well tablet, but I'd imagine same platform.
27256398_423856414990548993 x	RT @steveaustinBSR: @DeseanJackson10 Heard you lost some $$$ to thieves. DM your info and I'll hook you up with a Fort Knox safe. http://t.?
27256398_423856262351441920 x	@rachb7 not to be random but digging that hair
27256398_423847044978311168 x	@FlyEaglesNation @Mir_610Made lol big no
27256398_423842020801515524 x	RT @MaxwellFootball: Congrats @Eagles Coach Chip Kelly, @MaxwellFootball's 25th Greasy Neale Professional Coach of the Year Award winner.
27256398_423831975695097856 x	RT @Eagles: One year ago, Coach Chip Kelly joined your #Eagles. And what a year it's been: http://t.co/GcTPtFuzBh  #FlyEaglesFly http://t.c?
27256398_423648101887651841 x	@terilyns68 I'm learning it as well
27256398_423648411909636096 x	@terilyns68 yeah I've always wanted to
27256398_423648929453187072 x	@terilyns68 it depends as long as I wasn't yelling earlier that day but I have a good voice for acoustic
27256398_423649140929986560 x	@terilyns68 lol when I'm confident I'll make a video or something
27256398_423520033885921280 x	Lol never mind it was an award by something I have never heard of lol
27256398_423469326331830272 x	I heard it took 4 hours for some people get to work today. Traffic here is no joke.
27256398_423319007081807872 x	@JJBUTTUH don't be surprised if video of outside your crib pops up
27256398_423309481096003585 x	Need to stick to the gym lose those 10 lbs and once summer is here enjoy a corona on the sand with the waves coming in #goodtimesgoodvibes
27256398_423308397329801216 x	@cg187 @PhilEagles4ever once summer hits it goes by fast. Cuz my ass is drunk on the beach everyday.
27256398_423304484778172417 x	@Free2FiVe oh shit never mind. Hope all is well
27256398_423304399948365824 x	@Free2FiVe come scoop me
27256398_423300549795385344 x	RT @MissEaglette: RT @MostSecretFacts: Oral sex can help lower blood pressure.
27256398_423292817486905344 x	Clutch win Flyers!
27256398_423286479620931585 x	@TYLERR_DURDEN and this is why you're beautiful.
27256398_423278521776357377 x	@ilikebeards62 did you start it by the record button or the play button?
27256398_423241206358081536 x	RT @EvanMathis69: If I make next year's Pro Bowl I'll do it. ?@Mfarabella: @EvanMathis69 his mullet perm would look much better on you imho?
27256398_423206037798551552 x	@Philatticus @Damon089 @KhandymanSports @blakejud I do as well but it's a sort of asinine comment to say the loss of lazor doesn't impact
27256398_423206844107337728 x	@Philatticus @KhandymanSports @Damon089 @blakejud I feel you reaaaaly underestimate the importance of position coach's
27256398_423211222616788992 x	@Philatticus @KhandymanSports @Damon089 @blakejud coop has alway been a good wide out just needed 2 be thrown 2 tebow got a heisman cuz coop
27256398_423211746464382976 x	@Philatticus @KhandymanSports @Damon089 @blakejud of course but we are talking about somebody making tebow look good, it could be HS ball
27256398_423212685732614145 x	@Philatticus @KhandymanSports @Damon089 @blakejud yeah but coop had better career in FL than hernandez then again he played a year longer
27256398_423187003690471424 x	@TheMiamiQueet it's my favorite movie as well lol yes we can but only if I can call you Tyler durden
27256398_423186670285234176 x	@TheMiamiQueet well we can watch cheesy romantic movies then or porn
27256398_423186391385006080 x	@TheMiamiQueet if you were close I'd say come over and let's watch rom coms to cheer you up
27256398_423185950819516416 x	@TheMiamiQueet who are you talking about and are you ok?
27256398_423175337116450817 x	@STANRZ @TheZompster foles played really good 2nd half better than brees imagine if alex made it an advanced u saw how bad Carolina looked.
27256398_422963635540221953 x	Their is nothing more attractive in a female than ambition.
27256398_422965716233748481 x	@jkirk5009 not in my opinion
27256398_422967181992013824 x	@jkirk5009 actually I'm not sure their is meant to show possession there is for direction
27256398_422967705260789760 x	@jkirk5009 http://t.co/FqlQWbnGr6 according to this I could use either
27256398_422915990222295040 x	@TheZompster real bad writing, they are getting pretty Crappy reviews that's why they tried Daniel bryant, they will get revamped probably
27256398_422842776829820928 x	@TorreySmithWR same here i always got seasick i always had to look at the horizon, made me feel ok instantly for some reason
27256398_422842567693451264 x	@terilyns68 @PhilaBurger so I'm the only person excited to see the best wide receiver and best CB in history play again?
27256398_422815911595474944 x	@yeswhatisaygoes @PhilaDehlia @eatmygingerbox @sy13088 that girl on girl love ???? ain't nothing better
27256398_422815121204051968 x	"@FakeLeseanMccoy: Colin Kaepernick dresses like a douche. He doesnt have #ShadySwag http://t.co/9RaoNYBW70" if beiber was half black and 6'
27256398_422810925310443520 x	@TheZompster you won't say it to his face tho
27256398_422811613935448064 x	@realprinceblue @TheZompster are you referring to me? Cuz I appreciate my twitter game.
27256398_422812588578439168 x	@TheZompster @realprinceblue zomp stopped believing in dual threat QB'S after playing as vick in madden 04 and not producing same results
27256398_422814881856114689 x	@TheZompster @realprinceblue wow bro alex smith is Mormon and Dalton red head. You are ignorant against minorities
27256398_422813362167480320 x	@realprinceblue stallones ball sweat*
27256398_422813125516492800 x	@realprinceblue @TheZompster legally he is right
27256398_422813043014520832 x	@TheZompster @realprinceblue bro but my beard game tho
27256398_422812091901554688 x	@TheMiamiQueet I dig the frames tho
27256398_422811878646349825 x	Congrats to @EvanMathis69 for All PRO First Team but more importantly a sweet $20 gift card to chick fil a
27256398_422810164744695808 x	It's easy to be remembered if you're an asshole.
27256398_422808476839325696 x	@PhillysABigDeal I do the same thing, but my problem is I redirect it to the wrong person and end up creating a new problem  vicious circle
27256398_422808828187774977 x	@PhillysABigDeal lol me either I kept redirecting admittance too
27256398_422806880000700417 x	@xMoMoneyx woah bro, he's hot right now
27256398_422806563158765569 x	@fuckTEO sounds like you're depressed. Get well soon.
27256398_422806820152160256 x	@fuckTEO cheer up bro I can read between the lines
27256398_422806657341882368 x	Been stuck here for 2+ hours and all I want is Chipotle
27256398_422805930016006146 x	@THE_ELPRESADOR @RGIII you're*
27256398_422805700503674880 x	@normmynorm bruh your fb game is wack, deactivate then control alt delete, stick with the IG, your suit and tie game is on point
27256398_422804229196382208 x	@PhilaDehlia @davespadaro @TheZompster I agree if zomp was in the section tunnel earlier in the game alex henery would of made the kick
27256398_422803058809384960 x	@terilyns68 http://t.co/0BdL3daiKD
27256398_422801938263326720 x	@nikejay22 it really is just earl Thomas up there by himself in the elite position, but he did cost that touchdown against NO
27256398_422802341201727488 x	@nikejay22 agreed, not sure why we didn't. We didn't need a DE we had trent cole coming off pro bowl year.
27256398_422590662274715648 x	@PBandJenelley_1 take vitamin C, drink OJ and take that dayquil you'll be good to go
27256398_422591212433207296 x	@yradumbjunkie @PBandJenelley_1 pumping that kid?
27256398_422591996554141696 x	@yradumbjunkie @PBandJenelley_1 I had no idea she was pregnant, I just followed her cuz she is the cute chick my ex use to watch on mtv
27256398_422801521747968000 x	@alysiamac19 @chellemyra @IamJacSot @yradumbjunkie @shaneboi24 @PBandJenelley_1 I feel you're too cute to be commenting w/ these crazy girls
27256398_422799788795785216 x	@TheZompster @RIPDMB @EaglesNationTX what fuck u bro come at me I lift
27256398_422800257786073088 x	@TheZompster @RIPDMB @EaglesNationTX love you too bro ????
27256398_422799556573941760 x	@RIPDMB @EaglesNationTX I will not rest until I find amnesty.  (In my morgan freeman voice from the movie glory)
27256398_422795439797444610 x	@RIPDMB feeling that type of way
27256398_422782019656224768 x	@CesarMv7 I'm watching, now what?
27256398_422782414201835520 x	@CesarMv7 I gotta take a piss real quick , cool if I go or should I hold it out?
27256398_422795370473992192 x	@CesarMv7 bro it's been 50+ minutes, I've done gone and pissed myself
27256398_422791701988929537 x	"@BleacherReport: VIDEO: Pastor holds a 1-minute service so he can go watch the 49ers-Panthers playoff game http://t.co/GA304mX0qT" awesome
27256398_422791628189757440 x	@BlatherNBombast @msankey86 @mstry001 I started this debacle, so as the oldest I'm going to say that's enough and go to your rooms.
27256398_422789635857993729 x	You do look pretty cute when at 47? angle with Nashville filter on, let's go out sometime.
27256398_422789175969320960 x	People helping people, feels so good. *Vince Vaughn voice*
27256398_422788918401306625 x	@mstry001 @TheZompster after I get my first paycheck from the new job, strip club on me. Nothings brings boys together like big fake titties
27256398_422783176143294465 x	@mstry001 @TheZompster went into the future and said we lost so I might not go
27256398_422787682079887360 x	@PhilEagles4ever @TheZompster @mstry001 what happened to us. We all use to be close. For God sakes think of the children.
27256398_422788500334059521 x	@PhilEagles4ever I was making a over reacting comment
27256398_422788025375277056 x	*grabs my junk*
27256398_422787949617754113 x	@TheZompster @PhilEagles4ever I still feel you are saying fuck viral the way you say fuck fallenhero32 but know we're boys and it's twitter
27256398_422787199357431808 x	@EaglesNationTX @TheZompster @mstry001 we've all had a lot of emotions this season, let's all inhale now exhale and start fresh. Namaste.
27256398_422785719099473920 x	@TheZompster @mstry001 woah, wtf, I am killing time at DMV, why can't we all get along? I had no idea.
27256398_422785976357126145 x	@TheZompster @mstry001 I'd like to talk this out and be the moderator
27256398_422786475261169664 x	@TheZompster @mstry001 well the C word normally only applies when catching a chick cheating. I would of gone with jerkface.
27256398_422786905038925824 x	@mstry001 I can't remove your name I'm not god nor a district Court Judge in charge of legal name change
27256398_422783720870117376 x	@THEREALEDP445 yep
27256398_422783613030391808 x	Work hard, troll harder.
27256398_422781063258472448 x	@blakejud I have no idea if it's illegal I just want a broncos fan to see it and start a argument with him to waste time in the DMV
27256398_422783221529841665 x	@blakejud I troll hard.
27256398_422781939771539456 x	Just finished blocking 30+ crazy girls who hate that @PBandJenelley_1 girl. I swear girls go out of their way to try and put somebody down
27256398_422779248760619008 x	@ProFootballTalk IP filtering for a public event?? believe that is illegal. Just sayin.
27256398_422776105268183040 x	I'm getting 15 notifications a minute these crazy chicks won't stop.
27256398_422776306485710849 x	@T_marie_B lmao oh yeah
27256398_422776273505878016 x	This is what I'm getting crazy ass chicks http://t.co/HO75eH8XSE
27256398_422775981708165120 x	@T_marie_B no idea they are seriously some freaks or something, they won't stop tagging me either
27256398_422573349186056192 x	Yo @Free2FiVe you down to see "her" tomorrow?
27256398_422775732008656896 x	@Free2FiVe it's a romantic movie bruh
27256398_422773185244049408 x	Woke up to 50 notifications from crazy girls that hate that jenelle MTV chick cuz I commented to feel better. Yo the hate these girls have
27256398_422772995317583873 x	@IamJacSot @chellemyra @yradumbjunkie @elam3526 @shaneboi24 lol why am I in this, yall girls are bat shit crazy. Go meet somebody.
27256398_422611759372173312 x	@TheMiamiQueet in time cool breeze you will meet a real man and think otherwise
27256398_422611363513786368 x	@TheMiamiQueet not men tho huh
27256398_422611282949599232 x	Hey girl hey "@msankey86: @mstry001 Hi."
27256398_422611153416896512 x	@yradumbjunkie @shaneboi24 @PBandJenelley_1 I gotta ask you.....how old are you? Just curious.
27256398_422602840608342016 x	Lol fake chow
27256398_422602280958169088 x	RT @trevorg50: Literally takes 2 seconds ?? http://t.co/YIIF4x0OJM
