260539564_393545075621638144 x	?@markschlereth: Tolbert is a husky lad? pot, meet kettle.
260539564_394439541018603520 x	"Big jobs usually go to the men who prove their ability to outgrow small ones.??Ralph Waldo Emerson
260539564_393551350187163648 x	?@MikeVick: Yes it starts tomorrow sir! Hey are you doing a free fanduel league again????please tell me you aren't taking Giants D
260539564_393548224763793408 x	RT @BroadStBull: Coburn has 2 goals. Puts him second on #Flyers.
260539564_393471197113237504 x	RT @SportsComedy_: NFL Network gives television rights of Buccaneers/Panthers game tonight to Comedy Central.
260539564_392014158306500608 x	@FlyEaglesNation 11 completions for Foles - can't imagine Barkely can do much worse.
260539564_392018341692723200 x	@FlyEaglesNation damn - you nailed it!
260539564_392012273730199552 x	At least the QB controversy can take a rest for a week. @FlyEaglesNation
260539564_392000395520016386 x	Any truth to the rumor that players will be wearing brown towels and shoes next month for Colon Cancer Awareness? @NFLRT
260539564_388833831207600128 x	You know it's bad when I'm wishing we had Carcillo back. Damn you, Rinaldo.
260539564_389876586247225345 x	@doughertyj12 if you ever need an out of control winger with a penchant for vomiting in the bench, I'm your guy.
260539564_389017856337534976 x	RT @doughertyj12: @Chr_Moran I wish we had Ron Flockhart back, that's how sad it is for me right now.
260539564_388839710124429312 x	RT @hockeyfights: Misha Fisenko vs Mikhail Pashnin from Amur Khabarovsk at Lokomotiv Yaroslavl Oct 11, 2013 http://t.co/HjZXCqAEjB
260539564_388838442979061761 x	@The700Level pretty sure that wasn't me
260539564_388838277182406656 x	Am I the only one who is supremely confident that the Flyers won't score here to tie it? Fluke goals only last 2 games. @tpanotchCSN
260539564_388837302375809024 x	Flyers have too much talent to have no offense. Only goals they've scored last two games have been flukes. @NHLRT_ @CriticNHL
260539564_388832045822390273 x	RT @NHLFollowBack: #NHL FRIDAY NIGHT #FOLLOWTRAIN! ??RT THIS TWEET ??#FOLLOWBACK every DIEHARD who RTs  ??Plugs need not apply
260539564_388827696735977472 x	Soft goal. Mason not looking as solid tonight. Shaky.
260539564_388824465532284928 x	The Sand Witch Project #gentlerhorrorfilms
260539564_388823887825600512 x	@tpanotchCSN maybe a Gr-gr-groin injury.
260539564_387564613472366592 x	@ChildrensPhila there has to be a better way! Checked in for my 7:30 am appt and by 9:00 am still in waiting room. Why????
260539564_387367270085046272 x	Anyone know how to weave a noose from this #rainbowloom? @andylassner
260539564_386932091596058624 x	PROTECTED
260539564_386935161637834752 x	@FlyEaglesNatio maybe that's right. Used to seeing great CBs and Dawk
260539564_386929561642217472 x	@FlyEaglesNation does anyone in the stadium think Foles is going to keep it? Of course you tackle McCoy.
260539564_386917632186019840 x	@NFLRT @NFLVR @FlyEaglesNation anyone else notice #Giants fans cheered when they thought Vick was hurt
260539564_386908873904644096 x	@FlyEaglesNation nice offense Coach Kelly. Vick with 0 pass yards.
260539564_386909365770670081 x	@FlyEaglesNation what?? McCoy, Jackson?
260539564_386909997843906560 x	@FlyEaglesNation I hear you there. But 0 passing yards?
260539564_386909789307285505 x	@FlyEaglesNation totally agree. This is pitiful.
260539564_386909126330449920 x	@ClaytonESPN ouch - that must hurt. How'd it get in there??
260539564_386907117913128960 x	@MikeMiss975 is it me or does the Offense just not seem all that 'quick' to the line either?
260539564_386905179213561856 x	@NFLVR - anyone else notice #Eagles have the only K in the league who can't reach the endzone?
260539564_382630863445716992 x	RT @ctherien6: How do I get suspended for 3 preseason games???
260539564_382493769951494144 x	Downtown to O'Hare airport took 1 hr 10 mins. Real kick in the nuts to start your day.
260539564_381944988054994944 x	@SteveMartinToGo : by tomorrow it'll be three beard growth
260539564_375686352786161664 x	RT @jimrome: Eagles beat writer @Jeff_McLane, right now in The Jungle on @CBSSportsRadio.
260539564_331743749380124672 x	@jaysonst @MikeAndMike morneau mauer, Ichiro pujols
260539564_330128554148904960 x	@FlyEaglesNation it's their job, it seems, to make everyone seem awful - whip the fans into a frenzy and create controversy.
260539564_327191098306994176 x	@nflvr Anyone in NYC for the draft can find the players staying at the Intercontinental Hotel in Midtown.
260539564_320153153939062784 x	@WSCHockey @NHLRT_ 4 in a row - first time all season winning more than 2 straight. Will Flyers make the playoffs?? @NHLFlyers
260539564_315127101407776768 x	RT @BleacherReport: 2 people out of 8.15 million brackets on ESPN picked all 16 games wrong, according to @jksports
260539564_314356334093037568 x	?@WSCHockey: flyers fans experiencing slow motion death march. Win one/lose one. Haven't won more than 2 in a row this season = no playoffs"
260539564_312209506744545281 x	RT @blainecapatch: white smoke at the sha na na clubhouse means they've elected a new bowser.
260539564_312037092807032832 x	@wyshynski - my list of Flyers for sale: Briere Timonen Hartnell Talbot All others not named Voracek or Simmonds
260539564_312034228965629952 x	@NHLRT_ my list of Flyers for sale: Briere Timonen Hartnell Talbot All others not named Voracek
260539564_312029370808143872 x	?@WSCHockey: @NHLRT_ True or False? Flyers are officially 'selling' at trade deadline after tonight's loss.? absolutely true.
260539564_308774779220013056 x	@JustinC_Philly @nhlrt_ you're kidding right?? Giroux without question.
260539564_308774477481799680 x	RT @JustinC_Philly: Who's better Kane or GIROUX ?? @NHLRT_
260539564_307566419523031040 x	@Buster_ESPN Any word on Utley? Could he be even close the the guy we last saw in '09?
260539564_306570555006529536 x	@NHLRT_ stuck in Chicago due to the storm. Who's on the schedule on TV tonight?
260539564_306574093736632320 x	@charney562 ouch. Thanks for checking in. Gotta figure Bs thump the Isles.
260539564_306237964990676992 x	?@FlyingHigh28: To the Flyers fans saying 1967 at the Leafs fans you sound as bad as Pittsburgh fans? @nhlrt_ exactly - 1975 pretty close
260539564_306237654163415042 x	@andylassner :googled you just now (awkward). turns out you actually have a job - not just funny twitter guy. My bad.
260539564_306234169439178753 x	?@NHLFlyers: Leafs with the empty net 4-2 Maple Leafs?  Flyers creating a slow death experience for fans this yr. @nhlrt_
260539564_306223282317848576 x	@NHLRT_ wish the Flyers had never let Carcillo leave. Can't skate, can't handle, no hockey sense, but damn he's fun to watch.
260539564_306233129440509952 x	@FlyingHigh28 @nhlrt_ damn near had one tonight after busting his own face into he glass. Hard work pays off.
260539564_306231664865050624 x	@NHLRT_ just got the email! my new gear is on the way. Never had a bad experience with @hockeymonkey - best place to go.
260539564_306226269354340352 x	@andylassner wait till your kid starts playing Mite hockey and beyond. You'll wish you owned your own chopper. #USAHockey
260539564_303224992903094272 x	@Jeremy_Roenick incredible story/interview with Sarah. Inspiring stuff. Great game #hockey.
260539564_299554159219326976 x	RT @BloombergNews: JPMorgan overtakes Wells Fargo as the largest U.S. bank by assets | http://t.co/SsqEZlEa
260539564_299553245892866048 x	RT @BW: Study: Aging baby boomers are fatter and sicker than their predecessors were at the same age | http://t.co/qJnOMthc
260539564_299351345599766528 x	@NHL @canadiensmtl @nhlbruins #RivalryNight B's hang on. Rask too good tonight.
260539564_299334046591381506 x	@NHLRT_ Chara - HOF? Discuss amongst yourselves.
260539564_294583311098077184 x	@jaysonst Speaking of U names- Will Phillies wait until spring training to announce Utley's condition again or can we get updated now?
260539564_287578104384344064 x	RT @usahockey: GOLD!!! Team USA captures the gold at #2013WJC, downing Sweden 3-1! It is the 3rd gold for the U.S. at the WJC (2004, 2010)
260539564_285119473025966080 x	Im trying new crash #diet to lose those holiday lbs - #stomachbug is newest fad at my house.
260539564_281430724211535872 x	@NFLRT Haven't we reached the point of the season where we can stop talking about the #Jets? Anyone else tired of it?
260539564_281429699564019713 x	@RobRossi_Trib @robrossi_trib @tpanotchCSN: I'm stumped - what's an 'NHL'?
260539564_281181411438903297 x	RT @jpmorganfunds: Should your #retirement portfolio withdrawals fluctuate with the market? http://t.co/gb20XWxG Find out in the Guide t ...
260539564_278958402997202944 x	@andylassner Headed out to SF next week. Hoping to go see the #fiscalcliff.  Will bring camera.
260539564_278555983675015169 x	@Buster_ESPN any PED users on the list?
260539564_278204080713789440 x	@hiptravelmama I'll take the #westin St John! Love that island.
260539564_278169157378379776 x	RT @jpmorganfunds: How to position portfolios for today?s economy? Participate in our live webcast tomorrow http://t.co/9sa9TZc0  Sign u ...
260539564_274340808830898176 x	@NFLRT : Violation Alert. It's either Whoolio Hones or Juulio Jones. You can't pronounce half of the name with a Spanish dialect.
260539564_274129157116542976 x	RT @alexblagg: "Favorite" seems like a strong word. There should be a button that's more just "Hey, fun Tweet. This is fun. We're having ...
260539564_274128841784565760 x	Thank you TSA Pre-Check! Just shaved off the 15 most annoying minutes of my morning 4 times/week. No more shoes off...
260539564_268900801995493376 x	RT @andylassner: Really bummed that I'm gonna get sick next Wednesday and miss Thanksgiving with the relatives
