746274931_379783915713863680 x	two shootouts?
746274931_391004805659119618 x	approaching the dreaded third period #Flyers
746274931_391001144040103936 x	goal with 2 seconds left!  #Simmer
746274931_390997997867499520 x	i spoke too soon...this sucks!
746274931_390991911542353921 x	i am shocked that this game is still scoreless #Flyers  #Penguins
746274931_398890874333323265 x	RT @BuzzOnBroad: Nickelback did this to Giroux. #Flyers
746274931_398665514329059328 x	RT @hockeymemes: That awkward moment when: http://t.co/n3dKqiTdoJ
746274931_399723482118107136 x	RT @VinnysEgo: Did i score last night? Oh wait yes, yes i did...
746274931_399352052159352832 x	RT @fakelavy: Greatest photo ever http://t.co/fMKDlwCPek
746274931_399344532640518144 x	RT @CjBurns215: http://t.co/Y8iRVeDYHi
746274931_399275017877204992 x	my man Vinny!
746274931_399273459819487232 x	it's not over yet!
746274931_399272061446549504 x	all hail the Captain!
746274931_399260346214387713 x	oh what the hell
746274931_399258751183908864 x	@ETSPhilly reminds me of Carcillo in so many ways
746274931_399258198411997184 x	Rosehill has 2/3 of a gordie howe!
746274931_399244266653765632 x	Hartsy!  Light em up!
746274931_399253420881629184 x	@Fake_RonBarr http://t.co/fDyFh23mLu
746274931_399246269484244992 x	Good first period. keep it up boys!  #Flyers
746274931_399242770138664960 x	RT @JayNotRosehill: im sorry what was that??!!
746274931_399242649242058752 x	Rosehill has more goals than Giroux.  Unreal! http://t.co/tQeayOXayI
746274931_399242146253135872 x	Rosehill!!
746274931_399230601170923521 x	Second #Flyers game I am attending this week.  Hoping for better results.  Let's go Flyers!!! http://t.co/scEauZi6Af
746274931_399232168729145344 x	@Fake_RonBarr lol.  no he's not here.
746274931_399230933376593920 x	RT @CellyHard: Bryzgalov jokes never get old... http://t.co/kwnt9KhfRR
746274931_398989945836032000 x	RT @BroadStBull: Welcome back @notbryzgoalie30! You, too, Bryz!
746274931_398989079544471552 x	RT @FOX29philly: Fmr Flyers goalie Ilya Bryzgalov has verbal agreement in place to sign with Edmonton Oilers
746274931_398664826492567552 x	RT @FlyersNation: I bet Bryz and Lavy are having a beer and laughing right now somewhere in the universe.
746274931_398664373071523840 x	RT @FightinForPHI: Max Talbot is probably realizing that he's the luckiest hockey player in the NHL right about now.
746274931_398638535148060672 x	really Jags!
746274931_398638048432234496 x	i don't think a 30 sec timeout will matter
746274931_398603985226977280 x	here's where Emery skates down the ice and murders Brodeur
746274931_398531024264904705 x	It's always interesting when @Fake_RonBarr and I go to a Flyers/Devils game.  Wonder what will happen this time!  #HesMyBrother
746274931_397929789786697728 x	RT @FightinForPHI: Dear Claude Giroux,  SCORE A GOAL.  With not much love, Flyers fans
746274931_397925353525886976 x	booo!
746274931_397924631522607104 x	at least we get a point out of it.  #Flyers
746274931_397924144190615552 x	that escalated quickly.  #Flyers #Canes
746274931_397923724810518528 x	motherhumper!
746274931_397922149543198720 x	RT @jsaquella: Toronto literally said, "Are you fucking kidding me? I don't care what he did, it's gonna count...people are asleep in the s?
746274931_397921693840449536 x	Hartsy!  Looks like the haircut is doing him good.
746274931_397138792265834496 x	damn, what did the #Eagles have for breakfast this morning?  Maybe they could share it with the #Flyers!
746274931_397107924306526208 x	RT @tpanotchCSN: Holmgren on Downie/Lecavalier: "Steve is out of the hospital and doing well. Vinny is day to day."
746274931_397105652973453313 x	RT @FightinForPHI: Steve Downie has been released from the hospital.
746274931_396729397186924544 x	RT @BroadStHockey: Welcome back to Philadelphia, Steve. Here?s a concussion and a broken face. #sigh
746274931_396707786144632832 x	RT @BroadStHockey: The Flyers announced Lecavalier is day-to-day with a facial contusion. Initial reports said he would be out weeks.
746274931_396668864895135745 x	this about sums it up! http://t.co/chm5IKjFCq
746274931_396656428838322176 x	any word on how Downie and LeCavalier are doing?
746274931_396648758269980672 x	RT @FightinForPHI: How to be a Flyers fan in 3 easy steps: http://t.co/ERBegMf1D7
746274931_396640125775777792 x	RT @FightinForPHI: Laviolette was totally the problem.  Berube is totally the solution.  Unicorns are totally real.
746274931_396360807011065856 x	RT @Max25talbot: Thanks to the @NHLFlyers organization for my time in Phily. Thanks also to the fans and a great bunch of guys. #greatteamm?
746274931_395993716458270720 x	@Fake_RonBarr because they want to slowly reacquire every player who has ever played for the Flyers
746274931_395991780598243328 x	RT @FlyGoalScoredBy: Bruno Gervais silently weeps up in Bumblefuck, PA.
746274931_395990132316438530 x	RT @NHLFlyers: .@S9Downie will wear #9 with the #Flyers. #WelcomeBack
746274931_395989737984761856 x	RT @TheOrangeUpdate: According to Eklund: "More to come. Flyers still talking to Edmonton and St. Louis. Both on very serious levels I am t?
746274931_395966226666881024 x	RT @BroadStHockey: Max Talbot has been traded to the Avalanche ? for Steve Downie. Well then.
746274931_395646625018044417 x	RT @HockeyGods: Here's a perfect Halloween costume for all #Flyers fans! http://t.co/vVmcTV8AFE
746274931_395633628165980160 x	RT @Hartsy19: @ErinAndrews #selfiewednesday Hahahah. Who's winning tonight? http://t.co/KvXIs4x6Ah
746274931_395632855038328833 x	RT @someecards: 10 signs that you're from Philly and are tripping balls right now. http://t.co/6iprjDsFfj
746274931_395630989915201536 x	RT @Hartsy19: Sad day. New look. Looks like a poodle got a hair cut http://t.co/z0uirjqjrv
746274931_395389223672758272 x	@Fake_RonBarr @1DandelionDream this is escalating too fast.  i need sleep.  goodnight you two!
746274931_395378911980576768 x	@Fake_RonBarr where's the Kassers?
746274931_395379268550934528 x	@Fake_RonBarr I am surprised you even allow that near your bar
746274931_395380189850775552 x	@Fake_RonBarr well played
746274931_395381121829326848 x	@Fake_RonBarr so basically you're saying always BYO when I go to your house?
746274931_395382217436069888 x	@Fake_RonBarr you live too far
746274931_395382566913867776 x	@Fake_RonBarr you should move to NJ
746274931_395383325063667712 x	@Fake_RonBarr but then your poor son won't be confused as to why he likes the devils but lives in philly
746274931_395385140371009537 x	@1DandelionDream @Fake_RonBarr i should buy him a flyers jersey for christmas
746274931_395387177884213248 x	@1DandelionDream @Fake_RonBarr oh goody!
746274931_395388142880301056 x	@Fake_RonBarr @1DandelionDream i would rather get him a Rinne jersey just so i could call him Pekka
746274931_395388739910107136 x	@Fake_RonBarr @1DandelionDream they broke up.  she would never fall for it
746274931_395387906321571840 x	@1DandelionDream @Fake_RonBarr agreed.  can't wait till Christmas!
746274931_395388560737849345 x	@Fake_RonBarr @1DandelionDream calm your tits bro
746274931_395388256969580544 x	@1DandelionDream @Fake_RonBarr uh oh
746274931_388821909808627712 x	a power play goal would have been nice.  or any goal for that matter.  #Flyers
746274931_395387108556562432 x	@Fake_RonBarr @1DandelionDream just like jagr's devil's jersey next year
746274931_395362316344381440 x	typical 3rd period meltdown #Flyers
746274931_395359443489419264 x	ahhhhh!
746274931_395343458816520192 x	RT @BuzzOnBroad: Asshole chants are starting and as they should! Bad call on Giroux! #Flyers
746274931_395338713678757889 x	5 years ago this happened... #iwasthere http://t.co/9vepDfTd9v
746274931_395336632695803904 x	RT @BroadStBeat: Light a Mup! #Flyers http://t.co/QINdoaOszo
746274931_395334377678581761 x	RT @davegisaac: Lecavalier has probably been the #Flyers best skater this season. And he missed three of 10 games.
746274931_395333847183015936 x	my new favorite #40!   #vinny #Flyers
746274931_395332270967758848 x	RT @weatherchannel: #Sandy Anniversary - Sandy makes landfall at roughly 7:30pmET on 10/29/12 near Brigantine, NJ. http://t.co/dHzv5NVWWU
746274931_395328567045005312 x	RT @FightinForPHI: Ed Snider obviously bribed the Pope.
746274931_395327710748495872 x	Reader!!!
746274931_395020529536872448 x	RT @ESPNHockeyNight: The #NHL Is going to Hell...First we had the #Flyers "shitting the beach" and now the #NYR have "goal cunts" http://t.?
746274931_394646469317521408 x	RT @davegisaac: Lecavalier?s first hat trick with the #Flyers (courtesy of PR man Zack Hill): http://t.co/eLIJ2TRGPB
746274931_394644997309759488 x	RT @PhillySportPast: 10/27/2008: Cole Hamels & the #Phillies started World Series Gm 5 at CBP, but it was suspended in 6th due rain http://?
746274931_394277482494697472 x	RT @FlyersNation: http://t.co/aSNtVwnc8m
746274931_394277422772023296 x	great weekend!  flyers win and its my birthday weekend!!  let's go!
746274931_394276235922382848 x	HOLY SHIT!!!
746274931_394271898806538240 x	hatty!
746274931_394249366997057536 x	finally 3 goals!!!  #Flyers
746274931_394244786603196416 x	i was hoping for a shutout Mason !#Flyers
746274931_394242904052334592 x	well that didn't take long Rosehill
746274931_394241741425217536 x	JAKE!!!!
746274931_394241084895031296 x	GOAL!!!!!
746274931_393805699509407744 x	RT @BroadStBull: Berube says McGinn needs to be more consistent. He leads #Flyers with 3 goals.
