211757717_399041113308557312 x	@RoobCSN courious if u heard that Shawn Andrews convo today.  Mcnabb a bully?
211757717_395475066365816832 x	RT @OfficialSanta: ??? ONLY 8 WEEKS TO CHRISTMAS DAY ??? #CountdownToChristmas  ????
211757717_399613634755952640 x	@richeisen go beat off  again to another news reporter. #dope
211757717_399607942515011585 x	RT @975TheFanatic: ...annnnnnnnd Peters is hurt again.
211757717_399585925979979777 x	@BroadStBull why u wasting out time with his nonsense.  Who cares what he says or thinks. He's still getting paid a lot of money.
211757717_399541415740706816 x	RT @ESPNStatsInfo: Michael Carter-Williams & Oscar Robertson are the only players in NBA history w/ 130+ points & 50+ assists in 1st 7 care?
211757717_399532830377934848 x	RT @ESPNNFL: BREAKING: Texans RB Arian Foster needs back surgery that will end his season. Uncertain when surgery will be performed. (via @?
211757717_399528661428469760 x	#hulkamaniaforever  http://t.co/pVfDxClsY8
211757717_399413382677553152 x	@TheCreepingCrud @RayleneXXX seriously? Raylene is much more stunning then that girl. Comeon bud!
211757717_399401483927445504 x	Can we stop with the notre dame hype now.  #overrated  #CollegeFootball #CollegeGameDay
211757717_398792065947303936 x	@MikeFOX29 u serious with that lawyer?? Gcobb was dead on with that. #iwanymymommy
211757717_399401088505618432 x	@RoobCSN just stay tuned Tuesday night.  Wiggins vs Parker.  Should be good one.
211757717_399283738456363008 x	@etroy14 @fakeCGiroux maybe next time you can park that Porsche the right way instead of half ass and trucks won't hit it! #womendriver
211757717_399165861216681984 x	@arthur_correct ha! Eskin gave u the boot cuz!!@howardeskin so you run to that other station. #dope
211757717_399174347308662784 x	@arthur_correct u are a moron! Stop
211757717_399182005403127808 x	@arthur_correct takes to one to know one. But that said you'll always be a #dope!
211757717_399174892069068800 x	@fakeCGiroux heard you were in a fender bender on market st last night with rosehill.  Posing for pics with Philly finest..
211757717_399164946887745536 x	@adammark1976 heard it on missanelli show. Ck the fanatic website. Might be able to find the interview
211757717_399164326730563584 x	@howardeskin you hear that nut Shawn Andrews yesterday? Telling another sports host that mcnabb was a bully in the locker room. #lunatic
211757717_399042858017370112 x	@TheAarynGries she's sacred of u!@JessieClaire88
211757717_399042236354396160 x	@offspringofmary @RoobCSN oh! I knew that.  Had a feeling that convo was gonna get weird before it started.
211757717_398991387255119872 x	@rideaharley2008 @sbaickerCSN that's the problem. And she wonders why we are all interested over this possible trade
211757717_398990115131121664 x	RT @Eklund: I asked a top trusted source very familiar.."is there anything to this Simmonds and Schenn for Hemsky stuff." Response: No.  No?
211757717_398988310527614977 x	RT @sbaickerCSN: Really? Or ...? RT @dshoalts: RT @GMilIerTSN: BREAKING: EDM trade RW Ales Hemsky + 2014 2nd Rounder for PHI RW Wayne Simmo?
211757717_398988059632730112 x	@fakeCGiroux kinda sounds like @sbaickerCSN ?
211757717_398984227192340480 x	@sbaickerCSN ur boy eklund is hyping a monster deal between flyers and oilers.  #hmmm
211757717_398984077195620352 x	@sbaickerCSN c'mon Sarah?  Give it up.  Who
211757717_398977804370706432 x	@tpanotchCSN and he pitches a shutout. That be great.  #maybejustmaybe
211757717_398970399129473024 x	@davidmurphy6abc they suckered you in Dave.  #staystrong  Hold your ground!
211757717_398974165866512384 x	@davidmurphy6abc lets hope amaro rewards you for you dedication.  #goodoffseason #hopefully
211757717_398970792886546433 x	@sbaickerCSN does he play.  That's the question
211757717_398769445616627712 x	RT @imWilISmith: Its simple.. Never lie to someone who trusts you, and never trust someone who lies to you.
211757717_398670637637451776 x	@TonyBrunoShow outright!!!!
211757717_398632707552718849 x	@tpanotchCSN just trade him.  To anyone for anything. 2nd highest paid defenseman is useless as tits in a bull #fireholmgren Also!
211757717_398597235014770688 x	@karabellespn rg3 or kapernick? #FantasyFootball
211757717_398245433921007616 x	@phlipp2348 @JimRob24 he's just a miserable human being jim. I thought your thoughtfulness and generosity was nice. #keepupgoodwork
211757717_398277874534592512 x	@etroy14 hey Ed, gonna start foles this week. #fuckinbitter over that loss
211757717_397614531314470912 x	Selfie (I had to try this at least once, no Brittany Furlan though!) #batdad  https://t.co/sPNJBrzoo4
211757717_397524818603827200 x	RT @neverknownfacts: Candles will burn longer and drip less if they are placed in the freezer for a few hours before using.
211757717_397495816694558720 x	The rules of the road don't apply to me pt.3 #batdad  https://t.co/Fnw7LIl5dA
211757717_397444028733882368 x	@975TheFanatic @MikeMiss975 Mike's right! It was nice to see him do what he did yesterday but some now assume he's the qb of the future.
