5518172_394570830233239552 x	70 pounds to lose. One day at a time! I'm running with @MapMyRun.
5518172_399580643119468544 x	@SanoChef @upwave @JaneStreetNYC @HLNPR @WeekendExp great posts. linking up with u guys has proven beneficial to this man right here! #cyao
5518172_399581571025342464 x	@SanoChef I'm gonna run my ass off after I cook my ass off #cyao today. hahah. Word play. #rapper #hln
5518172_399572537744437248 x	@SanoChef @allantd @MikeFOX29 @MsCARAMELLA_mag @Bethenny @PhillyGossipDN @QueenEnvy great points. thanks for sharing! #cyao #health #fitness
5518172_397543413056552961 x	Went too hard at the gym. Headache. #cyao #health #fitness #headache http://t.co/rPjAUuUQHu
5518172_397678731764195328 x	@SanoChef I did a heavier chest session, heavier shoulders, abs and cardio. I'm thinking I didn't eat my next meal soon enough, or too heavy
5518172_391920856307228672 x	@SanoChef @allantd @africamiranda @AparnaGuhan @Bethenny @altonbrown chef charles is funny. hahah. good stuff man..
5518172_391911654457229313 x	@SanoChef @allantd @africamiranda @AparnaGuhan @Bethenny @altonbrown wow, you guys took it to the french chef. LOL #cutthroatkitchen #cyao
5518172_389083555038388224 x	@SanoChef @upwave you seem like someone worth following! Your timeline is full of great advice. I'm Angel, I'll be on #cyao as well. #upwave
5518172_389161066338734080 x	@SanoChef @upwave I'm gonna check it out this weekend! Look for some interaction coming your way!
5518172_389184809659928576 x	@SanoChef @upwave saw that food delivery service, looks really good. what are the numbers on that? #health #nutrition #cyao #fitness
