981311636_398671041780019200 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_398570961491881984 x	RT @RedFormanParody: Dumbass of the Day http://t.co/z2RcDGZmQX
981311636_399972386826907648 x	@MileyCyrus may have smoked a blunt on stage last night. Who cares? When she starts smoking cock on stage wake us up! http://t.co/wvDeVglAoy
981311636_399966097358995456 x	In that Beatles song, when they say "All you need is love," do they really mean "All you need is pussy."? Because if so, we totally agree!
981311636_399961955345379329 x	RT @Brandon_Midkiff: @FunnyRadioShow http://t.co/kCmIxbX5NN
981311636_399960052087676928 x	Girls lie to parents telling them they?re at a friend?s sleepover when instead they had other plans. #BitchGotTold http://t.co/EyzM2LbmKm
981311636_399953529764601856 x	Are you seriously not going to video it? RT @lil_money73: Is this guy seriously fingering this girl on the bus >.< #gonnapuke
981311636_399953115778002946 x	Please caption this picture for us. Thanks. http://t.co/8XzEq07r24
981311636_399947185393238018 x	Happy Veteran's Day!!! To help you all celebrate, here's a fine piece of military ass! http://t.co/BVua7KRMVt
981311636_399941223278215168 x	There goes my $20 down the drain... RT @krdeerhunter: Paternity test is in... I am NOT the father of my daughters baby!!!! #SuckOnThatMurray
981311636_399935851880140800 x	RT @sycawhore: @FunnyRadioShow i hope you have a painful and slow death you fuckin asshole
981311636_399934625210171392 x	Depends on who is getting raped... RT @sycawhore: @Meatholl rape is not funny
981311636_399928379912495104 x	Facebook News Feed History of the World: World War I to World War II... This is awesome on so many levels! http://t.co/KWCYHFHdYf
981311636_399922698983571456 x	In case you were wondering! RT @vaginafacts: Hymen is a membrane of tissue that surrounds or partially covers the external vaginal opening.
981311636_399916180921913344 x	Are you jerking off to it now? RT @souce_23: Just had to sit through a full hour of listening to skanks talk about there sex life's
981311636_399908654973210624 x	There's this video explaining #Obamacare simply. Since most of you are fucking retards, though it'd be good to share! http://t.co/1Muw91VL1e
981311636_399908429520596992 x	RT @HGTwitty: That tweet from @FunnyRadioShow had me laughing hard.. so unexpected like where did you come from lol
981311636_399897246566985728 x	Us too motherfuckers!!!!!!!!!!!!! RT @hgtwitty: I be feeling the wake and bake..
981311636_399758192059887616 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_399395815460184064 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_399033423123464193 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_398893966055460864 x	@KelsTheSecular We have @Godssgirlss back on this one. You bitches need to learn to obey #BackHand #CockSlap #KnowYourRole
981311636_398889418360381441 x	#ComedyGold RT @MichaelMc247: The real Big Poppa Pump was Scott Steiner. #SteinerRecliner RT @WorldofIsaac: I missed Big Papa Pump on CNN.
981311636_397923822751711232 x	That's our kind of bitch!!! RT @jonesd4015: @nariad_ your smoking weed and talking about sex with guys you have some problems
981311636_398881166226653184 x	@JonesD4015 What square or octagon? Are you coming on to us? #BigBlackDickInOurWhiteAssholes
981311636_398826037477257217 x	#FF Some of our best friends: @ImbalancedJohn @JasonFQuick @petiteveneficus @wilsonrr94 @notfunnycarrie @krdeerhunter  @WhitneyBoBitney
981311636_398452075689824256 x	RT @SprtsHumor: TMZ exclusive... http://t.co/be95VfKbMO
981311636_398438949393154048 x	RT @JasonFQuick: @FunnyRadioShow I have not followed anyone on this account in a while. I was wondering who took that Twitter handle though.
981311636_398408759824756736 x	Why are we following an account named @ShemaleSexPorn? Is this your doing @JasonFQuick? #ChicksWithDicks
981311636_398308650995163136 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_398249797037346816 x	Go check us out on Facebook... We have pics, bios, news, etc... Worth the Like! http://t.co/UeDshh67ls
981311636_398242432749690880 x	What's it about??? Rating??? RT @ashrwill: Giving this show on showtime a try called Masters of Sex. It's pretty interesting so far!
981311636_398234665326510080 x	Song has been stuck in our heads all day, so congrats.. It will now be stuck in yours! Eiffel 65 - I'm Blue... Enjoy! http://t.co/c9DWFKimwt
981311636_398228362361327617 x	Fat guys... RT @TricksAndHacks: At Arby's, order 2 jr roast beefs instead of 1 reg roast beef. This is a cheaper way to get even more food.
981311636_398222238278627328 x	RT @NHTeaParties: @FunnyRadioShow They wanted a really 'scary' costume. Done. But Israelis actually celebrate it & no one says 1 word. http?
981311636_398221446365081601 x	Outrage Over Burning Twin Towers Halloween Costume Worn by Teens in the UK.. Stupid British Sluts! http://t.co/DqbowDLqyJ What do you think?
981311636_398185960313475072 x	Us fatties know what we're doing! RT @BGentlemen: Who would have ever thought Andy Reid could look at John Fox & Gary Kubiak & seem healthy?
981311636_398179361347887105 x	So @JohnMayer has allegedly banged @taylorswift13 @JessicaSimpson @anistonjennifer @TheReal_Jlh @minkakelly & @katyperry... He's a #player
981311636_398173242315538432 x	Hoe of the Day goes to... RT @simran_jeet86: Waiting for your cock  Show your love to my body, my boobs, my pussy http://t.co/GemMuVPwbF
981311636_398171269855596544 x	Self-hating black guy Power Rankings: 1. Uncle Ruckus, 2. Dr. Narciss, 3. Richie Incognito
981311636_398166941351022592 x	A huge day in everyone's life! RT @ayeee_debow: Finally found a reliable weed man
981311636_398165760737935360 x	RT @NotBillWalton: No need for Full House to return to TV anyway. If I wanted to see 3 sisters with eating disorders & a slew of men, I'd w?
981311636_398164262540955648 x	RT @jakequery: "Blockbuster going out of business" announcement is akin to "Allen Iverson has announced his retirement".
981311636_398160575811026944 x	Who says women shouldnt be slapped RT @CBSNews: Olympian Ryan Lochte tears MCL after teenage girl jumps into his arms http://t.co/QxGvMuA3SB
981311636_398154301723648000 x	She won't lack for people wanting to knock her up! RT @HuffingtonPost: Demi Lovato: ?In my heart I?m like, ?Okay, it?s time to have babies!?
981311636_398147922875129856 x	Kansas State is giving people who attend their Womens BBall game "A Boatload of Bacon." They just ordered 300-lbs of bacon for this #HolyPig
981311636_398143720316755968 x	RT @ImbalancedJohn: @AmandaBynes... No question... RT @FunnyRadioShow: Who's Hotter... @amandabynes or @MileyCyrus... We'll let you know wh?
981311636_398141553392517120 x	To celebrate Hump Day, here is a picture of 2 people fucking... Enjoy! http://t.co/ahOfbYLtuA
981311636_398135553792942080 x	Product of the Day??? Try Product of the Century!!! A cell phone case for your iPhone that doubles as a stun gun!!! http://t.co/Jg8esO2xDt
981311636_398131764323155968 x	A Homesick Abortion... RT @rickygervais: What's red and crawls up your leg?
981311636_398129940346179584 x	We'll answer these for you (we love offending)... A baby in a baggie... RT @rickygervais: What's blue and sits in the corner?
981311636_398128958845505536 x	Who's Hotter... @AmandaBynes or @MileyCyrus... We'll let you know who you vote for later today! #Celebs #Sexy
981311636_398126802004373505 x	Thats a very Jew thing to do! RT @ynkutner: @FunnyRadioShow Sadly false on all counts. Not on the factual side of the road? Reported as spam
981311636_398122755662823424 x	We love Jewish people (we are in media, so obviously), but @ynkutner is a bit of a Jewish Whack Job #Racist #TotesOnNoFlyLists #Yamaka
981311636_398116537925902336 x	People have killed themselves for less. Stay strong! RT @bay_leahh: I can't find my makeup bag and it has my weed.D; </3 kmsssss.
981311636_398110642886168576 x	Great tweet... Wanna fuck??? #SeeWhatWeDidThere RT @_taylorrrbieber: Are there guys that exist that talk about anything other than sex?
981311636_398103983686172672 x	Mad by our girl Holly Hood #respect... RT @Iam360WiseGuy: #gwtWISEwed DEPROGRAMMING BLACK AMERICA http://t.co/XwroJ5zsuE
981311636_398097657283227648 x	Use a dildo RT @notfunnycarrie: Bad sex after a dry spell is like your parents saying they'll take you to Disney but end up in a parking lot
981311636_398091548724064256 x	Whether you have kids or not, this is fucking hilarious!!! @jimmykimmel "I ate all your Halloween candy" prank. http://t.co/q55cqNSjWV
981311636_397948980749172736 x	Hate bullying, but kids nowadays are so goddamn weird, it's hard not to bully them. Be fucking normal, quit shooting up shit, & grow a pair!
981311636_397946271182647296 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc Stories via @OnionSports @HuffPostComedy
981311636_397942802908463104 x	Is the #Truth Campaign still around? Is that only for tobacco, or does it include #weed? We'd like more info please!
981311636_397936579966431232 x	You 2 are going to have fun... Video that shit!!! RT @mikes1825: @ErinnnS what kind of dildo? Anal beads? Butt plug? Horse shoe?
981311636_397930139914620928 x	You probably don't get texts because you're not a slut #Truth RT @briwyda: I probably dont get texts back because i call people sluts
981311636_397917576581636096 x	God Bless Kansas! RT @colby_blanton: Illinois ust passed a law for marriage equality. While Kansas is working on repealing Women's rights.
981311636_397911244558315522 x	'THOR' Star Jaimie Alexander Almost Naked at Movie Premiere http://t.co/OPef3R02iS Great reporting @TMZ... We'll see this movie now!
981311636_397905055103582208 x	Jellyfish taking over oceans, experts warn... That's just fucking horrible... We are done with beaches!  http://t.co/X7HYi5YfD4
981311636_397898975581569024 x	Nah... Being balls deep in Asian pussy is... RT @knechtsthedots: Getting drunk & listening to @Huntermoore is the next thing to Heaven
981311636_397892520291868672 x	Thanks... We'd look at you naked too! RT @vickyturban: fuck this, you're hot
981311636_397886180479746048 x	Ohio man sentenced to 11 months in jail for having public sex with pool raft http://t.co/tFJhYtYkZJ Just can't do anything anymore!
981311636_397879794261827586 x	Why is 4/20 known for #weed... Wikipedia has the answer! http://t.co/SisFzjoK3J #420
981311636_397873506693967872 x	Well good for him! RT @PerezHilton: .@justinbieber Treats Himself To Even MORE Brazilian #Prostitutes!  http://t.co/Y10wL1PhWt
981311636_397867220619243521 x	Shitty Joke of the Day... What does an asshole chick lay? A deviled egg! #Sorry #BadJoke
981311636_397861462070534144 x	No, but would have been better if it were on my face #Over18Only RT @phibbsbrittney: Is it bad i just got a hot flash from pooping lol?
