45271440_263110395638714368 x	@Jared_TFJ you got it, no prob.
45271440_399255123555524609 x	@Edwerderespn really, now they wanna control the NFL locker rooms? We become a nation of wusses!
45271440_377243160617181185 x	RT @AngeGold: Watching Kelly vs Shanahan is like watching a grandfather check the newspaper for movie times while his grandson orders ticke?
45271440_375581047070924800 x	@GMA who cares!! #bullshitnews
45271440_375368347053203456 x	@TheKingKillah  I guess you don't know the history between @donovanjmcnabb and @MikeMiss975
45271440_375064483942907904 x	@inthephilshouse not a very good debut, but i like his fastball in the mid 90's and had some movement.
45271440_374893443312799744 x	@brianstartare @PatGallen_975 Think the Phillies try to talk Rollins this off-season into waving his NTC? Or do they keep him?
45271440_374974860138934272 x	@PatGallen_975 agreed.. J-roll actually got excited when he scored the go ahead run last night..The Phillies need more of that from him.
45271440_374925823473889280 x	@MollyESullivan @RealMiguelCotto @DRodriguez1980 @Sixers @CSNPhilly That will be a good fight!Very cool, Cya soon on @CSNPhilly then!
45271440_374922628714467328 x	@MollyESullivan will you be back with @Sixers @CSNPhilly again this year?
45271440_374920491913728000 x	@NatalieEgenolf Awesome! and good point @STANRZ
45271440_374911005102735360 x	@975TheFanatic @CrossingBroad in my @SeanBrace975 voice"that was awesome ".. Haha
45271440_374890630834835456 x	@MsBrandieLynn haha, can ya really blame the guy..
45271440_374720855613661184 x	@brianstartare I'm on the same page as you BStar..There's just Something missing when it comes to Papelbon for me
45271440_374724998142763008 x	@brianstartare couldn't agree with ya more...
45271440_374565862575190016 x	RT @JakePeavy_44: Happy to be a #UnionMember on a day like today! Hope everyone has a great Labor Day! #GetUrRedOn & get to Fenway!!
45271440_374564874946621442 x	RT @mcuban: .  @scrprt22 you dont know me.  When the Mavs won i paid for the parade so the city wouldn't.  Heck i paid for the st Patricks ?
45271440_374518812932317185 x	@deannadurante Good Morning to you as well..
45271440_374357166427484160 x	@MikeMiss975 thank god! The old one kinda worn out its welcome .. Kinda like J-roll, Some new needed energy to the beginning of the show.
45271440_374354581712830464 x	@caplannfl i agree with @mfall99 Chris Harper was a nice wide out.. Is there something we don't know about the kid?
45271440_372178248392007680 x	#cliffLee #phillies Good win tonight boys..
45271440_372175485260009472 x	Phils could use a nice insurance run here in the 9th...
45271440_371970644285865984 x	RT @markschlereth: Let us be slow to judge and quick to forgive. Bless us with patience, empathy and love.  Amen.
45271440_371829461437927424 x	@MychalKendricks watching you play for the Birds, you remind me a lot of Linebacker great @sethjoyner ..
45271440_371827284149538816 x	@jollywipradio just wondering, did you have Game On Dude today?
45271440_371826926358626305 x	@jollywipradio sounds like he's gonna be ok Paul.. Dehydration
45271440_371814481619615744 x	@jaimemaggio people need to get a grip... :-)
45271440_366028775923789825 x	@brianstartare im more worried about the Run Defense then anything...
45271440_314927823028637697 x	@SeanBrace975 @JonandSeanShow Nice score getting the great Jim brown on the show today.. Keep up the good work boys!
45271440_365890750388510720 x	@JonandSeanShow @SeanBrace975 Yo Boys, Sam Ryan is with MLB Network now...Great Show, Go Birds
45271440_347902051675672577 x	@brianstartare Congratulations, awesome pick up by the Fanatic ! Looking forward to listening to you
45271440_347171867657900033 x	@MikeMiss975 PineTar Head!! Your right Mike he needs to olay more
45271440_338476250681208832 x	@NK975 I hear ya Nick, but the KID can flat out ball! #respect34
45271440_338475600236933121 x	Someone tell Papelbon to get ready to slam the door shut on this game..
45271440_337942208927916032 x	@JWerthsBeard @JackoBeam I bet he didn't see that one coming... Hahaha
45271440_337919118038675456 x	@ESPN_Greeny how about the movie The CHAMP
45271440_337667623682719744 x	@mikestutes it's about time.. The bullpen needs you!
45271440_337666948164878336 x	RT @jessebiddle_54: Hey guys for the next 4 days @CameronRupp @hendog4 @davidb413 and I will be donating 10 cents to the victims in OK for ?
45271440_337662305045213184 x	@975TheFanatic @MikeMiss975 Nice job by everyone that took part in that video! You guys @975TheFanatic should make more of those videos
45271440_337351402210856961 x	@GmurphCSN doing #askthebooth tonight?
45271440_337350860369694720 x	@Phillies #askthebooth Sarge and Tommy, what your opinion on what the Marlins owner did after the tax payers bought him a new stadium?
45271440_337349977875554304 x	@JSalisburyCSN the least he could do is put a good product on the field for the people.
45271440_337349726297006081 x	@JSalisburyCSN I don't blame the people down there... I wouldn't give that owner another cent. The tax payers bought that Jerk the stadium.
45271440_322890349515268096 x	@PhillyPhaithful you just had to know this was coming thought.. They never make it easy on us..
45271440_319961463055859712 x	Sweet play by Michael Young!
45271440_319612622439845888 x	Really! #Blowout
45271440_319600348388028416 x	@NK975 #Shocker
45271440_319599952194048000 x	@JSalisburyCSN He's getting squeezed on the corners Jim, U can tell Doc isn't happy about that
45271440_319599603160862722 x	That inning will help Doc later in this game #GoodInning
45271440_319598805479723009 x	@rickybottalico correct, but plenty of Baseball to be played tonight. #NotGettingTheCorners Doc.
