721150890_396718605187809280 x	Temple falls to Rutgers 23-20, as the Owls drop to 1-8 on the season.
721150890_396717443550162944 x	33-yard touchdown pass on from Nova to Carroo on 4th & 10 gives Rutgers a 23-20 lead with 0:35 remaining.
721150890_396716078643949568 x	After stopping the Owls on 4th & 1, Rutgers has just under two minutes to score.
721150890_396712470607187968 x	.@TheTempleNews Will Kellar, Anna Pavone lead Owls in American Athletic Conference Championship. http://t.co/IEyFtWNTIm
721150890_396711394294247424 x	Blaze Caponegro recovers the Rutgers fumble that was forced by Matt Ionnidis. Temple takes over at its own 15-yard-line.
721150890_396708880182296576 x	Harper rushes 25-yards for a Temple touchdown. Temple regains the lead, 20-16 with 10:57 remaining in the fourth quarter.
721150890_396707032780132353 x	And then Nova throws a 34-yard touchdown pass to a wide open Leonte Carroo. Rutgers now leads 16-13 with 14:03 remaining in the game.
721150890_396706573558349824 x	Walker throws his second interception of the game, as Rutgers will take over at the Owls 34-yard-line.
721150890_396705200343248896 x	With one quarter remaining, Temple leads Rutgers 13-9.
721150890_396699562011656192 x	Gary Nova completes a four-yard pass to Michael Burton for the Rutgers touchdown. Kyle Federico misses the extra point. Temple leads 13-9.
721150890_396690422178652160 x	After one half, Temple leads Rutgers 13-3.
721150890_396688450864177153 x	Walker passes four-yards to Harper for the touchdown. Visco makes the extra point this time, as the Owls now lead 13-3.
721150890_396682472311627776 x	Rutgers kicker Kyle Federico drills the 30-yard field goal. Owls lead 6-3.
721150890_396680931659898880 x	Through the first quarter, freshman QB P.J. Walker went 5 for 6 while collecting 69 passing yards, one touchdown pass and one interception.
721150890_396676860454522880 x	We're (finally) at HighPoint Solutions Stadium, where Temple currently leads Rutgers 6-0 with 1:49 remaining in the first quarter.
721150890_396311465935646720 x	.@TheTempleNews Interim status dropped, Kevin Clark is Temple's new director of athletics. http://t.co/P6mIznWA5l
721150890_395280538744803329 x	My story from today's @TheTempleNews on Paul Layton, who holds the 12th best punting average in the country. http://t.co/YYQiFAVrRy
721150890_394353063152328704 x	Falling asleep watching "Halloweentown." #classic #dcom
721150890_394235582403969024 x	.@TheTempleNews The football team blew a 21-point lead, as the Owls fell to SMU by a final score of 59-49. http://t.co/Sm9kN8Nx5l
721150890_394147239431786496 x	RT @joey_cranney: Someone is recreating all of Back to the Future live on Twitter. Beyond genius. This is the future.  https://t.co/zTbmtPu?
