733845655_395729914944831488 x	@MCW1 amazing game tonight!
733845655_395728925869215744 x	Michael Wacha flocks flame has burnt out #GoSox
733845655_395727889964228608 x	If that's the only win this year for the sixers I'd still be happy #fucktheheat
733845655_395726786044387328 x	RT @SportsCenter: 76ers SHOCK Heat in Philadelphia, 114-110.  Rookie G Michael Carter-Williams with a HUGE debut: 22 Pts, 12 Ast, 9 Stl, 7 ?
733845655_395726503717400576 x	MCW making a statement!
733845655_395725086621450240 x	Yeah, that's right. Fuck you Heat, we are supposed to be tanking this season and we beat your ass
733845655_395659190360096768 x	@Ash_WIshonaSTAR no you don't
733845655_395692533340471296 x	@Ash_WIshonaSTAR hangout with* me
733845655_395692901692624898 x	@Ash_WIshonaSTAR nooooooooooonooooooooooonooookooooooishsicnrcwiapqjegxie
733845655_395694326367649792 x	@Ash_WIshonaSTAR good one?
733845655_395662515583352832 x	RT @yaboypabIo: rt if i'm your first draft pick
733845655_395244352177717248 x	?@BMS_ThadCastle: You're probably naked under all those clothes. You sloot.? @amcgradyxo @Ash_WIshonaSTAR
733845655_394168268522790912 x	Great weekend with the parents #bestfriends
733845655_393704110178172928 x	RT @BMS_ThadCastle: Regrets are for pussies. Shit happens, deal with it.
733845655_392989792117747712 x	RT @Josh_Barwin32: When people think they know what there talking about in sports and fail to realize they have no idea or concept of the a?
733845655_392710918179926016 x	It really bothers me that this kid where's the same sweatshirt everyday...
733845655_392315869516537856 x	Already know that today is gonna be rough
733845655_391639265626832897 x	RT @MumfordsLyrics: Love will not betray you, dismay, or enslave you; it will set you free #mumford
733845655_391244573537992704 x	RT @BMS_ThadCastle: Greatest show ever http://t.co/a6rmlz1fz3
733845655_391244119064203264 x	@DanPagana pussy...
733845655_388633051724779520 x	Only thing better than the Giants being 0-6 would be if the Cowgirls were too #FlyEaglesFly
733845655_388316733460979712 x	?@JohnPaulHohensh: Zipdy doo daa ZIPD day #itllcatchon? @Josh_Barwin32 dude it's not zipdy
733845655_388078186883710977 x	Hate when you see a girl that you have a crush on flirt with another guy #depressingtweet #hopeless
733845655_388101966788059136 x	@live_laugh_lyss haha I will, thanks lyss
733845655_387578895702446080 x	RT @Josh_Barwin32: It is 46 degrees and @akimsal is running his ac... #fdr #electric? #ppl
