586126918_390669835660967937 x	RT @D_LEED: OMG this is too good. #Flyers http://t.co/0bdf5dRBZh
586126918_396476743374368768 x	So let me get this straight... #Sixers are 2-0 and the #Heat are 1-2 ????
586126918_396447251587149824 x	#Sixers 2-0 Leggooooo
586126918_395747545068355584 x	#BostonStrong
586126918_395743264890187776 x	How's it possible?! 2 years after dumping coach and 200 mill in payroll you are king of the baseball world (again)
586126918_395732327256821760 x	RT @bustedcoverage: 76ers fan rubbing one off during Heat game? (from @Cgonzalez305) http://t.co/KVQUnjlRT2
586126918_395728171414618112 x	@JoeYounes975 go find a treadmill and lose 20lbs
586126918_395724117623980032 x	#Sixers Leggggooooo
586126918_395716091407650816 x	RT @DrewBCohen: I haven't stopped watching this Vine in the past 10 minutes. I can't. https://t.co/SviuRLaxdx
586126918_395714757116067840 x	I'm probably late to this party but... Shaq?.. Gov Christie... What's up w that collaboration?!?
586126918_395368986411798528 x	So yeah, if game 1 of the NBA season is any indication @JManziel2 might as well buy his front row ticket to Heat in the Finals
586126918_395282153467944960 x	Vegas odds of Sixers winning a championship this year are 9,999-1. So you are telling me there's a chance?!?!
586126918_395271135245242368 x	So 4th and 26 just became 37 months with good behavior huh?? #JackAss #FredEx
586126918_394898754106445824 x	@JonandSeanShow U can't just throw around the word "epic" so loosely. Epic would be him on video partying with all 3! #PumpTheBrakes
586126918_394650391516024833 x	Chip Kelly is failing to live up to his expectations. Regardless of who "built" this team is he flat out not using what he has well.
586126918_394617499473686528 x	I always look forward to @BriBrooksxxx game day pics! What happened today??
586126918_394615130212007936 x	Is it possible that Jimmy Rollins can hit a pop up while doing pre game on Fox?? On the first pitch of course
586126918_394610155159306240 x	Do ppl (ie media pundits) still say RGIII is as good as Luck??
586126918_394540488709373952 x	So DJax looks like he is mailing in the 2nd half. Punt, no 3rd down conversion. There's a seat open next to Vick, use it!
586126918_394537013581717506 x	Do you think Andrew Reid DVR's the Eagles game and watches it on Monday laughing his ass off!!!!
586126918_394532917063716865 x	Is it possible to play w/o a QB or coach and just snap it to Shady every play?? #Eagles #Draft14
586126918_394532470018031617 x	RT @MarcusBarkleyQB: Yall philly fans need to shut up about my bro...yall dont know what you have. #MB2
586126918_394531535824883712 x	@EliotShorrParks great math Einstein
586126918_394531133675012096 x	If Chip says post game, "it's my fault I need to do better job at that", I will vomit in my mouth spit it in an envelope and mail it to him
586126918_394530278469017600 x	RT @amyfadoolCSN: LeSean McCoy.  He's a running back.  Near the goal line...give it to him.  Mid-field...give it to him. #NotANovelty #HesG?
586126918_394529317994389505 x	I blame the horrible play call on that fumble. What's with this pass happy offense with a rookie QB?!?
586126918_394530122986188800 x	@BennyB11Bravo hands down Chip's fault. Ball should have been handed to Shady on 1st and 2nd down
586126918_394528716787040256 x	Vick is thinking right now, "guess I better figure out how to compose a resume"
586126918_394527014163841024 x	You can't make this shit up #Eagles #Barkley
586126918_394494381073235968 x	S/O to @THEREALBHOP Been there, done that, and still doin the damn thing
586126918_394493100241846272 x	Over/Under on snaps Matt Barkey takes today 3.5 #Eagles
586126918_394492882905620480 x	Most intriguing storyline of todays #Eagles game is Matt Barkley is the back-up qb
586126918_394479456565223425 x	@EliotShorrParks And 0-9 in their last 9 home games
586126918_394242582731300864 x	Is it against the law for Iladelph teams to make the playoffs?!? #UnionToo sheesh
586126918_394144357701648384 x	At a wedding food tasting... I had 3 filets just to make sure I liked it. Yeah it's money
586126918_393924373683245056 x	Scored a dope #Eagles hat from @SeanBrace975 @975TheFanatic at Winners Circle in Exton tonight. Nice crowd. Nice event. Go Birds!
586126918_393873462424797184 x	RT @SportsCenter: THIS JUST IN: Tito Ortiz, Rampage Jackson's November 2nd showdown has been cancelled after Ortiz suffered a fractured nec?
586126918_393449811107516416 x	@SeanBrace975 you should run a 100 yd sprint down Main St tonight before the festivities to test the hammy @ManayunkBrewery @Pitcher_Pub
586126918_393467256828882944 x	@TMoyer34 DNF. Pulls up lame and walks into the nearest bar.
586126918_393098738698162177 x	I can't believe I am reading all these articles/tweets about the 5th yr annv WS '08?!? #Phillies #WhatHaveYouDoneForMeLately
586126918_392069015117774848 x	A lot of things piss me off right now but Andrew Reid being undefeated takes the cake
586126918_391972692993519616 x	Let's GOOOOO!!!! #Eagles
586126918_391762337843384320 x	Red Sox are ballin, playing harder and smarter in ALCS and deserve a trip to the series
