246732771_394831823739420672 x	Your 10am temperatures. Sunny. 63 later. http://t.co/xlbThcOHcf
246732771_394832372509597697 x	@ChrissieM10 So was I. Was really surprised there wasn't frost on the windshield at 3:45am.
246732771_392301663777996800 x	Okay. Work thing done. Trip to wholesale club done. Walk to Giant next. Yeah, this vacation is a blast!!!
246732771_392302138850025472 x	@ChrissieM10 Oh yeah. Big time! Just bought dip, too. Whoo Hoo.
246732771_387211667940990976 x	TORNADO WATCH until 5pm across entire region. Not only we looking at hvy rain and strong t'storms this afternoon, a tornado is also poss.
246732771_386510169187696640 x	Just got back from a walk. Oh, brother! Needing Gatorade in October. Very weird.
246732771_386511667598618627 x	@ChrissieM10 Hope you had fun! I was just down there for the first time a couple of years ago. Nice drive down the Keys.
246732771_392586828286394368 x	Early morning temps are 5-10 degrees milder than yesterday!  Mostly Cloudy.  High:  65 http://t.co/AvpxcogFBW
246732771_391996927417794560 x	Just ending 7 straight days at work. Now starting a Short, 7-day vacation. Think I like this better!
246732771_379551927823917056 x	Mostly cloudy in AM, 60s, some spotty sprinkes & showers around. Drier this afternoon w/ perhaps more sun. High: 70. Winds: light. Hap Mon!
246732771_378488766484058112 x	Feeling so much better this morning. Humidity on the way down, sun on the way up! Clouds & sun today, 76. Breezy. Just slight chc of shower.
246732771_398963939620306944 x	Sadly, I was thinking about canceling my Phillies season seats up in 325 this yr. Then they came up with these. Sold! http://t.co/CzsyEdo9wf
246732771_398970810335240192 x	@HornChris14 Ha! I'm actually relieved I didn't cut ties. I really love the sport & they're good people down there. Very excited!
246732771_399635092189896704 x	Hey! My 31-20 prediction is actually looking possible!
246732771_399590898410856448 x	I have to say, I think the Eagles pull this one off, probably about 31-20. Here's the game time forecast. http://t.co/qdLRFWon51
246732771_377072828832432128 x	Sensational day building right now. Sun, low humidity, 68 at 10am in Philly and head to a delightful 77. Yeah, baby!
246732771_358320829248962560 x	I'm going to Detroit to see Phillies next weekend. Hope I still recognize the starting 8 by then. KEEP WINNING, please.
246732771_350623253322145793 x	86 today, warm & humid. Chance of more strong, drenching t'storms, esp. in afternoon & evening. I know, I know...again? Yep. AGAIN!
246732771_350305456922693634 x	Surgery went well. Still on crutches and pain killers, but will start exercising the knee soon. Oh yeah... and it's hot/humid again!
246732771_349282122999152640 x	California Golden Seals. Who remembers them? Worst name, worst uniforms, worst team. Flyers once beat them 10-1.  That's TEN to almost ZIP.
246732771_346343087674642432 x	Saved a turtle crossing busy road in O.C. yesterday. Don't think he got it. Scampered into grass. Not even a "thanks". Little creep.
246732771_338413156646912000 x	When I was a kid, it was the annual parish picnic at Lenape Park. Roller coaster, carousel, canoes. All gone now. But super memories.
246732771_327456526711279616 x	Twisted knee Tues., hobbling like old man, hope doc's meds work, don't want to start talking MRIs and all that can lead to...
246732771_398975424354844672 x	See you tom AM at the Purple Strides walk/run to do a smack down on Pancreatic Cancer, one of the worst illnesses ever! 8am Mem Hall.
246732771_398989669108826113 x	@pancanphilly You got it. I'm pretty much in on this for the duration, at this point.
246732771_319769837750607872 x	@IsabelBGarcia Thanks for following me, Isabelle!  'Hope things are going well at Temple!
246732771_370975761714663424 x	@Jhm141 @CecilyTynan @Melissa_Magee Cool!  Sorry about the rain, though!
246732771_319819260610351105 x	It's National Hug A News Anchor Day, according to Matt O. We obliged. http://t.co/dIw9AlQmMA
246732771_391708346149244928 x	Filling again tomorrow for @ChrisSowers tom am. Then? Vacation!
246732771_391712713812246528 x	@dbradyy1 @ChrisSowers Can't say.
