19632455_373264482065465344 x	People are #whack.
19632455_399228088401534976 x	Happy birthsay to the studliest stud muffin i know. Love ya lots @ryanshubert
19632455_398656576061714433 x	RT @ali_doucette: First #tbt ever goes out to the bestest friends anyone could have! ginadecenzo @ashleyfantastic? http://t.co/d9iivIwreV
19632455_398529949382234112 x	Lunch @WedgeandFig with @Jewster89 was incredible! Yummy lentil soup and a perfect chicken salad with curry dressing #nom #newfoundfoodie
19632455_397874690418835456 x	Can we all stop pretending we love running marathons? #fitness #fitnot #FoodForThought #willrunforfood
19632455_397565449967505408 x	RT @E_Hall_: Wheres our real friends and fans at? Let me get a retweet if you're rocking with #Autumn and the movement still!   http://t.co?
19632455_397389089416445952 x	The @SEPTA bus driver and I are officially best buds. Definitely makes for a better commute. #septa #mydude
19632455_397120769983254529 x	RT @ryanshubert: That new track if you haven't heard it yet: https://t.co/tYO2j9tBoc
19632455_396681972749467648 x	I want to glue the image of Reese's cups to the inside of my eyelids
19632455_396100495011758080 x	RT @ali_doucette: Happy Halloween! From @ashleyfantastic and I http://t.co/odqTE83XRI
19632455_396082555587686400 x	There's always that one mom giving out pretzels. Like, no.. Give me a king-sized Reese's cup or die.
19632455_396082384418136065 x	Gluten free vodka must mean I've arrived #glutenfree
19632455_396059044051697664 x	I am sitting alone at a bar wearing tiger ears. #wherearemyfriends #SOS
19632455_395977499404173313 x	So many Miley's and amanda bynes runnin around. I've never felt so unsafe in a world #MileyCyrus #AmandaBynes #halloween2013 #wearescrewed
19632455_395665721336037376 x	It's national candy corn day and all I have to say is #ew
19632455_395618692526260224 x	A big congrats to my little brother @BENd_an_snap for getting into Colorado Mountain College. So proud of you. Now answer my damn texts!
19632455_395564764199657472 x	RT @CNN: While he was dying in the desert, he spent his final days writing love letters to his wife and children: http://t.co/DqzxA415YU
19632455_395519406303744001 x	Make This Last by ryanshubert via #soundcloud http://t.co/8iCgwlvjzo
19632455_395375878064316416 x	@marcscibilia phenomenal performance tonight in philly! Def come back soon kids.
19632455_395357002312192000 x	Some of the most important people in my life are putting out incredible music... Check out @E_Hall_  and @ryanshubert
19632455_395356039585230848 x	So happy for you @TimWilliamsBand http://t.co/rjULYL2sa9
19632455_395355462071492608 x	"Finally got some life behind me, finally got some love to blind me" #philly #TLA
19632455_395353298590773248 x	RT @ryanshubert: Check out the new jams! Make This Last by @ryanshubert http://t.co/SZj5q7fOIJ on #SoundCloud
19632455_395353270107275264 x	RT @ryanshubert: My new single's out today! Check it out on #SoundCloud right meow. #pop #NewMusicTuesday. https://t.co/M0zMRqxYch
19632455_395353137240104960 x	RT @ryanshubert: Just released a NEW SINGLE today! Check it out on @benfawkes right here:? http://t.co/r9RRwyIFZ8
19632455_395242813350100993 x	Check it! @ryanshubert's new song! Show some love and retweet if ya love it. https://t.co/SKdtmfhaG9 #makethislast #music #beats #newsong
19632455_394829034666098688 x	Okay time to be positive even though I just want to crawl back into bed. #caseofthemondays
19632455_394376578526113792 x	RT @ryanshubert: @ali_doucette @ashleyfantastic Id rather dive blindfolded on fire out of an 8 story building than listen to you two sing W?
19632455_394117599187193856 x	Am I the only one that wouldn't be swooning over a #teenwolf? #whack #hairyasfackkkk
19632455_393859944350760960 x	TGIF snitches.
19632455_393421237277716480 x	Same #city same #friends if you're lookin' for me. #drake #drizzyvoice
19632455_392824993891237888 x	My fish almost just committed suicide a la filter because I put a new decoration in his tank. Some of us fear change.. #unappreciative
19632455_391910255657234432 x	I would've definitely sobbed my eyes out if I was at @Drake last night.
19632455_391740814717878272 x	Guess @Drake found out I couldn't be there.. #fakeout
19632455_391644847469527040 x	Temple made, temple proud #itbegins #templeu
19632455_390675176381509632 x	I'll sleep when I'm dead.....jk going to sleep #YONO
19632455_390671333962833920 x	@bradzwithaZ a mixed bag if you will.
19632455_390197680066281472 x	Less than a minute... #autumn @E_Hall_ @murpho11
19632455_389941205288902656 x	RT @FOX29philly: MT @SWilsonFOX29 Super Mom @Brynn9779 wants her Daughter w/CysticFibrosis 2 meet @selenagomez Friday. Please RT #BaileyMee?
19632455_389907363727417344 x	So uhhh.. Guys... Where'd all the wine go? #awsugar #nowinetillbrooklyn
19632455_389151353584766976 x	Grow up Green Day.
19632455_389053406801047553 x	Concord grapes are out of season you say? Show me to the nearest cliff. #grapesorbust #grapedreams
19632455_387727200906379265 x	Gettin' goofy with @TNAF and my boo thang tonight. Happy almost burfday girl! http://t.co/STGPlPUjaW
19632455_387338365109956608 x	RT @WheresAndrew: Complex emotions as I hover over the Grand Canyon. SO proud to say this is my country; ashamed of my government. http://t?
19632455_386940624324542464 x	2chainz and champagne (or hoegarden) happy Sunday snitches! @Bacon_AndMegs @kylegauss
19632455_386920503006748673 x	Grouchy people ?
19632455_386126608450736128 x	"Everything has its wonders, even darkness and silence, and I learn, whatever state I may be in, therein to be content."
19632455_385912813660950528 x	Can I somehow sign up to be a permanent vacationer? Professional traveler? Professional vacation producer? #SOS #anybodyoutthere
19632455_385911462277173248 x	Holy cow.. I need a vacation ASAP. Can't wait to board my ship and sail right into 2014. 2013 has been a fickle bitch.
19632455_385432852029919232 x	"Child I love you regardless and there's nothing you could do that would ever change this."
19632455_385050314451451904 x	Just dancing to @backstreetboys at the bus stop. Now where's my Walkman? #throwbacktuesday
19632455_384876258984992768 x	Where's the pizza? @ali_doucette @scootreasoner
19632455_384874510425788416 x	Well.. Guess I'm never sleeping again. Thanks American Horror story.
19632455_384834045877972992 x	Harriet the spy is on. That's all anyone needs to know. #wheresmynotebook #bluepaint
19632455_383752387934322688 x	Boyfie #philly #phillies #phanatic http://t.co/Cv5KMMeYkj
19632455_383504968453742592 x	Headed to @FOX29philly to salute our troops! Come join us!
19632455_383274230013784064 x	@FOX29philly salutes the troops tomorrow! Come on down between 7-10A to say thanks and have some fun! Cya at 4th and market! #philly
19632455_382935596781412352 x	#Flyers game last night with the girlfriend. This ones for you @Jewster89! http://t.co/SFGAncH6qG
19632455_382863124107644928 x	@ali_doucette @scootreasoner @AaronStallone @ryanshubert hanging out with you guys -- DUH!
19632455_382565106678505472 x	Trying to take a picture of my waiter who looks like @Drake's awkward little brother #drizzy #creepin
19632455_382378589280546816 x	"Something slipped through the cracks, and we capitalized on it..." SUBJECT: @backstreetboys concert @ryanshubert
19632455_382209011678208001 x	@Drake #fromtime
19632455_382188811289382912 x	She just wanna run around the city and make memories
19632455_381956616117309441 x	AHHH! @Jeff_Daniels wins! #woo
19632455_381122104349167616 x	This too shall pass.
19632455_380495750058479616 x	There's something special about enjoying a concert by yourself.. #tryit
19632455_380135096202067969 x	@MikeFOX29 you gotta try this! Chocolate peanut butter volcano (hot chocolate) from #rimcafe in south philly! http://t.co/m55AomWkZe
19632455_379442950427922432 x	RT @Jeff_Daniels: It's official. #Newsroom coming back for a Season 3.
19632455_379438440338968576 x	RT @julieklausner: People freaking out about Breaking Bad's intensity: on HBO Jane Fonda just asked Sam Waterson "wanna split a pizza?" on ?
19632455_379438323359821826 x	Oh ... My ... God. #newsroom
19632455_379030031370293248 x	"So we beat on, boats against the current, borne back ceaselessly into the past."
