1948073113_399915561154404352 x	The sweetest taste of all is the taste of your lips on mine.
1948073113_399930456033865728 x	One important thing in love someone is to let each other go if you can't do this anymore.
1948073113_399723482927202304 x	Sometimes, people will cry over nothing, but sometimes that nothing is really something.
1948073113_399975636376121344 x	You'll never find anything else worth fighting for more than the person you love the most.
1948073113_399960778737860608 x	A woman's heart is a deep ocean of secrets.
1948073113_399945985146634240 x	Find yourself before you fall in love, so you bring with you everything you need to all conditions and peaks.
1948073113_399900711535665154 x	Sometimes, you think you've got him wrapped around your little finger, but he's actually got you wrapped around his heart.
1948073113_399885915180371968 x	Boy, don't you get it? She talks about you like you put the stars in the sky.
1948073113_399871104807759872 x	We should't treats love like life, because you can fail or succeed at love multiple times, but you only have one chance in life.
1948073113_399856335602216960 x	Almost everyone who has lost love seems to find it later when they're not even looking for it.
1948073113_399841171716837376 x	If I were perfectly honest, I would tell you that you mean the world to me, seeing you and talking to you is the best part of my day.
1948073113_399826457750298624 x	It takes guts to fall in love, but it takes nerve to go back to the one who broke you.
1948073113_399811694525808640 x	You know you're in love when he tells you he loves someone else and you hold back the tears, smile, and tell him you are happy for him.
1948073113_399798177223561216 x	RT @HowGirlsThinks: Real life barbie http://t.co/H33lL5x3NB
1948073113_397882931462406147 x	If it's meant to be, it will be.
1948073113_399796889911980032 x	Dear heart, you deserve the best. I don't know what the best for you right now, but I know it will coming soon.
1948073113_399782148070055936 x	I hate getting flashbacks from things I don't want to remember.
1948073113_399781911872032769 x	RT @CHRlSBROVVN: Real life barbie http://t.co/pg7HiOmiP2
1948073113_399773721558122496 x	RT @BadSluttyGirl: OMG marry me now http://t.co/d6F1eTJLK1
1948073113_399767433256259585 x	If I can give you anything, I would give you my eyes so you can realize how much special you are for me.
1948073113_399763028687593472 x	RT @DizSelenaGomez: OMG marry me now http://t.co/gF6FRkser0
1948073113_399756573049774080 x	RT @ImKendallJen: Tips For A Flat Stomach http://t.co/vCyGk0HEN5
1948073113_399752718689914880 x	I'm a lover; not a fighter, but I'll fight for what i love.
1948073113_399738038730752000 x	I'm fighting to get you out of my head, but I'm holding onto every word that you ever said.
