238818228_387250130728275968 x	@petzrawr #NOTASTALLAJOKE
238818228_395375411053740032 x	@__CoCoMo technically I did it a few minutes before 12, so happy birthday, sorry you had to see costume Lauren Hart and Kate Smith
238818228_395362504509259776 x	@ryanlawrence21 his wife Helen is a bit of a gossip though
238818228_395354318817460224 x	@Lana as opposed to the Gold Club, which has gotten athletes in Atlanta in trouble for being too handsy
238818228_395233340191563776 x	@ChrisVito @meechone looks like "The Villain" is embracing #suckforwiggins
238818228_395138785685798912 x	RT @mattkeller55: #chrisbrown attacks women like he attacks the billboard charts.  #SUCCESSFULLY
238818228_395034246672580608 x	@__CoCoMo happy 31st birthday http://t.co/BFNLNuSRqc
238818228_395033174767828992 x	Bottom 3 Bane who needed to lift more Giant Baby Complaining Waitress
238818228_395032915954139136 x	My Xfinity Live Saturday night costume party power rankings  1. Rock em Sock em Robots 2.Cookie Monster 3. Sexy female firefighting team
238818228_394969171349741568 x	@awfulannouncing Potent Potables would work better
238818228_394658079385878529 x	I'm really excited for the episode of Pawn Stars where Chumlee finally goes postal and kills the Old Man
238818228_394653041150140416 x	@DanLevyThinks see Matt Stairs, Cody Ross, Scutaro in the past few years
238818228_394650580800786432 x	@MJ_Baumann I'd believe he touched home in the '07 play-in game vs San Diego more than 28 stolen bases in a season
238818228_394567302441873408 x	RT @FrankCaliendo: BREAKING:Calvin Johnson celebrates @DetroitLionsNFL win by transforming into Gatorade container & dumping himself on Jim?
238818228_394153423501033472 x	Did the Indians have Yo-Yo's?
238818228_394108161206255616 x	RT @othersome: guess what dad i used the Patriot Act to get your grocery receipts and now i know which cereals u have a crippling addiction?
238818228_393889334870695936 x	@MJ_Baumann how many gold dots does he have noting his rank?
238818228_393547358044438528 x	Sign it's a bad Flyers season: we're 9:23 away from Brayden Coburn having both GWG of the season
238818228_393525450213163008 x	@BroadStHockey unless it's scoring more than 2 goals
238818228_393523865340493825 x	Roommate: is Mike Richards still playing? Me: yes, if you followed the internet you'd know it's still a thing
238818228_393521860044144640 x	I do like that all Marvel media these days is "remember how cool Avengers was"? There are probably worse marketing campaigns
238818228_393518701393477632 x	I'll be damned! A goal!
238818228_393347634372829186 x	@FelskeFiles I guess because they are obligated to air Mike&Mike, but 97.5 misses the opportunity by not having a 6-10 show on these days
238818228_393339549331755008 x	@kevinfmaye if a girl went as Kat Dennings with her IPod I'd be much more excited for it than the normal 100 Loki/Thor costumes
238818228_393159266527617024 x	@HARRYMAYES975 if 5 and Leinart can somehow find themselves on TV, J-Roll should be fantastic at it
238818228_393133368529129472 x	@HARRYMAYES975 the same team who once paid Zito his enormous contract
238818228_393051781779185664 x	@TheGoodPhight Mike Martinez
238818228_392630473509572608 x	@jaysonst @MikeAndMike Melvin, Hurdle, Francona, Bochy
238818228_392265446365605888 x	RT @zoowithroy: Can't wait until Dom Brown tweets a pic of himself wearing a CCCP hockey jersey during the Olympics
238818228_392082694496346113 x	Leave @dom9brown alone you savages.
238818228_391765278729965568 x	@emmaspan in comparison, I'd be pretty excited for the eye pain
238818228_391243078574833664 x	@awfulannouncing glasses, it's the glasses I think
238818228_391233463350988800 x	They have the spot that I'm going to be working in already. Holy crap its really real you guys.
238818228_391019152015912960 x	@BMcCarthy32 all the glow puck technology for the late 90's Fox had to be used somewhere
238818228_391018944292995072 x	@KevinCooney @DennisDeitch great third by the team. Wait, we're trying to tank this year right?
