704167273_364568069714096130 x	@ashleytayytayy good luck
704167273_397132555628986368 x	RT @DWAZ73: Hey, Geno Smith, how are you spending the bye week? "Studying, man. Studying." #Jets
704167273_397132531272663040 x	RT @Eagles: #PHIvsOAK close-up: That moment when you catch your first @nfl career TD. Congrats, @ZERTZ_86. #FlyEaglesFly http://t.co/2SPwhJ?
704167273_397132375986937859 x	Go birds!!!!! Great first half. The d needs to contain Pryor  #FlyEaglesFly
704167273_384444171924148224 x	Somedays it just doesn't pay to get out of bed.
704167273_384449182787842048 x	@Acesrule really somedays even a " do over" wouldn't help
704167273_384471230021005312 x	@Acesrule I'm just about all healed physically.   Emotionally,,,, sometimes you never heal up.
704167273_384486422058516480 x	@Acesrule thanks.
704167273_384454624792412160 x	In not sure what's worse, our defense, our inability to do the little things right or the fact that this team has given up today
704167273_384444782774202368 x	RT @HARRYMAYES975: Annabel Bolen...Steven Tyler called and he wants his lips back.  #sheesh
704167273_382500570814496768 x	RT @thedailybeast: It's been 20 years since Cory Matthews first met Topanga Lawrence. Happy anniversary, 'Boy Meets World'! http://t.co/cHM?
704167273_379297807313563648 x	@Eagles we look horrible
704167273_366374354197549056 x	@ErinAndrews it's great news,actually!!!  But aren't you as a member of the media supposed to be non biased???
704167273_366170916700426245 x	@Acesrule I'm managing ok, so far.   I can't type on the keyboard too well, no bike, no work.   D-day Monday
704167273_365912306208604161 x	@Acesrule broken metacarpal in my right
704167273_365945729275006977 x	@Acesrule playing softball ,  because I'm not 20 Yrs old anymore
704167273_363397481193029632 x	@RileyCooper_14  big fan of the birds, I think you're a great player, keep the faith, you had one bad moment. Fly eagles fly
704167273_362321643223261184 x	Hey @Acesrule welcome!!!!!! Remember only 140 characters
704167273_362972545500184576 x	@Acesrule not many things fit in twitter's confined amount of space
704167273_363001086187020288 x	@Acesrule totally understandable.  Believe me, we all have to rant and rave!
704167273_323518264917516288 x	@ashleytayytayy good question
704167273_320137376435404800 x	@DezBryant #whogivesashit #overpaidprimadonna
704167273_316269224123326464 x	@ashleytayytayy why ask people who nothing????        It answer is mid April
704167273_316000674288652289 x	@FGCU_MBB great win, great run
704167273_316000474283270146 x	@scottlinn980 that's so bad, but so true!!!!
704167273_313426856328192001 x	@ConnorBarwin98 welcome to Philly- have a cheesesteak and kick ass
704167273_313426664736567296 x	@JJWatt I'm a birds fan-Philly.. But I still think you're a great player... Be safe overseas
704167273_306750587100348418 x	@TheRealeDeal in July when it's sunny and 85
704167273_305124904603377665 x	@pAuLiE_bRuZ revis is brining it
704167273_304685567260651521 x	@Jeff_McLane no..... Whom is that red headed hefty guy
704167273_303477161963171840 x	@TonyBrunoShow big Dan of the show!! Listened to you nationally before, and I always catch u when I'm in Philly!
704167273_294494402754269184 x	@pAuLiE_bRuZ http://t.co/wCsliWcw
704167273_294494267332763648 x	RT @NFL_ATL: Woody Johnson: I don't know where Revis rumors started http://t.co/5uPsn5fk
704167273_290818616994189312 x	@pAuLiE_bRuZ knock it off and buy her stuff
704167273_290289099452076032 x	RT @SladeHV: This AP pic perfectly captures the moment Denver secondary blew this game. Amazing, historic shot. http://t.co/8sTwqT4q
704167273_290279290912796673 x	RT @BleedingGreen: Pretty amazing to think that the 2012 Eagles actually beat this ravens team.
704167273_288229031692886016 x	@Espngreeny ain't nobody want  to see that
704167273_287625914672627712 x	@donovanjmcnabb just found you here on twitter, big fan from upstate NY bigger birds fan, wished you'd stayed in green
