311556648_395312983317807105 x	@associatesmind @FishtownLawyer Thanks! Looking forward to reading it. Congrats, btw.
311556648_394610994657652736 x	Food. http://t.co/0oOwbKuBMO
311556648_394521366545702912 x	.@shawnetuma Now if I could only find out where the darn courthouse is... ;)
311556648_393503629350424576 x	@RickHorowitz They're "tough on crime"
311556648_393514038497648640 x	@RickHorowitz "By trying to punish someone the law says was not guilty of a crime."
311556648_393560261795127296 x	@RickHorowitz It's still ironic that your client was convicted for not following the law, but it's okay when the DDA does it.
311556648_393490026614358017 x	RT @APribetic Canadian government moves to make "revenge porn" illegal. http://t.co/OeplXml9PW
311556648_393196452479922176 x	@ScottGreenfield @MarkWBennett @Popehat I fear someone may have disagreed with her on the internet. How dare they! That is so hurtful.
311556648_393201157121646592 x	@NathanBurney @ScottGreenfield @MarkWBennett @Popehat YES IT IS
311556648_393201772535103488 x	@MarkWBennett @NathanBurney @ScottGreenfield @Popehat Yes. He is an cyber bully, stalking me on the internet with all his hate.
311556648_392757833004883968 x	@ScottGreenfield @btannebaum @mirriam71 On Twitter, no one knows you're a hobbit.
311556648_392742886418423808 x	So @btannebaum, as the tallest hobbit, does that make you our leader? @mirriam71 @FishtownLawyer @ScottGreenfield
311556648_392743624527847424 x	@btannebaum @mirriam71 @FishtownLawyer @ScottGreenfield Embrace your inner hobbit. Lead us to Mordor.
311556648_392742555647221760 x	@mirriam71 @ScottGreenfield @btannebaum @Jteisele Me Brian and Mirriam gave a ring to take to Mordor.
311556648_392464358116048896 x	Awww, it's @fishtownlawyer and @mirriam71 looking so happy. Like they just put a criminal back on the streets. http://t.co/48c31blxkI
311556648_392465612527521792 x	@mirriam71 @FishtownLawyer Cedar Point. Tons of good places like that in Fishtown. http://t.co/sBxeijQBsi
311556648_392381187433320448 x	Always nice when hot girls stop by the office. W @mirriam71 http://t.co/cDXSc7vgBt
311556648_392395138485342208 x	@mirriam71 @FishtownLawyer Our pleasure. Thanks for the company.
311556648_392046824615591936 x	Only in #fishtown is it not weird to buy pickles, horseradish, and hot mustard from "the pickle guy" http://t.co/CLE4mJClzO
311556648_392280406885539840 x	@fectin I am lactose intolerant. :(
311556648_392061535407054848 x	@charlesthomas @mirriam71 I'm generally free tomorrow.
311556648_392062633429696512 x	@mirriam71 @charlesthomas Fishtown, 7pm? @FishtownLawyer to make a guest appearance.
311556648_392066202690142208 x	@mirriam71 @charlesthomas @FishtownLawyer We are around.
311556648_392066578915000321 x	@mirriam71 @charlesthomas @FishtownLawyer yes. 1pm?
311556648_392062784101687296 x	@mirriam71 @charlesthomas ah shit no joke I start crossfit at 7:30. Anytime after.
311556648_392060360800620544 x	@mirriam71 @charlesthomas you in philly? Im in Fishtown.
311556648_391973375947460608 x	RT @ScottGreenfield: Wow, just when you think Avvo Answers can't get any more awesome. http://t.co/80HS09079l GA's Caryn Fennell wins lawye?
311556648_391960925982695424 x	RT @btannebaum: Someone needs to educate 3 year lawyer Caryn S. Fennell on how to just be wrong and say "oops." http://t.co/OtRjwHztyT
311556648_390930731385372672 x	@gideonstrumpet Hey you
311556648_390930884372611072 x	@gideonstrumpet What are you up to?
311556648_390931509562990592 x	@gideonstrumpet A little Tweeting, a little lawyering.
311556648_388741985290289152 x	@APribetic @ScottGreenfield @KymeshiaMorris Just plug in "poutine" where I've written about "cheesesteaks" and it's a Canada Law Blog!
311556648_388738129454063616 x	@btannebaum @DanielGershburg I'll give @KymeshiaMorris $50 to change "NY" to "Philly" so I can put it on my blog. Call me?
311556648_388737378287763456 x	@ScottGreenfield @KymeshiaMorris Oh, I have some posts too! None of them are good, though. Maybe $25 instead?
311556648_388734352877572096 x	Philly Law Blog - In the Digital Age, What is Privacy? http://t.co/t8vam6Eytx
311556648_388346742137430016 x	@ScottGreenfield I hear Apple is pretty good. Have you heard?
311556648_388031110761820160 x	Today someone Googled "what is max kennerly" and found my blog. Well, @MaxKennerly?
311556648_388075907673362432 x	@MaxKennerly @associatesmind Don't worry, Max. I told them the truth about what you are - very tall and quite handsome.
311556648_388060701257764864 x	Philly Law Blog - A Brave New World In The Cloud: http://t.co/3fgtNZkThL
311556648_388064226058567680 x	@NCWeaver I don't practice criminal law. Are there any ethics opinions on that, though? Interesting concept.
311556648_388023776543510529 x	My standing desk. http://t.co/mbMfCfdi5o
311556648_387659385272799233 x	New Thunderbolt monitor. http://t.co/VNeMJWfvAu
311556648_387367235406557184 x	RT @jawshkruger: BTW, @JRushie you ain't helping my suspicions of your having the ghey wearing my fabulous sunglasses JUST SAYIN' fancy pan?
311556648_387311855938457600 x	Hey @jawshkruger - respect my authoritay! http://t.co/ONJOlH6tqy
