262557191_171619498107998209 x	Gettin shit done this week.
262557191_396828690044047361 x	@AshAlexiss Try http://t.co/YCa2L2oVeX and enter the address in center city that you wanna be near and you will get a great hotel for half $
262557191_396356572525658113 x	Definite demons we're coming out of @ryanstasik Moag playing last night... Shit was deep dank dumph
262557191_396253747908993024 x	@jeffersonwaful @umphreysmcgee @goldlikejoel Thanks for a scorcher of a Halloween! Lights were insane and music was so tight. #lovetheumph
262557191_394494943097794560 x	RT @Jeep_Porn: Sundays are made for Jeeps and Football ?
262557191_394101646420353024 x	RT @Stewdintpls: twinkul twinkul litel star ur an fagit
262557191_393476648747945984 x	@DrunkBayliss @goldlikejoel are u guys stayin in Stroudsburg tonight lets rage after.  #drinksonme
262557191_393443662820306945 x	@goldlikejoel @ShermanTheater @umphreysmcgee see you in a few hours leavin Philly now! #linearHalloween #shredstroudsburg #ijustwannadance
262557191_393352950451814400 x	@goldlikejoel Ok last desperation plead. Linear Halloween or Sorrow 2nyte. I will take you all out for drinks post show. #please #umphreys
262557191_393202697299828736 x	@umphreysmcgee @jeffersonwaful this first set is a scorcher. save some for us in east Stroudsburg! Umph is Straight rippin now    #umphreys
262557191_393032885021982720 x	@goldlikejoel @JakeCinninger Linear Halloween edition or Pink Floyd sorrow tomrrw night @ShermanTheater #dontmakemebeg #okimbegging #please
262557191_392730644339773440 x	RT @Sherman_Theater: @umphreysmcgee Don't forget to buy your tickets too see #umphreysMcgee at the #shermantheater this Thursday!
262557191_392624646371434496 x	@JakeCinninger @goldlikejoel please please please please please please play the linear Halloween version or Floyd's sorrow on thurs. #please
262557191_391990770674462720 x	@kaitlin_olson seriously it's awful
262557191_391549798706610176 x	RT @BartenderRants: Your grandpa didn't spend his 20s killing nazis so you could order strawberry fucking beer
262557191_391541764349509632 x	RT @Jeep_Porn: Happy weekend ? http://t.co/BeMGjL0n41
262557191_391530125436940288 x	If I could be anyone else for a year it would be @jeffersonwaful or @Soundcaresser so I could tour and see every @umphreysmcgee show
262557191_391320182112931842 x	@Soundcaresser @umphreysmcgee Niceee thanks Kevin. See you in Stroudsburg, shread on good sirs
262557191_391314795393454080 x	@umphreysmcgee do you have any new T-shirts for this fall tour?   #umphswag #15yrsofacemelting
262557191_391271714161971201 x	RT @Stewdintpls: sillee rabbitt.. trickz ar'nt 4 fagitz
262557191_391038590165454848 x	@goldlikejoel @JakeCinninger this set tonight is fire. I would sell my first born to hear Linear (Halloween version) at Stroudsburg show.
262557191_390268193388122112 x	RT @LilWeynPls: *weyn at teh klub*  Weyn: hrey bby cum hoem wit mi tonite  Gurl: onli if u sai an reeli good rap  Weyn: nigga nigga nigga  ?
262557191_390246816899678208 x	So I decided to give these as my wedding favors in 2 weeks@goldlikejoel @DrunkBayliss @JakeCinninger @umphreysmcgee http://t.co/zrwYQeNYA6
262557191_389874434720694274 x	@Radio1045 playing @BlocParty thank you! It's about time
262557191_388115426762571776 x	Remember when trix used to be fruit shaped? But what if they really are still fruit shaped and we just can't see it bcs trix are for kids?
262557191_388111819258470401 x	@ryanstasik 2nd edition as in new design?
262557191_386529929560862720 x	RT @ElmwoodParkZoo: @Temple_FB Stella's giving @UofLFootball her game face! #TempleTuff http://t.co/Z8N7wCaAW2
262557191_385187346783940608 x	@ryanstasik Go Bucs. http://t.co/VR8eQDkaRe
262557191_382921388140802048 x	RT @UMphreaks: Flamethrower. RT?@Cubs: @umphreysmcgee Great to have Brendan join us for tonight's ceremonial first pitch.  http://t.co/lGH7?
262557191_382702782878580736 x	@goldlikejoel @umphreysmcgee @JakeCinninger the wife2be and I decided that Phillys show opener Gurgle will be our wedding intro song. mm/
262557191_382570880356073472 x	@umphreysmcgee @jeffersonwaful  I just re watched gargul opener in Philly, the lights and music were sick as hell. Great opener into slacker
262557191_380004728153059328 x	@umphreysmcgee @goldlikejoel @DrunkBayliss @jeffersonwaful Just got tix to Umph in East Stroudsburg for my b-day today. #bestpresentever
262557191_380003485754089473 x	@jillianbmele wait were both from Abington area AND have the same birthday?! Good stuff, glad to share the day with you. Enjoy!
262557191_378333066118582272 x	RT @Keegan_Bradley: If that was a hold I'm barack Obama
