564655873_399001843436507136 x	?@stonepony21: Boooooooooooooooooooooooooo?. Agreeeeeee
564655873_391199939096608768 x	RT @RitasItalianIce: Happy Fan Friday! :) RT & Follow us for your chance to win a Free Regular Ice! 5 winners will be selected at 11pm! #ha?
564655873_389205071080087552 x	RT @stonepony21: Best game I've ever seen. Quadruple OT #BEATMICHIGAN #homecoming #PSU
564655873_386129670485200896 x	RT @RitasItalianIce: Who's ready for the wkend!?! To celebrate the 1st Friday in Oct, we'll pick 5 lucky fans to win a FREE Misto 2day!  RT?
564655873_384547995758260224 x	?@TonyBrunoShow: I defy anyone to tell me any show that tied everything together as perfectly as #breakingbad in 5 There was one The Shield
564655873_383252989890150400 x	?@stonepony21: The league has jump the shark?. Good call I agree.  Especially with that Cutler crap.
564655873_379832421182484481 x	?@ronmusselman8: Steelers lose 20-10 to fall to 0-2.?  Hahahaha. Steelers suck
564655873_379832313023971329 x	?@TheRealDGunnCSN: Can't believe the steelers are this bad. I know they have injury issues but wow.? I know it's great they suck!
564655873_379287954834739200 x	RT @BreakingBad_AMC: .@AaronPaul_8 will be live-tweeting tonight's #BreakingBad. Retweet if you'll be following along! http://t.co/KGa2X26M?
564655873_378860715571826689 x	?@howardeskin: Today on the show @SportsRadio dick vermeil talking bout #eagles and Chip Kelly.  Nice job working on Yom Kippur you shanda
564655873_370335583995826176 x	?@stonepony21: Cole Hamels bobblehead night http://t.co/4mgINyPdYM? looking good!!!
564655873_367458212980596736 x	?@stonepony21: Can't believe I didn'tsee Zooey when she was in Philly. That'll teach me to start going to the library?reading is fundamental
564655873_367457819693293568 x	?@CSNPhilly: Donovan McNabb says RGIII is 'getting brainwashed' by the Redskins: http://t.co/wP4ws3hVN0 #EaglesTalk?@phillies2128
564655873_363119900920774657 x	?@stonepony21: Charlie is an idiot but at the same time Rueben is a moron #Philliestalk?. Exactly right
564655873_361874724223062016 x	@TonyBrunoShow tell your idiot partner that Mcnabbs stats are identical to Jim Kelly in same amount of games.  Better qb rating too
564655873_360849826889474052 x	RT @SpringsteenandI: Retweet and spread the word! #SpringsteenAndI is BACK FOR MORE WITH WORLDWIDE #LastChance ENCORES! http://t.co/1maToWP?
564655873_360798843127861249 x	RT @SpringsteenandI: 7000 followers, 7000 #BruceBuds! Our announcement is coming soon...
564655873_360568696558731265 x	@boomersbaseball boy vs world night is awesome. Very well done great ideas
