620727375_391966073441882112 x	@LauranRocks volunteer!
620727375_382380356646600705 x	@camcharron #muncin'd
620727375_395329207678402560 x	@LauranRocks You be crazy girl
620727375_395319148793704449 x	@LauranRocks or he could be being nice and sending you home early?
620727375_395029515874746369 x	RT @nottjmiller: Atheists don't have billboards that are like "religious people-- you've killed millions in the name of imagination." http:?
620727375_394860928522391552 x	"NYIslanders: #Isles lines at practice: Vanek-Tavares-Okposo; Bouchard-Nielsen-Bailey; Grabner-Nelson-Regin..." @Michael_Oram boner.
620727375_394688866960945153 x	@LauranRocks be careful the roads will be a mess!
620727375_394675952849924096 x	"@BuffaloSabres: #Sabres now have 17 1st-round + 2nd-round picks over a 4-year span (2012-2015)." @Michael_Oram Jebus! Haha
620727375_394680040626991105 x	@Michael_Oram I guess they'll be good in.... 2018???
620727375_394622490359525376 x	@Michael_Oram I don't get why you trade your franchise players bff
620727375_394634053934014464 x	@Michael_Oram yes. Do you not have one?
620727375_394647887709097984 x	@Michael_Oram I am your bff. Shit. I didn't get the paperwork. I will file it stat!
620727375_394311295740030976 x	What's up now losers!!! @KDotThompson @Michael_Oram @oVoodooChildXO @Mr_Pinkster @DustinMRogers http://t.co/Z0IyM1vJ5T
620727375_393925316390825984 x	"And here's why Mark Jankowski was a first round pick (s/t @chrismpeters) http://t.co/QI4CHhTs1H" 1 minute mark @Michael_Oram
620727375_393932298573201409 x	@Michael_Oram not enough room if I quote it
620727375_393969044409159680 x	@Michael_Oram I'm the best source  of my own information!
620727375_393432947614707713 x	RT @CdnPress: BREAKING: The Harper government's most recent attempt at Senate reform has been declared unconstitutional.
620727375_393411312606142465 x	@Ledger_NJDevils yes!!!!!!!!
620727375_393402901873168384 x	@ice_chip gerbe practice yesterday? Is he in today?
620727375_393236275257278464 x	@LauranRocks web md!!!
620727375_393245877420036096 x	@LauranRocks Real Life Syndrome?
620727375_393209813855117312 x	@coreypronman I think had lucic been suspended for hitting miller and sabres not decideding to be tougher. He would not be in the nhl
620727375_393175267981533184 x	@hockeypooljunky hockeyyinsiderr hasn't tweeted since August 28!
620727375_393153666200268800 x	@KDotThompson yeah. Go to a game and give it to a fan
620727375_393153209641861120 x	@madelynxmonroe #wifematerial hahaha
620727375_392866869582901249 x	@robdelaney no. You're a #virgin
620727375_392841615057764352 x	@ToddCordell have you seen his linemates? Faceoff dot he's still raw there, early for him. I've thought he's been great defensivly In the NZ
620727375_392787690820620288 x	@kady great job!!!
620727375_392769327406927872 x	RT @kady: #Duffy now implores his former Conservative colleagues to shake off the yoke of the unaccountably powerful PMO. Holy cow. This is?
620727375_392680165831999489 x	@NHLDevils "hey I'm not as slow as volchenkov, salvador and zidliki"
620727375_392386521614925824 x	@nenshi Remember if you don't vote in municipal elections you could end up with Rob Ford as your mayor
620727375_392018685440708609 x	"Brandon Merriweather: X button = "Helmet to Helmet Hit" Y button = "Miss Tackle". The other buttons don't do anything." @oVoodooChildXO
620727375_392018999854112769 x	@oVoodooChildXO does that tweet make sense? Also would @KDotThompson understand it? #footballjokes
620727375_391575521911242752 x	@robdelaney I'd rather have a signed ham
620727375_391073084171509761 x	@KDotThompson when has that never not been the message for political parties in Alberta?
620727375_391229579894865920 x	@KDotThompson conservatives every year they've been elected: "change". You can say change all you want and never change haha
620727375_391194756513931264 x	@LauranRocks how are you doing? When are we hanging out? What is stopping traffic by just walking down the street like?
620727375_391229232933658624 x	@LauranRocks sounds great!
620727375_391084408028950529 x	@madelynxmonroe Did you know if you get lost in the woods all you need to do is build a house. That way you would live there instead!
620727375_391073748318560256 x	RT @TravisHeHateMe: How do Devils fans stand for this shit? Starting Brodeur over anyone at this point is blatant tanking. And they've forf?
620727375_391071116233437185 x	@LauranRocks did you know you are the most beautiful person on twitter ever? And I like candy
620727375_390882988075913216 x	"@ajam: The politicization of the debt ceiling, in one chart http://t.co/bYwvs50eqw http://t.co/TOnWFQsRbn" @BenAtkinsonPhD cool chart!
620727375_390833607277043712 x	@NHLfantasy: +/- is a terrible stat #MeVsCubeta
620727375_390678057507229697 x	@garik16 gamecentre?
620727375_390697381961793536 x	@garik16 shitty. I know with gamecentre you can watch any game. Of course not shown on your cable package. Like sportsnet games.
620727375_390612196511604737 x	RT @IvisonJ: 3/3 This is so misleading, so egregious, such a blatant lie that the only new low that has been struck is government-media rel?
620727375_390612179159752704 x	RT @IvisonJ: 2/3 Letter says media attended NDP meeting, not "important speech by our PM". "This is a new low". No mention that reporters w?
620727375_390612145596928000 x	RT @IvisonJ: This will not end well for Tories. They've just put out a fund-raising letter saying "Ottawa media elite"didn't give them fair?
620727375_390604242685542400 x	@kady pffffft who needs to answer questions
620727375_379702053075185665 x	@BatmanArkham penguin. Iceberg lounge
620727375_390246513546244098 x	"@Left_Wing_Lock: Jason LaBarbera is Confirmed to start for the Edmonton Oilers. #startinggoalies" @DustinMRogers @Michael_Oram lololololol!
620727375_390189840295137280 x	"MSEFndn: #caps @ovi8 with Hook, a one-eyed pitbull mix from @HomewardTrails http://t.co/6HcKji7dMd" @Sakic10 @hockeypooljunky
620727375_389905532552617984 x	@TheHockeyNews veteran no, alzner yes
620727375_389859121240895489 x	@mc79hockey well he does have 99 problems...
620727375_389835016613920768 x	@LauranRocks #ballin
620727375_389834047272517632 x	@ngreenberg yakupov for erat and latta? That combo worked to get a top prospect before....
620727375_389776967639126016 x	"glennbeck: This is the recipe for hyperinflation according to David Buckner http://t.co/PDTUP0QWAz WG" @BenAtkinsonPhD GB is so smart!
620727375_389771988035592192 x	"@EdmontonOilers: LaBarbera between the pipes tonight vs. Washington" @Mr_Pinkster lololololololol
620727375_389577433189318657 x	@ToddCordell one is now in Washington. ..
620727375_389160046707228672 x	"@JeffDSachs: 60% of Americans want a third party. http://t.co/EvX8V8DMTb" @BenAtkinsonPhD cool read
620727375_389043679442116609 x	RT @thecanadacom: Rick Moranis of SCTV and Ghostbusters will make a super-rare public appearance at a Little Shop of Horrors sing-along htt?
620727375_388419566889472000 x	"Popularity of ?Kesler? as baby name directly correlates to Ryan Kesler?s on-ice performance http://t.co/wHfKaBb0d1" @Sakic10
620727375_388406220844826624 x	"@strombone1: I sure hope someone doesn't Hertl my feelings tomorrow.... #YES #NAILEDIT" @hockeypooljunky @Sakic10
620727375_388360328896974849 x	@TH2NSTATSGUY and his TOI has been roughly 20, 18 and 17
620727375_388352430695391232 x	"#Flames have recalled Blair Jones from Abbotsford, as per team release. David Jones to IR." LOL @Michael_Oram
620727375_388091392779493376 x	@madelynxmonroe work for the government
620727375_387690698398375936 x	@coreypronman any reports on why?
620727375_387658676913197056 x	@hockeycANNAda bernier is confirmed
620727375_387435346700410880 x	@TalkingRed nope. Better get older and reduce skill and mobility back there
620727375_387235220031684608 x	@LauranRocks picture or it didn't happen. Also Thursday at the cave?
620727375_386922794044231680 x	@LauranRocks she's the best
620727375_386929285610475520 x	@LauranRocks no it is the other way around. Great job!
620727375_386891040054980608 x	@LauranRocks good luck in your marathon today!!!
620727375_386560169078824960 x	@ShutdownLine I don't think modano on any stars jersey could be a foul
620727375_386557489765834752 x	@Salon go home salon you are drunk
620727375_386238499986210818 x	@DustinMRogers @HockeysFuture @Michael_Oram I have 1 player in the top 25! Lame!
620727375_386506339154796544 x	@DustinMRogers @Michael_Oram @HockeysFuture probably because there are 50 better prospects according to them hahaha
620727375_386338419132989441 x	@LauranRocks you miss me tho! ....right???
620727375_386357298819379200 x	@LauranRocks also how many modelling contracts have you been offered so far? #perfect10problems
620727375_386354199966932992 x	@LauranRocks I think I miss you much much more!
620727375_386235112787963904 x	@coreypronman or because your friends read your reviews of their teams
620727375_386338293605888000 x	@coreypronman I was joking at the replies you get towards team rankings!
620727375_386236520870342656 x	@ToddCordell biggest problem on that play was Harrold on the ice
620727375_385813486732705792 x	@coreypronman I'm guessing we owed them for Stevens back in the day
620727375_385629278810804224 x	@LauranRocks even on vacation!?
620727375_385762308556734465 x	@LauranRocks I meant your running! You're on vacation, relax out there. #perfect10problems
620727375_385555439233929216 x	@hockeypooljunky orr shouldn't try to slew foot a star player
620727375_385506930057158657 x	@THNRonnieShuker 5.31 in 48 games.
