170869967_336832676545843200 x	@sexyfe903 good morning!
170869967_368778220793245696 x	RT @VirgoRises: When #Virgo past calls, they don't answer. It has nothing new to say.
170869967_336817059151372288 x	@MikeFOX29 http://t.co/nkJBbK86GH
170869967_301809077095370753 x	@MikeFOX29 I Love you and Shienelle in the morning. And that was a very classy response!
170869967_301687002858917889 x	@MikeFOX29 Why did you call him "Mr. Obama"...he is "President Obama" he hasn't been a candidate for years.
170869967_288616711693946880 x	RT @VirgoRises: #Virgos often avoid asking favors.
170869967_203460026000617472 x	#Virgo your beauty comes from your reverence of perfection and of beauty itself, as well as your pure-minded yet realistic attitude.
170869967_200898935785656321 x	ZodiacFacts: As a #Virgo your idea of taking it easy would seem like hardwork to most people. You are not a daydreamer, you?re a day-doer.
170869967_199685805420195840 x	XSTROLOGY: Once a #Virgo doesn't like you, they probably won't ever like you again. This soooooo sounds like me...
170869967_198157313696219137 x	XSTROLOGY: #Virgo will give their all into something until theres nothing left and if defeated,will smile b/c they know they did their best.
170869967_198155940279754752 x	ZodiacFacts: #Virgo Motto: "I'll handle it."
170869967_197046953425633280 x	ZodiacFacts: In relationships, #Virgo has high standards. Your dating deal breaker: your mate must be reliable and responsible.
170869967_196781544705232897 x	@SweetAsPie_ Yes! So glad she did it!
170869967_196781420730007552 x	That moment you leave the oreo cookie in the milk too long...and it breaks off into the glass #whataletdown
170869967_196772550028697600 x	XSTROLOGY: #Virgo's are talented in whatever they do but if they don't love it, they wont do it.
170869967_196709083397627905 x	XSTROLOGY #Virgos are nice people but if u get on their shit list,u might as well be invisible b/c they can also be very cold & calculating.
170869967_196707277191913472 x	XSTROLOGY: #Virgo's are great at analyzing. They already figured you out in the first 10 minutes of meeting. Not much gets past a Virgo!
170869967_196637785111793667 x	XSTROLOGY: #Virgo's cannot tolerate liars, cheaters, fakeness or ignorance.
170869967_195705780056502272 x	@sexyfe903 Ughhh so true!
170869967_195703669029732353 x	@sexyfe903 that's the same thing I said when.I read that bullshit
170869967_193648869689659392 x	XSTROLOGY: #Virgo may appear shy but they are actually just watching and analyzing you.
170869967_192199776316563456 x	ZodiacFacts: Stupidity is something a #Virgo do not tolerate so brush up on the encyclopedia before you confront them with an argument.
170869967_191969834496565249 x	@sexyfe903 Fucking week just started and I'm already mentally drained...Ughhh! But you have a great week too!
170869967_191848163299172352 x	ZodiacFacts: A #Virgo always choose their words carefully, meaning exactly what they say.
170869967_191610862962876416 x	ImTracyMorgan: Sometimes, ?I?m single? means ?I?m drama free, less stressed, and I refuse to settle for less"
170869967_190231691846098945 x	ImTracyMorgan: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Only 5% of the population can find the mitsake, can you?
170869967_189791696219934720 x	XSTROLOGY: #Virgo women are extremely choosy. You will have to meet her particular high standards to get to first base.
170869967_189559721840218113 x	XSTROLOGY: If a #Virgo does not care about you, they will not spend a damn dime on you.
170869967_189528285485604865 x	XSTROLOGY: A #Virgo with a goal is unstoppable.
170869967_188660071314624512 x	XSTROLOGY: Do not withhold affection from a #Virgo even if you're fighting! That is a bad idea! Always hug.
170869967_188659821749354496 x	ImTracyMorgan: "I forgive you" does not mean I'll fuck with you again...
170869967_188473838013657089 x	ZodiacFacts: A #Virgo woman will be the greatest of lovers if you treat her with respect and honor her intelligence.
170869967_188462770797281280 x	IAmSteveHarvey: Just because You CAN- don't mean You SHOULD.
170869967_188462068180070400 x	RT @SweetAsPie_: if you dont understand my silence, how will you understand my words?
170869967_187862178769014785 x	XSTROLOGY: A #Virgo will open their doors to their closest, but one mistake, one lie or dishonesty will shut them down immediately forever.
170869967_187680973381582848 x	ImTracyMorgan:I ignored ur call 2-3 times in a row n all of a sudden, a BLOCKED call pops up,who the H E L L u tryna fool?I know its yo ass
170869967_187677285757882368 x	ImTracyMorgan: Oh, you like all of your own statuses? Do you give yourself high fives too?
170869967_187677177138003968 x	BestofVirgo: The detail-oriented #Virgo will comment on your big feet even if you are laying nude and beautiful and the bed.
170869967_187131174005645313 x	XSTROLOGY: #Virgo Kiss is quiet, clean and perfect...
170869967_187130123814846464 x	ImTracyMorgan: Yes, I'm tweeting and yes I saw your text. I didn't answer...your point?
170869967_187129913411780608 x	XSTROLOGY: A #Virgo female will follow your lead, but dont question her competence. She can handle any task. Even in bed.
170869967_186631123512729601 x	@sexyfe903 You too doll! Four day week for me...yay!
170869967_186611464239464450 x	XSTROLOGY: #Virgo's cant get behind emotions, they get behind facts.
170869967_186610642306867200 x	XSTROLOGY: #Virgo never depends on another.
170869967_186609918122541056 x	ZodiacFacts: As a #Virgo you're usually the last one to be convinced or swept away by some silly trend.
170869967_186608863565447168 x	XSTROLOGY: Don't forget a #Virgo's birthday, it will make them mad.
170869967_186607034286882818 x	ImTracyMorgan: Did you know that the word "suns" upside down is still "suns"? Mind = BLOWN
170869967_186606274551611392 x	XSTROLOGY: Tell a #Virgo bullshit? It will be a mistake you will regret for the rest of your life.
170869967_186605979062894592 x	ZodiacFacts: As a #Virgo you are precise in your use of language, and it bugs you whenever anyone starts to use words in an improper manner.
170869967_186604391443333121 x	ZodiacFacts: As a #Virgo you won't understand or tolerate a inconsistent, unreliable or flirtatious lover.
170869967_186603983467589632 x	ZodiacFacts: As a #Virgo you usually behave impeccably in public and you need a partner you can trust to do the same.
170869967_186418967835979776 x	ImTracyMorgan: Your ex asking to be friends after a break up is like... Kidnappers asking you to "keep in touch" after letting you go.
170869967_182997839171960832 x	RT@ZodiacFacts As a #Virgo u know,you can?t walk into a room without noticing that something is wrong no matter how hard you try 2 ignore it
170869967_179896685118504962 x	ZodiacFacts: A #Virgo is a diligent lover that will do whatever it takes to get it right for their one and only.
170869967_179896099090341890 x	ZodiacFacts: #Virgo your partner must be fun and easy to get along with, and you'd get bored if the person wasn't your intellectual equal.
170869967_178815590956404736 x	As a #Virgo people come to you for verification and confirmation, because they know they can trust your keen eye and your analytic mind.
170869967_178814674157043712 x	ZodiacFacts: As a #Virgo you find security in being self-contained. The one thing you do not tolerate easily is confusion.
170869967_178814150418505728 x	@sexyfe903 don't I know it...just can't help it!
170869967_178450802912923648 x	ZodiacFacts: #Virgos are very committed to excellence and do not tolerate second rate ? it preys on their minds until corrected.
170869967_177356171114586112 x	RT @XSTROLOGY: You know when a girl has lost interest in you when she stops caring about your needs, your life, who you're talking to, w ...
170869967_177346613520502785 x	I think me and the 2 year old are attached by the eyelids...everytime I wake up...he wakes up... #gotosleepboy
170869967_176690724169986048 x	@sexyfe903 Great Morning Girl!
170869967_176691765355626497 x	@sexyfe903 I'm free Friday! Let's do something
170869967_176738880047951872 x	@sexyfe903 I don't care...wherever uptown, downtown, in town, outta town
170869967_133191433384493056 x	he says I can do better...something to consider.
170869967_132072008518344704 x	Love finding money in my coat pockets!
170869967_129029910093246465 x	I'm so proud of my baby...he counts his toes!
170869967_129013611095015424 x	Not only do you sound awful, but you got colored tracks wrapped around you neck... Wth x-factor?
170869967_128812146212605952 x	@CandyAndToys Good Morning!
170869967_128795191703371776 x	@CandyAndToys Illlll!
170869967_127701048633724929 x	This is the best Saturday morning cup of coffee...bout to get my day started!
170869967_127311439970054144 x	RT @ZodiacFacts: #Virgo wants to love and be loved, but they have high requirements that you will need to meet in order to really win th ...
170869967_126648015262986241 x	Time to hit the Control, Alt, Delete buttons in my life
170869967_117614112455921664 x	@CandyAndToys I started using baby cups...the big cups are too much...random thought lol
170869967_117607466925162496 x	@sexyfe903 I think this weather is doing it...I woke up the same way...smh
170869967_117606798319550464 x	@CandyAndToys Me too! We are always in the same situation at the same time...dealing with kids...not referring to b & j either...ughhh
170869967_117579312307245056 x	"ZodiacFacts: If you find intelligence and a professional attitude to be sexy, then a #Virgo is the one for you." --http://bit.ly/o2LVXL
170869967_117568003910012928 x	@CandyAndToys good morning!
170869967_106888720086609920 x	Ever feel like you are going to SNAP at ANY given moment?...Yup that's me RIGHT now...who's taking me for a glass of...anything
170869967_106699911319388160 x	RT @ZodiacFacts #ZodiacFacts The #Virgo sign is associated with Purity and service.
170869967_106699593827360768 x	RT @ZodiacFacts #Virgos,appreciate subtlety and cultural credentials. Intelligence impresses the Virgo.Virgo doesnt like noise or vulgarity.
