52529345_389414808837447680 x	Lookie lookie!! Time to try this bad boy out, @DDPYoga http://t.co/jJk1yuIAH5
52529345_388701871101468672 x	Just heard from Marc Votto- "The Giants are the best 0-6 team ever."
52529345_327723466612670465 x	WAKE UP! Time to make the donuts....
52529345_395828608532750336 x	Wake up!!!
52529345_392449239282089984 x	Guess who is NOT the father. @ArtieQuitter http://t.co/8jwJzQ7TVB
52529345_388710187928133632 x	"I hate Roethlisberger. I've got that whole east coast, west coast Pennsylvania thing going on. He's the Tupac to my Biggie"-@GavinMacrine
52529345_388689488903680000 x	And it doesn't matter whose baby it is...any case like this is disgusting. Grown man. Tiny defenseless child. Ok. Angry Friday. Go crush
52529345_390278889467289602 x	How long into a new relationship until it's cool to share self tanner? #forafriend
52529345_394467448759787521 x	Christmas Vacation is the ONLY way I want any mention of the holiday in October. #uncleeddie
52529345_382255653898956800 x	I wish my stripper name to be Asparagus Pee.
52529345_336206742570532864 x	The "Spurs are boring" tweets are both innovative and original. #noreally #iveneverheardthat #GoSpursGo
52529345_399561494851239936 x	Can't tell whether my cab driver is talking to me or just mumbling the rants of a serial killer. Hope he doesn't kill me. #sundayfunday
52529345_394893191448920064 x	Heading to Nashville for a few hours.  My thoughts: http://t.co/F7ch6dptNQ
52529345_380364599750823937 x	I need a huge favor. Please follow @crossover. People's lives depend on it.
52529345_374585093714870272 x	People of the United States of America- I present to you Lord Leroy Jenkins. He's back, bitches! http://t.co/9y8DKHpjMb
52529345_367757138082672640 x	Ya know what's not awesome? Crossing 7th avenue, when a gust of wind blows up your dress. And you're wearing ugly undies. #omg
52529345_339407330007457792 x	12 years ago I did my very first interview with a skinny French kid. One of us became a badass. #ouioui #GoSpursGo http://t.co/3xGiwUQWvf
52529345_9715465274269696 x	Hey! What's your favorite flavor of ice cream? I like butter pecan @TigerWoods
52529345_400071106536947712 x	Thinking about joining Tinder.   I just feel I have a lot to offer.  #mrsdoubtfire http://t.co/enAsgaIzlx
52529345_349989287200169984 x	Wait! Are you telling me everything I read on the Internet is NOT true?!?! @Dustinpenner25 That just can't be.
52529345_349991561901256705 x	.@Dustinpenner25 I feel your pain...according the Internet I once acted like a "raging whore."  People must fill space
52529345_364581433580339205 x	The Shield was soaking wet an hour and a half ago. They're still dripping. WHAT IS WRONG WITH THEM?!? #raw
