399216451_167424448998285313 x	Beginning of fourth quarter, @Sixers need 8 to tie, 9 to win... c'mon guys.
399216451_308039615745515520 x	What a sweet, sweet, sweet team win. Finally...
399216451_296111087663849472 x	Ah the joys of being accessible and honest on Twitter RT @weispect @SixersCEOAdam you are the biggest idiot in Philly sports
399216451_289192652782579712 x	I am with 76ers in Toronto and just watched yet another awful second half performance. Simply stated, we need to be a lot better than this.
399216451_286657780562161664 x	LIVE FROM AZ IN OUR GOOD LUCK BLUE UNIFORMS I'm with your Philadelphia 76ers in Phoenix. What do you say Philly, do we get back-to-back W's?
399216451_206016985295884288 x	REAL FAN APPRECIATION - 4 FREE TICKETS TO @SIXERS BOSTON GAME 7: I will read all entry tweets personally (and will enjoy most!). Good luck!
399216451_281612651765825536 x	Moses Malone, my guest tonight, said "Philly fans are the best anywhere, because they know the game. They'll love you if you play hard"
399216451_184088028749381632 x	For those of you who doubt the contributions made by Andre Iguodala, tonight was his 1st missed game of the season. He was sorely missed.
399216451_176427034623479808 x	ANOTHER FAN PREDICTION This one is harder. Who will be @Sixers top scorer against Bulls? Lou? Thad? Jrue? Dre? EB? Evan? Jody? Lavoy? Nik?
399216451_307888821108883456 x	SIT COURTSIDE TONIGHT: 2 floor seats awarded at 2:30. To enter follow @SixersCEOAdam & tweet me #aBrightSixerFuture or #aBrightSixersFuture
399216451_307875401068326912 x	SIT COURTSIDE TONIGHT: To enter this random draw, all you have to do is follow @SixersCEOAdam and tweet exactly #aBrighterSixerFuture
399216451_312006309258084353 x	Just for 3 minutes and 37 seconds can we forget about ping pong balls. Sixers lead Heat 87-85 deep in Q4.
399216451_291006091444232192 x	Great! Please make a lot of noise. Fan energy pumps up our team RT @Jason_Fairchild yo Adam ill be there tomorrow! Go Sixers!!!!
399216451_299197062535327744 x	DRAMA AT HIGH NOON - To enter, follow @SixersCEOAdam, originate the first tweet on my feed at 12 noon (not before) saying exactly #GrabTheW
399216451_236605537058447361 x	It's not surgery, just injections. He'll be fine in mid-Sept, right afterwards RT @_BigSeann When will Bynum be recover from his surgery ?
399216451_236606371540369408 x	Mid-Sept. 10/20 game plans on sale now at http://t.co/cZeSrhc0 w/ best seats. RT @Mikeyicp69 Adam when do Individual Tickets go on sale?
399216451_148042174431363073 x	Believe it or not, it takes 2 YEARS for NBA to approve new uniforms. And new owners just got here. @BlissKris_When will we get new uniforms?
399216451_301376037865005057 x	FAN PREDICTION TIME Sixers 3 games behind Bucks, 4 1/2 behind Celtics. 32 games left. Will Sixers be EC 7th seed, 8th seed or miss playoffs?
399216451_301366135692095488 x	Clippers game was disappointing, but also yesterday Celtics lost to Bobcats and Bucks lost to Wizards. Don't write off Sixers, 32 games left
399216451_266385908985647104 x	FAN PREDICTION TIME Sixers now 2-2, after win in Big Easy. Off to Celtics and Raptors Fri and Sat. Sixers win 1, 2 or 3 on this road trip?
399216451_225523222131642369 x	Andre could leave Philly some day. If we lose him though, Sixers lose single best player of '11-'12 team. RT @Englishnn iggy got to go.
399216451_225518736952655872 x	You've sent100+ enraged tweets this season about Andre. Must really drive you nuts he is on USA Olympic Team. RT @Englishnn Iggy has to go.
399216451_223427717104795650 x	I am 57, born/raised Philadelphian. I go way back with @Sixers. So... Wilt Chamberlain. @sc30fan who was your favorite sixer growing
399216451_221239153373884417 x	Correct, Dan. Can't comment until July 11 RT @danheisman I assume this means you are not commenting about anything til then
399216451_218508763571826688 x	Your Philadelphia 76ers have drafted Maurice Harkless of St. Johns University with the 15th pick in the first round of the NBA draft.
399216451_208232755706871809 x	Far from easy in NBA to land right free agent or consummate great trade. It will be interesting to see how much progress is made off-season.
399216451_307906676030308353 x	SIT COURTSIDE To enter, follow me & tweet any of: #aBrighterSixersFuture #aBrighterSixerFuture  #aBrightSixersFuture  #aBrightSixerFuture
399216451_296081362237136897 x	Tough loss. Shots in last minute didn't fall. If we play that hard every night, you'll be a much happier fanbase very soon. Mark my words.
399216451_157821463024517120 x	Thinking seriously about it... RT @wemccool: @SixersCEOAdam You doin any tribute to Iverson?
399216451_156251044802867200 x	PREDICTION TIME: @Sixers are 5-2, 1st place Atl Div. Play Pacers, Kings, Knicks and Wizards twice this week. Of 5 games, how many do we win?
399216451_155747106626338816 x	Traffic was brutal last night because of Phantoms game at baseball stadium same time. Won't be a problem going forward.
399216451_155711984908771328 x	Hi. First second I've had to breathe since yesterday 4pm and that treat of a home opener. Meeks, Hawes, Williams and Young spectacular.
399216451_155309937319346176 x	I am now watching your @Sixers at "shoot around" at the Wells Fargo Center, preparing for tonight's hope opener.  Your Sixers looking sharp.
399216451_152818819977592832 x	ANYBODY FEELING  2 AND 1?  @Sixers tip off against Utah Jazz in 8 1/2hours. Tied for 1st in Atlantic Division. Would be nice to stay there.
399216451_312241931193307136 x	"MEET AND GREET" JULIUS ERVING So to enter this random draw, follow @SixersCEOAdam  and tweet me exactly #SixersThroughThickAndThin
399216451_331465769856688128 x	3 of 3: Or do you prefer darker more dramatic arena lighting as now offered by Lakers, Knicks, Nets? And why?
399216451_306238810826608640 x	MAKE SOMEBODY HAPPY: A random draw at midnight tonight. To enter, follow @SixersCEOAdam and tweet me exactly #ImRootingForSixers
399216451_302969951499743232 x	"ROOT FOR JRUE" SEE SIXERS PLAY MIAMI HEAT:  Only 1 entry per account. To enter, follow @SixersCEOAdam (newbies OK) & tweet me #RootforJrue
399216451_297750724601847808 x	REPEAT To enter "I'm Sitting 76ers Courtside" you must tweet me saying exactly #ImSitting76ersCourtside and follow @SixersCEOAdam
