510292896_394564423186382848 x	RT @KacieFOX29: WHOA, LIONS
510292896_396430423850745856 x	RT @fakecoatesy: Boooooooooooooooooooooo!!!!!!!!
510292896_396400992901922816 x	@RapSheet only bc he got caught. Waste of talent. #angryfantasyowner
510292896_396368304975384576 x	RT @ESPNNFL: BREAKING: Jaguars WR Justin Blackmon has been suspended INDEFINITELY without pay for violating the NFL substance abuse policy.
510292896_396368287925555200 x	Are you freaking kidding me Blackmon?!
510292896_395847332497203200 x	Up early. Tampa bound
510292896_395725030740721664 x	RT @Aphillyated: Michael. Carter. Williams.
510292896_395723964670287872 x	@MCW1 is the man. What a game
510292896_395723871380586496 x	RT @KacieFOX29: Rookie Buckets
510292896_395723817966137344 x	RT @Aphillyated: Sixers Win! #Sixers
510292896_395723782574575616 x	SIXERS!!!!!!!
510292896_395693989430833152 x	@Frankie_Junior wouldn't bet against that
510292896_395689074969042944 x	RT @PHISportsPhans: I wonder if we will hear any Wiggins chants this season at #Sixers games and people cheering when they lose games.
510292896_395635033270390786 x	RT @donovanjmcnabb: It will not be forgotten of all the excitement you've brought to the city Philadelphia. It was a true honor to share th?
510292896_395634954778185729 x	RT @espn: Allen Iverson entered the NBA as an undersized shooting guard.  He?s retiring with a giant legacy.
510292896_395619036501139457 x	#wetalkinboutpractice http://t.co/rQbmcfAs0q
510292896_395169469074792448 x	RT @PHISportsPhans: "Swing and a miss struck him out the Philadelphia Phillies are 2008 World Champions of baseball!" - Harry Kalas 5 yrs a?
510292896_395010671425110016 x	Drinking shots of fireball with my parents
510292896_394889494018949120 x	@MikeMiss975 " ...because he's green? Your sister is green!"
510292896_394890405621555200 x	@BPthagreat haha same dude. He's ripping everyone today its fantastic
510292896_394589931559206912 x	Wtf is happening in Denver right now?
510292896_394650731267239936 x	@cgiam28 bad call on colston
510292896_394565140332695553 x	RT @BMS_Derek: Cowboys are the biggest fucking joke of all time. Fuck you. Seriously. How does that happen? Fucking terrible
510292896_394564790518947840 x	RT @BetNoEvil: Dez Bryant, what a loser.
510292896_394564611963252736 x	RT @RealSkipBayless: Unbelievable. Same old Cowboys.
510292896_394564518254497792 x	RT @BMS_Derek: Cowboys fucking suck
510292896_394558983161524224 x	....and Andy freaking Reid is still undefeated
510292896_394558877666381824 x	Can't blame the defense on that one
510292896_394558827007578112 x	Didn't think I'd see a game where we lose without letting up a touchdown.
510292896_393753598523613184 x	Just asked someone how they were doing today and they responded with "I'm on this side of the dirt". Not a normal thing to say to someone
510292896_393716235600678912 x	About time to invest in a winter jacket made of every wool fur feather and leather imaginable. It's freaking freezing outside
510292896_393752470125826048 x	@cgiam28 yea punk bitch, I do
510292896_393695244539396097 x	RT @Espngreeny: In sports, perception trumps reality. In Tampa, the reality is irrelevant. The #Bucs are a disaster, the coach is going to ?
510292896_393571280978706432 x	Almost feel bad for Tampa. Glennon is dogshit
510292896_393570683428823040 x	Anyone hearing the "fire Schiano" chant?
