370658898_375383402624851968 x	@AliNotAlli that's a good one! His nick name was Tiny in school for some reason???
370658898_395910461717483520 x	@MBarkannCSN nice abs Michael!! Lol.
370658898_384663208445095936 x	@GeoffMosherCSN the sky is falling!! Even though we all knew we were lucky for an 8-8 season.
370658898_384663042468093952 x	RT @GeoffMosherCSN: Just got back to Philly. Turned on sports radio for a few minutes. It's gonna be a long week for Eagles coaches and fro?
370658898_379936150284406784 x	@ChickiesnPetes can you guys please come up here in the Massachusetts area!! We have nothing like it and I miss me some crab fries!!
370658898_379578583251189761 x	@WIPMorningShow unreal how honest he is! What a welcome change! Bring on round 3 Reidfest 2013!
370658898_377765491047407616 x	RT @CaliBlonde8: Also take a moment to remember Boston College's hero Welles Crowther who saved so many from the WTC on 9/11 & gave his own?
370658898_325593154281693184 x	@RoobCSN me, Lou and Kevin will be right there!! (I wish!!)
370658898_377560909126074369 x	@ConnorBarwin98 great gm buddy! You were born to be an Eagle! Fly high bro!!
370658898_377543327266406400 x	@MikeVick enjoy it man you deserve it! Great gm!!
370658898_377201486364942336 x	@CaliBlonde8 freedom of speech!! People agree with others because of wealth, fame and money which is crap! Speak your mind!
370658898_374232064281034752 x	@Zach__Thomas moving out?? Look at you bro! Go get it!! Your mom ok??
370658898_374249000951881728 x	@Zach__Thomas things are good buddy, miss you buddy. You should come up and visit this is a great area.
370658898_374247957975273472 x	@Ron_White where you at this weekend???
370658898_372126436796407808 x	@MargoRey @Ron_White @BuckheadTheatre @CovenantHouse @BABCTour great show!! Saw him on cape cod! Fantastic!!
370658898_372120353075904512 x	@Mariobatali nooooo!!! You know what bring it to Cape cod instead!!! Stay strong buddy!! ;)
370658898_370152844290453504 x	@WIPMorningShow what cracks me up is that everyone was calling for Charlie's head... Now he was done wrong??? He's a coach, he good guy but.
370658898_369514394545164289 x	@AliNotAlli you have such a cool job! Great Norton interview as well.
370658898_368360584804581376 x	@Ron_White great show last night! Sorry for those assholes that kept yelling!! We call them Massholes!
370658898_368088578867609600 x	RT @AliNotAlli: Stalk me so I know it?s real.
370658898_367738591969292288 x	@SportsRadioWIP Tom Brady down with leg injury!!
370658898_366256864205357056 x	@ochocinco free willy!!
370658898_366256811931746304 x	RT @ochocinco: Sucks there no Killer Whales in the Florida waters... did y'all see the video with the pod of Orcas riding the bow of a spee?
370658898_364791723689381888 x	@SportsRadioWIP love the fact that Ant, Big Daddy and Ang were all just mentioned by name from WEEI in Boston about Riley Cooper
370658898_363426179807985664 x	RT @Drunk_Hitler: Maybe Riley Cooper should've raped or beaten a woman because he probably would've gotten less scrutiny in today's PC NFL.
370658898_361574031813656576 x	@jmac_18 my fav Eagle! You'll be fine! Keep your head up!!
370658898_359448192271659008 x	@RossTuckerNFL lol YA!! I would take them if it meant I could play 1 inning in the MLB or 1 snap in the NFL!!
370658898_359303607901888513 x	@WIPMorningShow how do I get a visor? I live in Ma but am from NJ and I listen every day!! Can't but any Eagles things up here!! Pats suck!
370658898_359311431553912832 x	@WIPMorningShow I tried couldn't get thru!! I had the m and m guys!! I need a visor!! :(
370658898_349568238113390593 x	@capecodtimes what's going on In Bourne their is a million sirens and helicopters??
370658898_342806597510262784 x	@Zach__Thomas congrats on school buddy! Sorry we couldn't be there.
370658898_348235180953174017 x	@Zach__Thomas yo buddy heard the news!!! Congrats buddy!! That's fantastic!! Miss ya man.
370658898_348236136524693504 x	@Zach__Thomas we should meet up buddy, ill pick you up or we can meet for beers or something. I'm not that far about 50 min.
370658898_348237116532195328 x	@Zach__Thomas of course I will.  Let me know your schedule and ill hook you up.
370658898_320278681304059906 x	?@ViolationsGreg: Blasphemy to Whitey! http://t.co/LmSu8wveYb? that is the biggest violation I have ever seen!
370658898_314840418086969344 x	@robgronkowski u took a picture with my assistants baby on a flight back to Bos yesterday, looked really comfortable holding a baby?? Ha ha
370658898_312331718382194688 x	?@Zach__Thomas: Loving this Connor Barwin pickup..great day for the birds? Birds to the bowl!!!!
370658898_312333763331895296 x	@Zach__Thomas they taking the CB from Bama now or they gonna take Geno?
370658898_312339153431961601 x	@Zach__Thomas is like Milner! If not trade back and get Geno plus some more picks.
370658898_311799952487620609 x	@Freakyjean95 go get that money! Hopefully with my Birds!!
370658898_311656302633963520 x	@Huffy247 would love to have you on the Eagles man!
370658898_311571181566296064 x	RT @AdamSchefter: Titans trying to reach agreements in principle with two FA priorities: Bills guard Andy Levitre and 49ers free-agent T ...
370658898_311567727498260481 x	RT @LesBowen: I am told Eagles won't be signing Sean Smith or Dashon Goldson. Focus really will be what they said -- youngish, midlevel. ...
370658898_309802672574328832 x	RT @Ants_SNEweather: @Iggles2978 3-6 maybe a bit more in the end
370658898_309801127216574464 x	@Ants_SNEweather ant what are you thinking for Bourne, I live this side of the canal in between both bridges
370658898_302572115868135425 x	@Ants_SNEweather Ant what are you thinking for tomorrow's storm in Bourne? Too early?
370658898_302572402016141312 x	@Ants_SNEweather thanks buddy.
370658898_300795799774842881 x	@RoobCSN and great player at Burlington City ! I'm a proud grandson!!
370658898_300795600025288706 x	@RoobCSN roob!! Wanted to tell u my Grandfather was inducted into the SJ sports hall of fame tonight! Glen Sandusky! He was #1 rated ref!
370658898_300211600294563840 x	@Ants_SNEweather no power still Anthony, how much snow did I get in Bourne right now?? Any idea??  Hope your safe.
370658898_300212295651438592 x	@Ants_SNEweather from what I can see, looks like about a foot with drifts of about 14-16 inches but that's from the windows!! Lol.
370658898_300215431581544448 x	@Ants_SNEweather thank you. Do you think we are going to get anymore that accumulates?
370658898_300214594591395840 x	@capecodtimes yes no power in Bourne before going over the bridge
370658898_300042233208512513 x	@Ants_SNEweather power just went out in Bourne Ant!!! About 5 inches on the ground and winds are howling!!
370658898_299950598676152322 x	@Ants_SNEweather what's this dry air pocket they are saying now in the back of the storm? Will it lower amounts? TV guys making me nuts!!
370658898_299951293441662976 x	@Ants_SNEweather u see any change for the better or worse???
370658898_299952061557112832 x	@Ants_SNEweather ya that would help sorry! Bourne on this side right in between both bridges.
370658898_299952590278492160 x	@Ants_SNEweather thanks buddy!
370658898_299954538956333056 x	@Ants_SNEweather Ty.
370658898_299952614903259136 x	RT @Ants_SNEweather: @Iggles2978 I got you around 12" when all said an done http://t.co/WpYle7KL
370658898_299941645653250048 x	Buzzards Bay, MA is Rain and Snow......  I don't see the rain??? http://t.co/5S275yOd
370658898_299936520549302273 x	@Ants_SNEweather they are saying we are mixing here in Bourne but I don't see it.
370658898_299895649711828992 x	@JimCantore snowing and wind picking up in Bourne,Mass.
370658898_299891444108369920 x	@ToddWBZ snowing in Bourne and the wind has picked up a bit.
