333751733_374325574459981825 x	@jess__merrill ughhh FML!
333751733_374325199669583872 x	@jess__merrill ooooh boy lol
333751733_374137334163582977 x	@jess__merrill ugh I hear ya
333751733_373395654200287232 x	4 days and counting... #AtlanticCity #Borgata #BPO #WPT #onetime
333751733_373264990301876224 x	RT @SportsCenter: ONE WEEK LEFT. http://t.co/cWcMVslzAD
333751733_376465941439463424 x	@s1nnr yeaaahhhh
333751733_305745445609697280 x	RT @realAriEngel: A nice view of poker: http://t.co/f0XhWmsNRO
333751733_391894324390395904 x	HUGE game today! Hopefully off the golf course by 12:30...then its time to smash those cockroaches. #FlyEaglesFly
333751733_391771578750742528 x	Nope, never saw Victorino do something like that before...said no one ever! #boss #baseball #postseason
333751733_390155079103565824 x	RT @ESPNNFL: . @Eagles RB LeSean McCoy leads the NFL with 630 Rush yards, MOST through 6 games in team history.
333751733_386603515961180160 x	So long #MarthasVineyard http://t.co/bSjTEeJtP3
333751733_386546175161401344 x	RT @Eagles: 24 Hours. #FlyEaglesFly
333751733_385793662560796672 x	RT @Kevmath: From last night, PokerStars plans to build a $10m poker room for Resorts AC - http://t.co/UsXzLakdWQ
333751733_385591401930817536 x	RT @GlobalPokerIndx: BREAKING: @SHRHollywood sets 10M guaranteed prize pool for @WPT Seminole Hard Rock Open coming in April 2014 ?? http:/?
333751733_385140259321040896 x	Kayak fishin' #Striper #MarthasVineyard #KatamaBay http://t.co/mZjJe1BY0S
333751733_382318218360406016 x	Once again folks...Denver just on another level. Wake me up in February please. #MNF #SuperBowl #lockitup
333751733_382014015113027584 x	RT @rchrstphr: That was one of the worst episodes ever. We're leaving, we're not, we're leaving, we're not, I died, I didn't, I'm a lumberj?
333751733_381865078179790848 x	RT @espn: Permission for Giants fans to freak out: Granted.
333751733_381815860505346048 x	@MatthewBerryTMR So with Pead as handcuff do you make the switch or wait & see?
333751733_381795144720461824 x	RT @howardeskin: #phillies scheduled a news conf today at 11:30a. Sounds like Ryne Sandberg will be named manager officially. And he should?
333751733_381766062574153728 x	RT @GolfDigestMag: "I gained 50 pounds. I tried to drink all the beer in Columbus."--Jack Nicklaus on his freshman year at Ohio State.
