1671513727_396860993889767424 x	Eminem and Kerry Washington on SNL
1671513727_400424448383135744 x	I'm used to the weather being this cold anyways
1671513727_400424292946432000 x	Running in this cold El Paso weather makes me seriously want to do this http://t.co/9FRXRt0dWU
1671513727_400423596343848961 x	To the Best Team of the NFL as well!! RT @Eagles @RealBradSmith Welcome to the City of Brotherly Love!
1671513727_400316581537775616 x	@lollapalooza Pearl Jam, Cut Copy, David Guetta, Armin Van Buuren, Daft Punk, ASAP Rocky, Foo Fighters, Brand New #lolla #my2014lineup
1671513727_400315850915196928 x	I need to see some more killer ass shows you know what i'm saying, son, lol
1671513727_400106039548198912 x	Okay i admit Explosions in the Sky are a pretty talented instrumental band i actually enjoyed their set but now its time for Nine Inch Nails
1671513727_400087654869389313 x	Keys.....Check Wallet.....Check Cell Phone.....Check Nine Inch Nails Ticket.....Check Ready to Rock.....Check The Night is Young!!
1671513727_399982029707964416 x	RT @Eagles: Today, and every day, we thank you for your service and sacrifice. #Heroes #EaglesSalute http://t.co/y0N1Usb6ah
1671513727_399973277507928064 x	I know they ain't playing this tonight but for now to get me into the spirit for tonight http://t.co/3k1XlkgnNc
1671513727_399932905108955137 x	Nine Inch Nails Tonight, its going down in a couple of hours.
1671513727_399932618516357122 x	Meet at the Haskins Center its going down, lol
1671513727_399775583229321216 x	Nine Inch Nails Tomorrow Heck Yeah but i'm not that excited about Explosions in the Sky being the opener but i know it will be a great show
1671513727_399762103445094400 x	RT @Eagles: Tonight's lullaby: #FlyEaglesFly
1671513727_399681866778697729 x	You know the sex is good when your girl hooks you up with free stuff
1671513727_399674781391261696 x	Diggin' this Shit TRV$ DJ-AM Fix Your Face [Full Album]: http://t.co/hWsirqaXXO
1671513727_399673735965200384 x	RT @RLiuNFL: .@Eagles Nick Foles joins Tom Brady (2007) as only QBs in @nfl history w/ 10+ TDs & 0 INTs in 2-game span in single season
1671513727_399673547485745152 x	RT @CutonDime25: Philly we doing it .... Back on the way
1671513727_399647787182080002 x	Philadelphia #Eagles Victory Son, Yess!!!!
1671513727_399619688855916544 x	RT @lawlornfl: Huge mistake by Chip Kelly not to challenge that catch. Would have been overturned.
1671513727_399619279332458496 x	Forget Chip Kelly's miscall what about that hold on Jason Avant and Facemask on LeSean McCoy #PHIvsGB
1671513727_399441058775326720 x	RT @Audien: holy shit I love El Paso it's insane ??
1671513727_399043264600236032 x	DJ AM-Wonderwall (remix): http://t.co/p1F33biz3H pretty sick
1671513727_399040453271502848 x	RT @trentdabbs: Chicago never fails. I love this city.
1671513727_398927657489793024 x	Remembering my time in the 215 and seemingly enjoying my time here in the 915.
1671513727_398926895569317889 x	The Philadelphia @NHLFlyers @Eagles @Sixers @Phillies all deserve championships.
1671513727_398926285482635264 x	RT @UberFacts: Psychologists have found the more friends a user has on Facebook, the more likely they are to suffer from stress and anxiety.
1671513727_398869566102573056 x	My Facebook profile officially got deleted!!!
1671513727_398868890068856833 x	RT @Aquarius_ht: Finally #Aquarius Theme song : Jingle bells, Facebook smells, Tumblr go away. Myspace yuck, Foursquare sucks, Twitter all ?
1671513727_398850853668286464 x	RT @tory_wood: If I had a dollar for every time I heard someone was talking about me and didn't say shit to my face http://t.co/ITd4Dbbusp
1671513727_398615814808403968 x	Jogging it up son
1671513727_398553262913097728 x	RT @TricksAndHacks: Daily happiness schedule: http://t.co/9KWtmyMTtc
1671513727_398546560876691456 x	RT @RileyatRiley: People only give a fuck while you're telling them shit they wanna hear
1671513727_398545809978830848 x	RT @Butt6oblin: I'll never get over how flawless lamb of god was the other day
1671513727_398206276808605696 x	If you want change you have to make the change because as far as life goes nothing ever happens by chance
1671513727_398152745825230848 x	RT @BossFight: Just went to the gym (for weights)...and this is so me. http://t.co/JbLOkGc9iE
1671513727_398142682825904128 x	I dreamt the @Eagles won the Super Bowl and that Nick Foles was the MVP. Please make it happen cause we want it.
1671513727_397857790791663616 x	2014 will be a great year adding those places to my travel itinerary along with Austin, TX and Chicago, IL
1671513727_397857358358917120 x	Sydney, Australia,  East Rutherford, NJ,  Santiago, Chile S?o Paulo, Brazil Buenos Aires, Argentina  Be prepared to be graced by my presence
1671513727_397854041444605952 x	RT @Sixers: It is with great sadness that the #Sixers family mourns the passing of former equipment manager Jeff Millman ? http://t.co/r6XJ?
1671513727_397810132718845952 x	RT @R3alCompleX: Make music from the heart and soul, fuck everything else. #RCMG
1671513727_397807204650086400 x	Ooohh Yeah!!! Free KFC Chicken and Nine Inch Nails Ticket, Life is Good! =)
1671513727_397415612957208576 x	RT @TricksAndHacks: Use these words in your resume to make it stick out: http://t.co/GWSpu3Hos0
1671513727_397410911784165376 x	RT @Leon_Blaq: Ever meet someone in person male or female and say to yourself wow facebook photos does wonders lol....
1671513727_397240960024715264 x	Good day today went for a jog, saw my Eagles beat the Raiders, and was able to see Killswitch Engage heck yeah.
1671513727_397240181633204225 x	@Lambofgodband @HuntressKills @testament @kseofficial great concert.
1671513727_397238744731750400 x	RT @kseofficial: Thank you El Paso and the Tigua Pueblo Tribe! We had a blast and felt very welcome!!! Cheers everyone!!! Great crowd and g?
1671513727_397146480252686337 x	RT @Eagles: END OF THIRD QTR: @NFoles8 ties an @nfl record with his 7th TD pass of #PHIvsOAK. #Eagles lead 49-13.
1671513727_397145329880932354 x	Way to go @NFoles8 7 TD passes and showing these Foles haters whats up. I never doubted you brother i never did.
1671513727_397119767191900160 x	RT @Eagles: W/ the 32-yard punt return, @DeseanJackson10 passed Wally Henry to rank 2nd on #Eagles all-time list w/ 1,255 career PR yards. ?
1671513727_397028523199582208 x	Morning Jog got me feeling like Rocky Balboa right now
