2157641771_395576390579675136 x	@thethrowingman #preach
2157641771_395742489480802304 x	@lonis119 @EvilEdSnider @MarcusBarkleyQB smh #Rookies
2157641771_395692839109419008 x	@TheMiamiQueet I'm down with the thickness.
2157641771_395692244201918464 x	@TheMiamiQueet #blessed
2157641771_395687104417898496 x	@realDonaldTrump Thanks Donnie, my Bro appreciates your support.
2157641771_395686821637922816 x	RT @PeterStammers: If Tim Tebow has a thought is it considered a "Christian Ponder"?  #MindBlown
2157641771_395686722056749056 x	Get ready, Philly! Bro is coming!  #eagles RT "@PastorJoseph77 @Tebow_Defender @a_williamstein @ThisIsZeri @EvanGraci1 @AdamSchefter
2157641771_395662325044494336 x	RT @nas_philly: @MarcusTebow hope not !!! tebow tebow tebow !!!
2157641771_395643953057656832 x	@JamieCrum #nodoubt
2157641771_395643901845196801 x	@FrutosSebastian @javii_l15 #yupyupyup
2157641771_395643813689323521 x	@MayorBNB right next to me, bruh
2157641771_395643675155640320 x	@vrcsports @Deadspin gotta get through me to get to my bro.
2157641771_395643142869098497 x	Real original guys. smh
2157641771_395643059230474241 x	RT @Danchrism: RT @Catf1sh: "What do you call it when Tim Tebow is thinking? Christian Ponder"
2157641771_395642980478222336 x	RT @SportsComedy_: Every time Tim Tebow thinks, does he have a Christian Ponder?
2157641771_395642949100638208 x	RT @DylanMinarik: #RapLikeLilWayne Tim Tebow start thinkin call it Christian Ponder
2157641771_395642915252633601 x	RT @CDonFootball: So when Tim Tebow is deep in thought, do you call him Christian Ponder?
2157641771_395642894004281344 x	RT @JoKeR7189: If the Vikings are thinking of signing Tebow, I'd call that a...Christian Ponder
2157641771_395642844368871425 x	RT @TargetShoeGal: If Tim Tebow has a religious thought, is it a Christian Ponder? #vikings
2157641771_395642821195358208 x	RT @deep_BLUsea: If Tim Tebow thinks, is that a Christian Ponder?
2157641771_395642792615350272 x	RT @TheIdDM: Doctor at work asked me, "What do you get when Tim Tebow thinks?"  "A Christian Ponder."  He really enjoyed telling it too. #V?
2157641771_395642739989442560 x	RT @GRomo92: ?@LiIWayneRapLike: Tim Tebow thinking, call that Christian Ponder.? @TaylorMatsu ??
