202625777_397904333310005249 x	RT @EbenezerSpooge8: @B_2_da_E CWebb is is tool
202625777_380487468929519616 x	@stevemummo It is a classic, no doubt!
202625777_380486440616198144 x	@stevemummo Classic!
202625777_398647983623110656 x	@EbenezerSpooge8 Greg Anthony repping NBA Network in early game but no C-Webb or D3 repping the late one? 2 much 2 fly those bozos? #FAB5
202625777_398646183247486976 x	Good to finally see Dwight Howard, aka Clark Kent NOT Superman, finally happy...#Who cares! Hope #SwaggyP lights them up! #NBA
202625777_398643150992199680 x	Ray Allen...No doubt a future Hall of Famer. #JesusShuttlesworth #HeGotGame #TBT #NBAonTNT #NBA
202625777_398642745495265280 x	@EbenezerSpooge8 "TWO minutes...DOS!" #Heat #WhiteHot
202625777_398641691802230785 x	"@EbenezerSpooge8: Lol Reggie Miller rippin on Duke" #UCLA #Bruins #CoachK
202625777_398636976536293377 x	@EbenezerSpooge8 #Flash #TBT
202625777_398636912673837056 x	RT @EbenezerSpooge8: Wade is goin off tonite. #3Heat
202625777_398096487168872448 x	#PoundTheAlarm
202625777_397895867371634688 x	@EbenezerSpooge8 Ur boy C-Webb on #NBA network asking some tough ?'s of Mark Cuban...Shocked he didn't call time out with none left. #Fab5
202625777_397895450151620608 x	The Flyers & 'Canes are locked in a defensive struggle. No score through the 1st. It's really exciting (or so I was told) #FlyeredUp #NHL
202625777_397530085278117888 x	@EbenezerSpooge8 Must not be an important game / moment in the game...#LockdownDefender #ChokeArtist
202625777_397532666775748608 x	@EbenezerSpooge8 Even a broken clock is right twice a day dude...#Please #Weak
202625777_396779681045037056 x	RT @EbenezerSpooge8: Biggest surprise of the Red Sox parade is they didn't do it on a weekday and close every employer for 1 of their paten?
202625777_395723290884706304 x	Anyone else find it odd seeing Greg Oden on the sidelines in street clothes?
202625777_395720770573582336 x	RT @EbenezerSpooge8: ?@DeseanJackson10: 2 of the Smallest & best 2 do it On the field / court .. ? http://t.co/AI45YYX7px? Jesus dude.
202625777_395715772670312448 x	RT @EbenezerSpooge8: Kyrie is sick. Also F Bynum.
202625777_395704164392894464 x	RT @EbenezerSpooge8: Bynum is playing? You gotta be effin kidding me.
202625777_395340691788034048 x	@EbenezerSpooge8 No C. Webb on the #TNT opening night pre-game show? What a let down...Said no one ever! #Fab5 #NBA #SorryNotSorry
202625777_391993740338163712 x	The Eagles need to be patient with Kevin Kolb, he's not always going to have great games. Wait, that's Nick Foles??? #SameThing #NFL #Eagles
202625777_391993256470675456 x	Chip really has Monte Kiffin really confused...Kiffin's wondering what screen or weak/negative yardage pass he'll see next. #NFL #EAGLES
202625777_391711086556114945 x	#StayClassy http://t.co/MpsA6Dx0LD
202625777_386945552682086400 x	How come I don't hear any of these fraudulent analysts for the #NFL telling us how they'd take Eli over Peyton because of rings? #Clueless
202625777_385567446729785344 x	RT @EbenezerSpooge8: Hockey is back for some reason.
202625777_384844000165134336 x	RT @EbenezerSpooge8: Oh btw, #Eastbound was frigging awesome this wk.  #KP55
202625777_381782960082804736 x	RT @EbenezerSpooge8: !!! ?@howardeskin: #phillies scheduled a news conf today at 11:30a. Sounds like Ryne Sandberg will be named manager of?
202625777_381754511112802304 x	@MatthewBerryTMR In a flex league...With two open spots, Jason Witten, Tavon Austin or Eddie Royal? Who you got?
202625777_381401168712577024 x	RT @EbenezerSpooge8: @B_2_da_E dude, Holmsey is doin work this offseason. I'm already #CupCrazy
202625777_381395938402918400 x	@EbenezerSpooge8 Did you see the Flyers inked Matt Read to a new contract? And we got Ray Emery back in the pipes... #FlyeredUp #NHL
202625777_381393592834871296 x	Now Screamin A. Smith is a MLB analyst??? It was bad enough hearing him talk NFL last week...What's next? NHL too? #ESPN #StickToNBA #Weak
202625777_380838287868694528 x	RT @EbenezerSpooge8: It's getting old, these Philly sports ppl complaining abt the National media bringing up Santa Clause. Deal w it.
202625777_380485210137432064 x	@stevemummo "Option A, you give me the ring. Option B, I make you give me the ring."
202625777_380479087107903488 x	RT @FrankCaliendo: BREAKING: Trent Richardson traded to the colts for an iPhone with iOS 7 fully downloaded.
202625777_379782970225491968 x	I forgot how insightful John Gruden was..& I guess Tirico pushed calling the Westminster Dog Show to next week. #MNF #Chuckie #Gibberish
202625777_376078813983408129 x	RT @EbenezerSpooge8: @KirkHerbstreit you should go by 'Twerk' Herbstreit.
202625777_373488025596350464 x	RT @EbenezerSpooge8: R u Syrias bro?
202625777_369082233358782464 x	"@EbenezerSpooge8: 0 runs in 2 games under Ryan Sandberg? Lol that so phillies." #HOF #CharlieWasTheProblem #RAJ
202625777_367112490267971584 x	@EbenezerSpooge8 #Showyaluv
202625777_366612326046113792 x	RT @EbenezerSpooge8: Clear History on HBO is Curb in movie form. It's awesome. #LarryDavid
202625777_365990747926827009 x	@EbenezerSpooge8 In a word...No.
202625777_365303079144407040 x	@EbenezerSpooge8 I was just watching that too...He & Geno are monsters! They should be fun to watch. Oh wait, they still have Marvin Lewis.
202625777_365304456558030848 x	@EbenezerSpooge8 LOL...
202625777_365162785262825472 x	RT @EbenezerSpooge8: ?@WojYahooNBA: The Knicks and 76ers are showing interest in free agent guard Chris Duhon.? Sixers in full tank mode no?
202625777_365161449934815232 x	RT @destefano638: @JonandSeanShow y r u not talking about hugh douglas and his use of the n word.
202625777_364552652321218560 x	@stevemummo #NeverGiveUp
202625777_364551873862565888 x	@EbenezerSpooge8 @stevemummo  Cena in 'da house! #YouCan'tSeeMe!
202625777_364140321959329792 x	@EbenezerSpooge8 Hopefully ESPN dumps that clown...He's not even a has been, he's a never was! #LifetimeLoser #Fraud
202625777_363084066985230336 x	Are the Phillies serious honoring Brad Lidge? Doesn't anyone remember the comments he made when he signed with the Nationals? #Unreal
202625777_361604452630790146 x	RT @EbenezerSpooge8: That's how I hope to remember Utley. Hustling down to 1st to make it a close play, down by 9 runs. #TradeChaseToday
202625777_361289939767398400 x	@EbenezerSpooge8 Spooge Nation in mourning with the news of Maclin's torn ACL/being out for the season? Guess Chip's dietary changes worked?
202625777_361310786116780034 x	@EbenezerSpooge8 Guess we'll just have to rely on jaccpot...LOL!
202625777_360114476239949824 x	RT @EbenezerSpooge8: I dont drink any more.  I dont drink any less, either.
202625777_359819228972453888 x	Who are these two lunch boxes hosting this fraudulent Phillies Nation TV show. Wow! Everyone has their own talk show these days...#Sad
202625777_357536668494344192 x	RT @EbenezerSpooge8: ?@sganim: Matt Sandusky, Jerry's adopted son, is asking to change his name.?  Why? Matt is a good name.
202625777_357492146447716352 x	David Pollack of ESPN must be on Johnny Manziel's payroll..."He doesn't have to answer this or that..." Come on pal, that's bad reporting...
202625777_357491562361524224 x	Johnny Manziel, by the looks of this offseason, appears to be NFL...Maybe T.O. can give him tips on being on time for meetings. #NFL #Tool
202625777_355521113993908225 x	@EbenezerSpooge8 Umm...
202625777_355164388140920834 x	RT @EbenezerSpooge8: I heard some chatter that the #Flyers may be dangling Coburn. I'd hate to give him up.  #who
202625777_355127939223912448 x	Ben Revere appropriately wears the number 2, simply put, because he plays (literally) like a "Number 2". #Phillies #RAJ #Fraud #Vanimal
202625777_355127204478320641 x	Ben Revere should be arrested for theft...He's the only "speedy" player in MLB who routinely gets doubled up. #Phillies #RAJ #Depressing
202625777_354690138724511744 x	@EbenezerSpooge8 Your "sources"...come on bro.
202625777_354430484467556353 x	"@EbenezerSpooge8: Yikes @JohnBorukCSN is on the Flyers defenseman beat? Exciting." #FlyeredUp
202625777_354302761719971840 x	RT @EbenezerSpooge8: with my boy @SixersCEOAdam out as the Sixers CEO, does that mean @AylaBrown is next? Hope not! Can we just go to next ?
202625777_354018558155558912 x	RT @stinsonsays: True friends don`t judge each other, they judge other people...... together.
202625777_353498254371078144 x	@EbenezerSpooge8 Deep thoughts...How did Jonathan Coachman get a SportsCenter anchor job? Who's next, seriously, Michael Cole? #Unreal #ESPN
202625777_353502345721675777 x	@B_2_da_E @EbenezerSpooge8 Wow...And after doing some research, he has his own radio show on ESPN radio...#Depressing
202625777_353492631403249665 x	@kobebryant @EbenezerSpooge8 Mamba, no loss in Dwight Howard leaving L.A., Andrew Bynum had a more productive season last year. #D12 #Fraud
202625777_353336781296508928 x	RT @stinsonsays: Girls who say, "a lot of guys are after me", should keep in mind that low prices always attract many customers.
202625777_352823632814284800 x	@EbenezerSpooge8 You're such a tool...
202625777_352827701716983809 x	@EbenezerSpooge8 Wrong on so many levels...And I thought you were a die hard jaccpot fan for life...?
202625777_352781035903258625 x	@EbenezerSpooge8 What's Spooge Nation's opinion on the new additions to the Flyers & their chosen jersey numbers? #FlyeredUp
202625777_352780572239728640 x	@Sara_Walsh Sara, just wanted to say that the hair pulled back today is a VERY good look...Have a great 4th of July!
202625777_352780154122149888 x	@Chris_Broussard Hey Chris, what do you think are the chances are if Howard doesn't return to the Lakers, they try to sign Bynum?
202625777_352234818127405056 x	@EbenezerSpooge8 Reality show maybe: "The Black Mamba grooms D-12" or "The Drama that is Dwight", possibly "Clark Kent (aka not Superman)".
202625777_352240510032805888 x	@EbenezerSpooge8 I'm really shocked there is no corresponding sob story like when he "didn't want to leave the Orlando fans"... #ChildPlease
202625777_352235054736482304 x	@EbenezerSpooge8 @MySportsLegion I hope Cleveland has plenty of bowling spots if that is the case...IMO.
202625777_352234856081666048 x	RT @nick_waters: Proposed: This season, Sixers should shoot off confetti for losses instead of wins.
202625777_352233055349522432 x	RT @EbenezerSpooge8: Sports radio hockey talk is hilarious.  None if the callers or hosts actually know what they're talking about. @NK975
202625777_352071204292673536 x	RT @EbenezerSpooge8: My sources are telling me that the Sixers might go Linsane.
202625777_350378431336296448 x	@EbenezerSpooge8 Seriously? It may shock u, but someone close/involved is cooperating with police, hence the 2012 connection. #GetAClue #Duh
202625777_350020926039015425 x	RT @EbenezerSpooge8: I feel for Aaron Hernandez.  Wrong place wrong time.  Nice guy.
202625777_349858753849475072 x	RT @cmcorso2: Tough day for Brzy found out that the Flyers will pay him  $1.6 million per year for the next 14 years to not play for them #?
202625777_349709396676317185 x	@EbenezerSpooge8 You have to admit that times are tough when you get schooled by Bryz...Just sayin'. "Bears in woods"  clowned you? #Weak
202625777_349712286153322496 x	@EbenezerSpooge8 Umm yeah bro, I'd love to play up you being clueless about it, except for all your #BostonStrong #TorontoStronger tweets...
202625777_349713315410358274 x	@EbenezerSpooge8 Dare I ask why??? Do I even want to know??? She's a hell of a journalist...#AnotherNotch #LongHairDontCare #SorryNotSorry
202625777_349715232144371713 x	@EbenezerSpooge8 Naa...Maybe she blocked you by accident? (sarcastic sigh...) Who knew she'd block you before C. Webb??? #Unexpected #Ironic
202625777_349704768509317121 x	"@EbenezerSpooge8: ? ?@howardeskin: #phillies RP Mike Adams likely out for season multiple tears in his shoulder.? Eskin ever have news?
202625777_349708872396709888 x	@EbenezerSpooge8 And by "lately" you mean that the king (the actual self-proclaimed "King", not #LBJ) has had a rough decade or so? #Clown
202625777_348897113507241984 x	RT @EbenezerSpooge8: Sitting in Union traffic. I see you, stupid soccer. ?
202625777_348714813054124032 x	RT @RonTheAnchorman: By the power invested in me, I now pronounce you: deleted and blocked. You may now kiss my ass.
202625777_348714315488034816 x	RT @RonTheAnchorman: If your tweets have never offended anyone, then you tweet like a little bitch.
202625777_348122212454252544 x	RT @EbenezerSpooge8: I'm going to the #Media5Miler tonight. Not running, just attending. #FromMediaToBoston #PrayForBoston #bostonstrong #U?
202625777_347413612622659584 x	RT @EbenezerSpooge8: Tomorrow night might just be a must-win game for the Spurs and Heat. Not sure though. /@donovanjmcnabb
202625777_347206791538569217 x	Deep thoughts: Is there a bigger bromance in sports then Jeff VanGundy & Mike Breen being all over Danny Green? Where's the #NBAonTNT crew!
