82123384_348618823588532225 x	"Who the hell is Happy Gilmore?" #justtapitin
82123384_396629677596762112 x	RT @modrnhealthcr: The NEW Modern Healthcare is here! FREE sample subscription: http://t.co/eiG5WwcjtH
82123384_394817820879360001 x	Reading @beckershr The Infection Control Round-Up: 10 Major Stories From the Last Half of 2013 http://t.co/CcgDY5mJIk
82123384_394247579737010176 x	Bernard Hopkins still boxing at age 49: amazing! #hopkins
82123384_394245921946763264 x	RT @DeloitteHealth: The Future of the Health Care Insurance Industry http://t.co/ushkF51uKV via @WSJ #CFO
82123384_393209440788574208 x	The 2013 Red Sox are no '93 Phillies, but they are pretty cool (for a non-Philly team)!
82123384_392762343509483520 x	RT @alexnazaryan: Why Dave Eggers's new novel is urgent, brilliant and all too true http://t.co/vz6vna3Xzk (via @Newsweek)
82123384_392762296688447488 x	RT @Carl_C_Icahn: Sold block of NFLX today. Wish to thank Reed Hastings, Ted Sarandos, NFLX team, and last but not least Kevin Spacey: http?
82123384_392612135546941440 x	RT @Health_IT: Webinar: Engaging #Patients through the Transitions of Care Webinar, today at 1pm Eastern, http://t.co/obgMYbhbob #homehealt?
82123384_390081430581436416 x	RT @marcmaron: Accidentally bought @BarbarasBakery Shredded Oats instead of Puffins. #dealing
82123384_390048035952414720 x	RT @AustinCarr: Apple Hires Burberry CEO To Rejuvenate Retail Stores http://t.co/A1NoPLkROM
82123384_389400627300028416 x	@joshuameltzer if you're afraid to play some ball next Sunday AM, I'd totally understand, but if coach goes, I go...AW!!!
82123384_389063261548969985 x	RT @lisabari: Extremely proud of @PracticeFusion's board - 50% female - Why Board Diversity Is Especially Important in Healthcare http://t.?
82123384_367850993809375232 x	@debantsam Heron Rd. in the house! There goes the twitterverse neighborhood !!
82123384_389062136821215232 x	RT @WSJ: How to innovate: Find an annoying problem people deal with every day. Then think of ways to fix it, writes @fmanjoo. http://t.co/w?
82123384_388474513476030464 x	RT @JosephJEsposito: Good overview of open access publishing in The Economist http://t.co/EgSBQSGJuQ
82123384_387919923701616640 x	RT @JohnCMaxwell: Be thankful for problems. If they were less difficult, someone with less ability might have your job. -James A. Lovell
82123384_387919763525345280 x	RT @PhillyInquirer: A New York foodie finally makes the trip to Philly and chocolate without the calories. Today on the Talk http://t.co/b8?
82123384_387919485870804992 x	RT @WileyNews: On the Publishing Perspectives Stage at #fbm13 with Mark Allin sharing his views on professional development publishing
82123384_386848043246841856 x	RT @bmj_latest: Healthcare staff must properly introduce themselves to patients? Kate Granger says it's not just a common... http://t.co/lB?
82123384_386847856591900672 x	RT @JuliaLampam: The wiley-on-twitter-2 Daily is out! http://t.co/pR4QZScJ1g ? Top stories today via @specANDsepNOW @jbiophotonics @Chemist?
82123384_386120630942183424 x	Elvis Costello + The Roots = Super cool!  http://t.co/NnJgYIj9qR
82123384_385156546499739648 x	RT @dsgold: Sometimes I think I already do! (-:  Would you take healthcare advice from a hologram? via @medcitynews  http://t.co/YnVtV3preT
82123384_385154778327945216 x	RT @ChiliPeppers: Explore the history of the Red Hot Chili Peppers now on http://t.co/uLSDv5J8GA #imwithyou
82123384_384872647567609856 x	RT @BillDoty: Hey guys, if the government shuts down, don't post spoilers about it in twitter.
82123384_383230878198931457 x	Bill Gates admits CTRL+ALT+DEL was a mistake, still hasn't accepted blame for 'Clippy' http://t.co/tjBRsqtm5q
82123384_381855610993930240 x	Yes, please! Best Fall Jacket: The Rainier on sale @JackThreads http://t.co/BnHMDvM4Vt
82123384_381123338883452928 x	More wisdom from noted philosopher Louis C.K. http://t.co/2M27WnaMo1
82123384_381122644730335232 x	Fascinating explanation of The Eagles' failed 'swinging gate' 2 pt conversion and why Chip Kelly tried it: http://t.co/XvZrcrTsG5
82123384_379089058968141824 x	RT @FactsInYourFace: A waitress received $3 million when one of the customer split a lottery ticket with her in place of tip and won $6 mil?
82123384_377615247902646272 x	"When dictators commit atrocities, they depend upon the world to look the other way until those horrifying pictures fade from memory"#POTUS
82123384_377476527417745408 x	RT @cnnbrk: Apple event about to start. Spotted in the audience: @marissamayer of Yahoo. http://t.co/x0dCX7sHOQ
82123384_377476168595021824 x	RT @foobooz: The @GenosSteaks line wraps around beyond Ray's Happy Birthday Bar. http://t.co/KPOK0T8P7A
82123384_377474759019483136 x	RT @SportsCenter: How impressive was Philadelphia on #MNF? The team's Super Bowl odds at Las Vegas Hotel Superbook improved from 50-1 yeste?
82123384_377472972396953600 x	RT @MattBarkley: Great win for the @eagles last night!! It?s just the beginning
82123384_377472822089904130 x	RT @TheAtlantic: 'It's the Internet in your pocket': Revisiting Apple's amazing iPhone keynote from 2007 http://t.co/8YlxO4uqyU
82123384_376739430058704896 x	@never_wet I have never been this excited after using a plunger. Remarkable! http://t.co/yIEjCPbjyl
82123384_376700826741641217 x	RT @Peggynoonannyc: What are the American people thinking? Probably some variation of: Wrong time, wrong place, wrong plan, wrong man. http?
82123384_376693185432793088 x	"@BenjieB20: Video games can improve the mental skills of the elderly! http://t.co/CjSICdZda9" can't wait to play you at the home @howeirdJ
82123384_376690247046033408 x	RT @FactsInYourFace: Emerson Moser retired after making 1.4 billion crayons for Crayola for 37 years -- Then announced he was colorblind.
82123384_376688866243391488 x	RT @davidgregory: A1 in today?s @nytimes: With the World Watching, Syria Amassed Nerve Gas http://t.co/0MhPcI3Mmy
82123384_376688114410217472 x	RT @LollyDaskal: RT @valaafshar: "if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stup?
82123384_376686798027915264 x	"The only stability you have is to build a skill set that allows you to control your own destiny." Great point @BillAulet
82123384_376686420821561346 x	Finally watched Skyfall. Great Bond movie but the ad placements were waaay over the top.
82123384_376686050846179328 x	RT @fdestin: Less fluff, more substance: how MIT's @billaulet looks at teaching entrepreneurship:  http://t.co/KiPkGtHOwV
82123384_376162273930543104 x	NBA arenas to have motion-tracking cameras http://t.co/qHl3dOXnHZ?
82123384_375819536068804608 x	RT @FactsInYourFace: 55% of the people in the world, have never made or received a phone call in their life.
82123384_375606875019943937 x	What Brotherly Love truly means http://t.co/uqo8ufNmnJ #FlyEaglesFly
82123384_375598409539125249 x	RT @dougsheridan: "The evidence suggests that combining two weaklings doesn't create a strong player." -- Robert Bruner
82123384_372557946313781248 x	RT @pencoyd: Despite the past several hours of my life, the Syrian Electronic Army really doesn't matter. The actual Syrian army is killing?
82123384_372466694469345280 x	RT @BleacherReport: VIDEO: The Eagles security guards actually run drills and practice taking down streakers http://t.co/KulQrnVyUk
82123384_372433405310300161 x	RT @Esquiremag: From 1969, Bob Hope on what Neil Armstrong should have said: "I'll be darned, it's made of cheese!" http://t.co/oTliiuLlmq
82123384_372433074186760193 x	RT @Deadspin: The Mets trade Marlon Byrd hours before Marlon Byrd t-shirt night: http://t.co/mfq8Fl8wls
82123384_372433004540358657 x	MTV has changed a bit: In '96, Smashing Pumpkins, Alanis Morrisette, and Fugees played & Van Halen reunited. Better than Miley?! Uh, yes!
82123384_372431404404981760 x	Madden Football: entertaining me since I was 15 years old and still going strong! http://t.co/RFTMaQMWdi
82123384_372125265419579392 x	@joshuameltzer you've got the Twitter brevity thing down!
82123384_371707242963546112 x	The Phillies are looking good today and wow can those announcers babble #phillies
82123384_371706721296998400 x	@debantsam I'm in The Hill holding the fort down. Somebody has to do it!
82123384_371705208042434560 x	RT @kevinseccia: Someone took the empty seat next to me on the train. This country is broken.
82123384_371704979851321345 x	RT @JaneFriedman: Want to publish an ebook but need a clear intro to the services & tools? Tomorrow I'm teaching an online class: http://t.?
82123384_371704717082365952 x	RT @Accenture: Learn what 3,700 doctors around the world are saying about the #futureofhealth. http://t.co/BEvKCbA68A
82123384_371691662076280832 x	@joshuameltzer what's up Melt? We stayed at Revel in AC for a wedding, awesome hotel even if its in Ch. 11.
82123384_371697494717374464 x	@joshuameltzer absolutely
82123384_371692363603009536 x	RT @Trouty20: Good luck to Coach Kelly and the @Eagles this season! Can't wait to watch @MikeVick and @CutonDime25 do their thing !#FlyEagl?
82123384_370728070036344832 x	@TIME The photo on today's WSJ of children after alleged poison attack is haunting. How can there not be some intervention?
82123384_370727513053749249 x	RT @MorganFreeman__: One of the hardest decisions you?ll ever face in life is choosing whether to walk away or try harder.
82123384_370648525253517312 x	NSA can spy on 75% of U.S. Net traffic, isn't that more elemental than what pronouns to use to describe Pfc. Manning?http://t.co/KxYpAhdOil
82123384_370644104813621248 x	@joshuameltzer Maverick's re-engaging, sir: http://t.co/lAXunudY4l
82123384_370643481967869952 x	@Carl_C_Icahn You are everywhere! What can I do to be invited to dinner with Tim?
82123384_368515404295307264 x	RT @HarvardBiz: Between 1960 and 2008, the number of uses of "I" or "me" increased 42%, and instances of "we" or "us" declined 10% http://t?
82123384_367985000047996928 x	RT @Carl_C_Icahn: Had a nice conversation with Tim Cook today. Discussed my opinion that a larger buyback should be done now. We plan to sp?
82123384_367853871315816448 x	@debantsam yes I am living near where Cutler used to live. Long commute to Hoboken though. Are you still in Maryland? It's nice there
82123384_367852283104866304 x	@debantsam no it means you're  tweeter or something like that. I drive by Heron Dr. all the time and fondly remember being late for school!
82123384_367849884747317248 x	RT @FactsInYourFace: In Terminator 2, Schwarzenegger only spoke 700 words and was paid $15 million. That means 'Hasta la vista, baby' cost ?
82123384_367849600549670912 x	RT @FactsInYourFace: Buddy Guy's complete Rock & Roll Hall of Fame acceptance speech: "If you don?t think you have the blues, just keep liv?
82123384_367845740259065856 x	RT @CNBC: The U.S. Bureau of Engraving and Printing botched 30 million hundred-dollar bills, making $3 billion dollars useless: http://t.co?
82123384_367592039828824064 x	NFL quarterback scouting, in terms of 1990s computer hardware http://t.co/68mYzI8Krp via @sbnation
82123384_365969410759991297 x	17 Examples Of Kobe Bryant's Insane Work Ethic http://t.co/7M5w6a1qCP
82123384_365968210064969729 x	Woody Allen: What I've Learned http://t.co/yNFSX8OrW4
82123384_365416541958844418 x	Eli and Peyton Manning Made a Hilarious Rap Video http://t.co/6rGMTruPqs
82123384_365414657344811008 x	The power of "all-you-can-read" models http://t.co/qlmcjnSJH3
82123384_365396978311503872 x	Jeff Bezos, The Post?s incoming owner, known for a demanding management style at Amazon http://t.co/dsUZub1Q4u
82123384_362246693942599680 x	"I hope this email finds you well" has to stop now...this isn't the Pony Express. It found me I just didn't want to be found mmkay?
