1033824276_360794985064443905 x	@ThompsonToronto ty!
1033824276_395795523954683904 x	love this idea! http://t.co/6SNxKiU95d
1033824276_395563114055213056 x	Tom Papa - Fitting In (Comedy Central) - sage words @tompapa  http://t.co/ObRvHs2E2n
1033824276_395551365268664320 x	Key & Peele: Karim and Jahar - "ehhh, not a lot to go on, there..." http://t.co/u44xMeGxXU
1033824276_395547660171493376 x	Key & Peele: Slow Brotion omg... laughed so hard at this? http://t.co/lGl8nMyijz
1033824276_394286358459457536 x	RT @tompapa: Dixon Ticonderoga.  Now that's a name.
1033824276_393751333703921665 x	http://t.co/3HsvWKyUcX?
1033824276_393593215070126080 x	RT @TabathaSouthey: Here you go, a whale skeleton. http://t.co/aGkpySsY4z
1033824276_393205833913233408 x	Key & Peele: Yo Mama Has Health Problems ...snap, mr lewis, oh snap... http://t.co/Epk2LWW4Ck
1033824276_392970237408075776 x	@brittmauro messy ?
1033824276_392970100262699008 x	@brittmauro working on it!!!
1033824276_392836965952802817 x	mid-way refinishing process... http://t.co/ingozpqpLb
1033824276_392969981446483968 x	@GoBuddyErrands thanks!! 'after' pics to come...
1033824276_392836657579180032 x	before - - http://t.co/Gu3YXdSLOt
1033824276_391397761578729474 x	?@cbcfifth: You are now 14 times more likely to be a homicide victim in Mexico than in Canada #cbcfifth? omg not keen to go...
1033824276_391370596623200256 x	@colinjustin statement piece ~ eek?
1033824276_390931984320458752 x	#barndoor prior to installation; painter's tape on pull still... weighs a ton... http://t.co/twEHlfAZma
1033824276_390929794516254720 x	haha... onion-cutting goggles http://t.co/k1hUGFkRtv
1033824276_389605116182921216 x	happy thanksgiving! MadTV cooking tutorial w/ @willsasso & @ariesspears #canadianthanksgiving http://t.co/A37EWghsCg
1033824276_389605495901671425 x	@WillSasso @AriesSpears #howboutalittlestuffingmusic
1033824276_389056051170930690 x	RT @ItsAmazingEarth: The most dangerous hike in the world, Mt. Huashan, China! http://t.co/IwPrOlCPsY
1033824276_388868692664020992 x	RT @cbcfifth: On average in this country we consume 26 teaspoons of sugar per person per day.That's 40 kilos a year ? the equivalent of 20 ?
1033824276_388130464130539522 x	RT @guyism: Dog For Sale http://t.co/xgsZVHn1J4
1033824276_387251528915894273 x	RT @CACP_ACCP: Our thoughts go out to @edmontonpolice and handler Const. Matt Williamson on the stabbing death of PSD #QuantoRIP http://t.c?
1033824276_387250163577659392 x	RT @MrDerekNoakes: He's smiling even though his teeth aren't quite ready. I loves him. http://t.co/dVrom4WFMM
1033824276_387238448043544577 x	good read #dennisbock #goinghomeagain http://t.co/OqLOHctXhe
1033824276_386980197473320961 x	RT @SummerCandyRN: AMA? http://t.co/iCPUTqrNYE
1033824276_386672474034683905 x	@willsasso Kinny Rah-gers Aice Creem Pahr-lahr  http://t.co/uyB6kosjsi ~boo-da-loo-da-loo~
1033824276_386548728946909184 x	@phillamarr - - who's bad? http://t.co/EQDMis2fx2
1033824276_386131691439259648 x	ceiling - bathroom http://t.co/sdYTngTPau
1033824276_386131307471704064 x	more bathroom http://t.co/kWDkcWdhyW
1033824276_386130603029962752 x	bathroom http://t.co/36E2yWFnRp
