266269788_391719204673847296 x	never catch a break.
266269788_399930982624931840 x	RT @carlieemariexo: "Love must be sincere. Hate what is evil; cling to what is good" (Romans 12:9)
266269788_399631648691863552 x	"God created the world in 7days.... I shattered mine in 7seconds." #7pounds
266269788_398870772472889344 x	"The stars spell out your name" cinema skrillex remix
266269788_398861249620217856 x	You can rarely trust people nowadays
266269788_398535134338875392 x	Do what needs to be done, even if you dont want to do it at all
266269788_398506195105112064 x	@DidItOnEMM is really cute
266269788_398505543217991683 x	No one honest has a easy life
266269788_398476703812816896 x	@zAaYy_WiLly OOOOHHH
266269788_398165709584621568 x	You will always be on my mind no matter how hard i try not to think of you.
266269788_397899050378625024 x	For a girl... I dont think i ever met such a fake as you...
266269788_397914026233323520 x	@JoeyZaZa13 haha its my friend for a school thats near me.. Not who ya thinking of ill text ya her name
266269788_397738113847803904 x	Your everything anyone could ask for
266269788_397763911367536640 x	@Mike_Bernstein for?
266269788_397389789181509632 x	Never be scared to stand up for what your belief is.
266269788_397159042021609472 x	@KacieFOX29 i love you ? so does @Ur_In_Zane ???
266269788_397151504198828032 x	I rather have a pure relationship with god as the center of it... Then parting and having sex.
266269788_397063663854837760 x	Cheers to our amazing god for being so loving and forgiving ?
266269788_396756776533884929 x	@LeahDeTo dude what a stud muffin
266269788_396736579060129792 x	RT @maddog_97: Jesus replied, "You do not realize now what I am doing, but later you will understand."   John 13:7 ??
266269788_396685504554741760 x	Let's get it #therack http://t.co/boLFqX8wuR
266269788_396470600136671233 x	My fav people ever @Mike_Bernstein @mairead_pfeil http://t.co/xuxeDP5SHB
266269788_396325243717156864 x	@DidItOnEMM like dissss one?? And commenting on it?
266269788_396304123840462848 x	Snap chat me at- bjgzaza13
266269788_396257943311904768 x	@MikeFOX29 http://t.co/m0LRBquEw4
266269788_396266592075804672 x	@MikeFOX29 #lookatmefox29
266269788_396266732509483008 x	@MikeFOX29 @SheinelleFox29
266269788_396260765600325632 x	@MikeFOX29 very bad up in skippback http://t.co/6efGsZ0Jhz
266269788_396254151627534336 x	No shave November?
266269788_396142934464405504 x	@LeahDeTo what about Jesus?
266269788_395989815273209857 x	Everytime i see you post on her i just think "fake fake fake fake" "player player player player"
266269788_395925400955932672 x	@LeahDeTo a pumkin?
266269788_395914686472151040 x	My belief in cheaters is simple. If you decide to cheat, stay single. You do not deserve a good girl until you get your self to be faithful.
266269788_395607801005105152 x	my heart and my soul i give you control... consume me from the inside out lord?
266269788_395596065778724864 x	forgive and forget. but always remember what they did to you...
266269788_395521932248236032 x	judge others and you will be judged in return
266269788_395224543796940800 x	@LeahDeTo who needs a butt kicking?
266269788_395226820037312512 x	@LeahDeTo ? buns are done
266269788_395224368571498496 x	dont claim to be someone your not
266269788_394965018196066306 x	RT @kaseyxdanielle3: just because I'm being short on texts, DOES NOT mean I'm mad.. I just probably am exhausted, not wanting to talk or bu?
266269788_385558010263011328 x	@raqueldella ahh nice nice
266269788_394776937610362880 x	why care if others judge you? the only real person you should worry about is god, because he is the real judge not others. #godsthejudge
