1069258898_380367392058400768 x	RT @kadouds: Pandora is treating me right.
1069258898_380367361683255296 x	Caffeine pulsing through my veins ???
1069258898_392092518604881920 x	RT @KaileyHoracek: I hate the Sunday night feeling.
1069258898_395773219829194752 x	RT @SarahKSilverman: Spoiled rich kids who've never heard the word no are such a delight to be around in general
1069258898_395772159303634944 x	RT @SarahKSilverman: Just a quick reminder: other people exist
1069258898_395772117436084224 x	RT @SarahKSilverman: Life is sacred.  (Everyone's is.  Not just yours. Not just the people that agree w you)   It's not complicated its sim?
1069258898_395771930667937793 x	RT @SarahKSilverman: Pirate skulls & bones Sticks & stones & weed & bombs #MIA
1069258898_395771549925797888 x	RT @SarahKSilverman: The uber rich shouldn't be able to buy political policy, but they are. Straight up
1069258898_395771165958213632 x	RT @rickygervais: What will it feel like after you die? Exactly the same as it felt for those billions of years before you were born. Enjoy?
1069258898_395768458790854656 x	RT @GUBLERNATION: HALLOW'S EVE EVE!... lets find some ghosts or make some pie or something
1069258898_394111184833892353 x	I suck at expressing myself through twitter but @VanessaShah knows what's up tho
1069258898_395748388177993729 x	@BigGigantic I am a HUGE fan from here in ATL! Was so pumped for the after show with Conspirator, but the tickets have sold out! #desperate
1069258898_395745755136557056 x	?????????????? #AmericanHorrorStory
1069258898_395744986387734528 x	RT @MsSarahPaulson: Our city rises or falls on the strength of our public schools." - @deBlasioNYC http://t.co/BPUziGYv5W #NYC2013
1069258898_395664642707849216 x	RT @warsan_shire: even in our safe spaces we speak in coded languages
1069258898_395614175055331329 x	I can't get over how absolutely gorgeous everything looks and feels in the fall ???
1069258898_395607506346840064 x	RT @girlsHBO: #ScarilyHotSlashAmazing #Halloween http://t.co/Jxa5oBF6fz
1069258898_395606983447183360 x	RT @DisturbingPict: Halloween 1926 http://t.co/5acrJWg3g8
1069258898_395605906140200960 x	RT @GreatestQuotes: "He who is not everyday conquering some fear has not learned the secret of life." - Ralph Waldo Emerson
1069258898_395605746639204352 x	@sarah__nash no I had an ugly sweatshirt on.
1069258898_395582477223608320 x	I was also very productive this morning, so I feel GREAT right now
1069258898_395582076868894722 x	Yesterday a man stopped me in the street and said, "I'm sorry, but you have the sexiest walk ever." #mademyday
1069258898_395408066919010304 x	@MizzCheddy I feel you!!! ?
1069258898_395407949692424193 x	RT @knifesex: hello friends i wrote a special halloween feedbuzz article http://t.co/bz4ZpCpvFT
1069258898_394900434906669056 x	the more GA/FL profile picture updates I see, the more confident I feel in my decision not to go.
1069258898_395407515418394624 x	@MizzCheddy it's just not for me! ? I'm lame I know
1069258898_395407338250969088 x	http://t.co/aGEb5dWFz4
1069258898_395395640186142720 x	RT @tbhnoonecares: hungry isnt even a feeling for me anymore its become a personality trait
1069258898_395395162350043137 x	@phoenixkarazona Isn't it always...
1069258898_395394983932735489 x	RT @StayChiIl: #IfWeDate http://t.co/x5nyPMbao4
1069258898_395394842026860544 x	RT @_Snape_: The fox says you're a Hufflepuff.
1069258898_395394270947184640 x	#candycoma
1069258898_395363793284632576 x	RT @neiltyson: We spend more time forcing students to learn than we do motivating them to learn in the first place.
1069258898_395363755242303488 x	RT @ColIegeStudent: Is it too early in the week for a mental breakdown yet
1069258898_395325169805582336 x	RT @LauraEsposito03: Words cannot express my excitement for $3 @ChipotleTweets on Thursday!
1069258898_395288563686047746 x	RT @deer_world_: NICHOLAS FLAMEL
1069258898_395265329552957440 x	RT @deer_world_: Who are all of these wonderful people I know
1069258898_395245332856315904 x	RT @SatansDopeBoy: I long to cling to you like cigarette smoke to your jacket.
1069258898_395217281003053056 x	RT @NewYorker: Adam Gopnik reflects on the assassination of J.F.K., fifty years later: http://t.co/Z2Q6vxxyEA
1069258898_395211011252568064 x	@MizzCheddy that makes me sad
1069258898_395210862094745600 x	RT @UncleBlazer: I dont trust the government and I sure as fuck dont trust Sonics fast food commercials.
1069258898_395198587942211584 x	At this point, missing what "home" used to mean, used to be. Longing for a place that no longer exists.
1069258898_395168154449887233 x	RT @GratefulQuotes: I know that the life I'm living's no good; I'll get a new start, live the life I should; I'll get up and fly away.  #Gr?
1069258898_394966784744624128 x	My life is an infinite sequence of disappointments and false alarms.
1069258898_394899381289484288 x	RT @trevso_electric: It's that magic time of year when it's safer to have unprotected sex with a stranger than to touch a bathroom door han?
1069258898_394899141752811520 x	RT @everyword: torrid
1069258898_394899054016331776 x	RT @townscoutathens: Happy Monday! Tell us how you made Athens a better place this weekend. We will choose two people and give them both 5 ?
1069258898_394899018800971776 x	RT @heykellyy: Initiative. Knowledge. ----> the future #gag @seyiamosu
1069258898_394850019733692417 x	The day our youth stops getting distracted by music industry slaves like @MileyCyrus is the day we will finally start a revolution.
1069258898_394812340757348353 x	RT @deer_world_: Halloween is like valentines day for weird people  yay
1069258898_394812281009504256 x	RT @KaileyHoracek: When I have my nails painted I feel like I really have my shit together even though I don't.
1069258898_394811918772621312 x	RT @cristina_gnecco: in shambles
1069258898_394804143757733888 x	I've exhausted my emotional supply for the year.
1069258898_394803753884581888 x	RT @whitjinks: So proud of my @UGACC team for receiving the 2nd place PRServing America Award for our work with @BFK_Athens! Thank you @PRS?
1069258898_394655255067381761 x	RT @camitorresxo: the moment you feel like you have to prove your worth to someone is the moment to absolutely and utterly walk away #LadyB?
1069258898_394655122242166784 x	"Life starts all over again when it gets crisp in the fall." F. Scott Fitzgerald
1069258898_394643707917766656 x	RT @heykellyy: My house is actually a bagillion degrees colder inside than outside right now
1069258898_394643153141366784 x	RT @trevso_electric: Girls use exclamation points to emphasize how platonic their feelings for you are.
1069258898_394476243955240960 x	#sanitized #noworries
1069258898_394476107279634432 x	Oh and last night me and my friends all pierced our ears with the same needle. #bffs
1069258898_394475043096653825 x	@nash_jasmin me and Bronson had a bad night. http://t.co/gZJjlHSzZN
1069258898_394474664346812416 x	Nothing thing like climbing into a pile of blankets to be reunited with your beloved phone charger ???
1069258898_394140654538063872 x	@nash_jasmin too cold to leave my bed to got food. #Duh
1069258898_394119705977683968 x	"Rebel children, I urge you, fight the turgid slick of conformity with which they[school systems] seek to smother your glory" Russell Brand
1069258898_394111022728249344 x	RT @VanessaShah: Have came to the realization that everything is a result of the environment you are in and the social groups you interact ?
1069258898_394110657756688384 x	RT @VanessaShah: only thing im good at is making fun of/ imitating ppl... oops O_o
1069258898_394110609916432384 x	RT @VanessaShah: Can we just fast-forward to when I have a bomb ass job?
1069258898_394109634585579520 x	So cold, yet so hungry...
1069258898_394109539215503360 x	I feel like I have a giant marble of pus stuck in the side of my neck.
1069258898_394100101557530624 x	RT @OMGItsTheD: Time flies when you're being lazy as shit lying in your bed in the morning.
1069258898_394099873710366720 x	RT @OMGItsTheD: What the government doesn't want us to know about Area 51 http://t.co/hYyN7Q3cPP
1069258898_394099372721717248 x	"THERE MUST BE MORE THAN THIS PROVINCIAL LIFE!" #ifeelyabelle
1069258898_393927040887689216 x	RT @HistoryInPix: The Man Who Didn't Salute Hitler http://t.co/elsfE22z05
1069258898_393574587411484672 x	RT @KaileyHoracek: I have this problem where my phone is dead like 84 percent of the time
1069258898_393574073533726720 x	RT @allofher_green: Humans disgust me
1069258898_393365645196558336 x	So FYI I'm currently experiencing a major existential crisis. It's both awesome and terrifying, just like any major exploration of the mind
1069258898_393423344944820224 x	@MizzCheddy 7702982651 text me your number and we'll make this happen
1069258898_393409439040278528 x	RT @KaileyHoracek: I have the coordination of a pebble
1069258898_393366383947706368 x	@MizzCheddy life should be so much more simple and peaceful than what our modern society has made it out to be! Come hang out with meee
1069258898_393365356297089024 x	@KaileyHoracek forever awake exploring all possibilities within the mind and the universe
1069258898_393305751323951105 x	RT @deer_world_: I have realized I enjoy provoking existential crises in people
1069258898_393304896646447104 x	My lymph nodes are huge!!!!! #sickaf
1069258898_393022698202628097 x	RT @knifesex: my phone autocorrects your name to throwing itself into the river
1069258898_393022465246769152 x	RT @knifesex: they say if you love something set it free but its just dry heaving at this point
1069258898_393022121448062976 x	RT @carolineplz: I wish waste-prevention was taught more rigorously in public schools. Like a Consumer Studies class required alongside PE ?
1069258898_393021690407837696 x	Athens Transit is literally the bane of my existence...
1069258898_393019500029046785 x	Real eyes realize real lies
1069258898_392094016504098816 x	RT @torielle16: You're not insane, feelings are insane
1069258898_392093380534345728 x	RT @torielle16: "Always the procreant urge of the world" #lol #waltwhitmantrynachill #metoo
1069258898_392093124031709185 x	RT @ColIegeStudent: I got 99 problems and money could solve all of them
1069258898_392092421510946816 x	RT @_BoyzNMotion_: In talks with One Direction about a possible collaboration
1069258898_392092365500194816 x	Blood in my hair. Blood in my sink. Blood in my shower. #successfulnight
1069258898_391250396481855488 x	Most days I can't even believe how bad I let myself look when I walk out the door
1069258898_391057154083663872 x	RT @heykellyy: ?@stephgcastillo: @heykellyy I went to 2/7 classes this week...? My little superstar!
1069258898_391056741217353728 x	RT @heykellyy: This semester is fast forwarding and it needs to just pause for a hot minute
1069258898_391056569364119552 x	RT @reallysadtoday: sometimes you just need to lay on the couch and do nothing for three years
1069258898_390782170983591937 x	RT @mallelis: "Then make the DOG the nanny," Mr. Darling snapped. Mrs. Darling laughed. "I wasn't joking," he said. That was the night ever?
1069258898_390125519184093184 x	@VanessaShah dude same way. Cause it's so dumb and easy I don't even wanna look at it
1069258898_390125205739536384 x	Ordered 2 chicken biscuits this morning. I regret nothing.
1069258898_389976782679834624 x	I'm the same as I was when I was six years old.
1069258898_389975582379089920 x	RT @lenadunham: If there's a murder on my block the police should come talk to me because I've already suspected everyone.
1069258898_389773199690702848 x	RT @reallysadtoday: *Sits in my towel for 6 months after showering*
1069258898_389619102287151104 x	RT @zachbraff: What are your plans for the apocalypse?  I'll be burning my treasury bonds for warmth.
1069258898_389412833932611584 x	RT @WorkaholicBlake: now that the governments down we can open the portal to halloweentown back up
1069258898_389412383028178944 x	It was one of the first times in long time I've been to mass and haven't wanted to burn the Vatican at the stake afterwards.
1069258898_389412109391769600 x	Went to mass this morning. My grandpa held my hand the whole time, then ran towards the communion as if it held more years to his life.
1069258898_389409557891801088 x	No one should feel entitled to anything for any reason.
