114961887_395939555473637376 x	KIMYE @QDEEZYDOTCOM http://t.co/Y2m0GuDMhk
114961887_392051721674817536 x	SLOW, EXAGERATED HEAD NOD. Y'already know ur the man RT @kmattio: If you were in NFL & scored a TD, what would your celebration look like?
114961887_390772916004331520 x	RT @KarenFox29: Wake up call! From the early morning Good Day Gang @KacieFOX29 @KarenFox29 @ChrisFox29 @SueSerioFox29 http://t.co/HIthQCLLuX
114961887_391000095862579200 x	My ice queen @NHLFlyers @caitlinfox29 @fox29philly @MikeFOX29 http://t.co/I4uu70ggqL
114961887_391132679317360640 x	WE WEIRD RT @KarenFox29: Get up! Wake up! TGIF @KacieFOX29 @KarenFox29 @ChrisFox29 @SueSerioFox29 FF @FOX29philly http://t.co/9WFlmUwbUR
114961887_392016106304831490 x	http://t.co/lZjUZ4cncN
114961887_383268888504307713 x	@ptkeenan happy birthday boo boo I slaved in the kitchen all day just for you http://t.co/IqsWDM9imK
114961887_385366345711239168 x	I'll kiss this til the @NHLFlyers score the real cup http://t.co/bN0OrCmnrm
114961887_389284028236726273 x	http://t.co/svDj5TWlsT
114961887_379954065629007872 x	Hate hearing this RT @Deadspin: High school football player dies after helmet-to-helmet hit: http://t.co/NiRY7gmuBU
114961887_395995889346428928 x	Max Talbot to Avalanche for Steve Downie #Flyers
114961887_395865975503216640 x	Luck of the Iverson #undefeated #NBAfinals #MCW #stillperfect #WinsDontGetWiggins http://t.co/OgDa3NYoCu
114961887_395733956613931008 x	? http://t.co/KxyhjEji6y
114961887_395536672689242112 x	Deep fried Twinkie burger from @pytphilly in studio. I need to go hide somewhere. This actually smells good http://t.co/LpLuEvdlJm
114961887_394549703049629696 x	Well, we're on the board, folks! #Eagles
114961887_392611790124638209 x	We're talking #Eagles...Who will start??? @JonMarks975  & not @SeanBrace975 in studio NOW! @FOX29philly
114961887_392571549342896129 x	Kanye West engaged to Kim Kardashian http://t.co/uJI1fntI2t
114961887_391531399247060992 x	Wide awake. 14 year olds, not so much. What's the best place to take 4 of them for breakfast. #oldpeopleprobz
114961887_390418148572557312 x	31 days, nothing but beer & sausage..dude loses 14 pounds. Lemme get that. | http://t.co/ymBJsk3IoO http://t.co/wZ6unkKPeI
114961887_391147431355641857 x	Shirt from last night's game is from @Aphillyated!! http://t.co/kHeluvAeXo http://t.co/vE03Rnk5Lz
114961887_390891790913372160 x	Thinking of starting Zumba! Heard @CaponeD2001 is the best in town!!
114961887_390796348733132800 x	Can't say I'm mad about Charlie Hunnam quitting 50 Shades of Grey cast... Someone get @iansomerhalder on the horn.
114961887_390536585327808512 x	Kris Humphries sells Kim Kardashian's $2M engagement ring, fetches $749K at auction http://t.co/zjFknh3FFd http://t.co/zAXDmajgcq
114961887_390558232483467264 x	Just got the sickest stuff for the next 2 games!! You get yours? If not, no sweat. @mitchell_ness has got you. http://t.co/AovvRsJmUA
114961887_390193354715037697 x	Soldier delivers "most beautiful salute any person had ever seen" after receiving Purple Heart http://t.co/9IUZTvCR68 http://t.co/0RI8y8irdT
114961887_390136239505948672 x	Watch this: http://t.co/YKx51pLKze @FOX29philly @KarenFox29 @SueSerioFox29 @ChrisFox29
