778525020_283180981559640064 x	RT @Madalena_DR: .........#HappyBirthDayLouisFromPortugal
778525020_283180964451082240 x	RT @Madalena_DR: ........#HappyBirthDayLouisFromPortugal
778525020_394969412845195264 x	I love shopping sprees.  Check out my latest purchase from Stardoll, Pink Flower Eyeshadow! http://t.co/fvsXBrcEn7
778525020_392026262577115137 x	I just bought Turquoise on Stardoll. Check out my Suite! http://t.co/fvsXBrcEn7
778525020_392017059116490752 x	Look at what Leopard Print Shift I got at Starplaza.  See it in my Suite http://t.co/fvsXBrcEn7
778525020_391707192476569600 x	I felt inspired and made a new Scenery,  "THE END OF SUMMER".  Can you guess the inspiration? http://t.co/JIynGbB1p7
778525020_391677847259344896 x	I just bought Butterfly Print Pantyhose, First Voile Bridal Skirt, Pas Skirt on Stardoll. Check out my Suite! http://t.co/fvsXBrcEn7
778525020_387687704164442112 x	Read 'True Love Never Dies' on Wattpad http://t.co/2BmQ5NwiL0
778525020_387635790240423936 x	Read 'True Love Never Dies' on Wattpad http://t.co/xrO3owTLqb
778525020_387632023390916609 x	RT @onedirectionfbt: "Eu nasci a km de distancia dos meus ?dolos pra provar que o meu amor ? maior que a distancia." http://t.co/RjBwroY055
778525020_386882118153805825 x	HI  ZAYN @zaynmalik
778525020_386226398719119360 x	Acabo de completar "quem casaria com vc ?" e meu resultado foi: Niall! Experimente: http://t.co/cJLGFBBIyK
778525020_386226081491345408 x	Acabo de completar "Diz ser directioner mas voce ..." e meu resultado foi: Doncaster! Experimente: http://t.co/pO5rVBzpDc
778525020_386225738686672897 x	Acabo de completar "OS FEITICEIROS DE WAVERLY PLACE" e meu resultado foi: Muito bem!!!! Experimente: http://t.co/nE3YBSuM6c
778525020_386224684494503936 x	Acabo de completar "NA BANDA, VOCE SERIA IRMA(O) DE" e meu resultado foi: LOUIS TOMLINSON! Experimente: http://t.co/OIUqjR9rm2
778525020_385118390328651776 x	@Bea_horan We loved it!
778525020_385509963948253184 x	@Bea_horan yes, it really was!!!! they are so per-fect
778525020_385118285194227713 x	#PortugalWantsMeetandGreet
778525020_378499473032241153 x	Happy Birthday!! Have a nice day and a wonderfull life!! Love ya!!
778525020_378256666179158016 x	Acabo de completar "Com quem voce combina ?" e meu resultado foi: Louis Tomlinson! Experimente: http://t.co/1OzrmDvf9c
778525020_378256553629220865 x	Acabo de completar "que direction girlfriend serias?" e meu resultado foi: danielle peazer! Experimente: http://t.co/E7VvXvT4lQ
778525020_378256464587931649 x	Acabo de completar "Qual e a sua diva ?" e meu resultado foi: Selena Gomez! Experimente: http://t.co/XUjNCv99ZX
778525020_378255776609239040 x	Acabo de completar "NA BANDA, VOCE SERIA IRMA(O) DE" e meu resultado foi: LOUIS TOMLINSON! Experimente: http://t.co/OIUqjR9rm2
778525020_376331515614867456 x	Acabo de completar "Qual seriado combina com v" e meu resultado foi: Diarios de um vampiro! Experimente: http://t.co/pH1shFNVmV
778525020_376331375399686144 x	Acabo de completar "Voce seria irma de quem dos m" e meu resultado foi: Louis Tomlinson.! Experimente: http://t.co/VP1bDRydwL
778525020_373842757472645120 x	RT @1DThisIsUs: We love you, PORTUGAL! If you love us back, tweet #PortugalLoves1Dmovie and get it trending! XO ? 1D3DHQ x
778525020_373840847797616640 x	RT @_RaquelMatias_: @NiallOfficial SEE WHAT PORTUGUESE DIRECTIONERS HAVE DONE https://t.co/6TkI4eVhVi ?
778525020_373577047613767680 x	#PortugalLoves1Dmovie
778525020_372874736218304512 x	@Real_Liam_Payne Happy Birthday!! You always will be our Daddy Directioner! http://t.co/LBY6hUidF6
778525020_372868118680334336 x	@Real_Liam_Payne Happy Birthday Liam! I hope you have a great day and also a great life! You're amazing! You make our life shine!
778525020_371744837336178688 x	I #voteonedirection for the 2013 MTV #VMA Best Song of the Summer! See who's in the lead and vote: http://t.co/TOQCb52gu9 #windowsphone
778525020_297769531630313472 x	@NiallOfficial @Real_Liam_Payne @Harry_Styles @Louis_Tomlinson @zaynmalik http://t.co/PlJCI9eX
778525020_371593865553133568 x	@NiallOfficial @Real_Liam_Payne @Harry_Styles @Louis_Tomlinson @zaynmalik This is true!
778525020_368140542355312640 x	Amazing new header on my twitter from http://t.co/bjMf6OZAT6
778525020_368140131577757696 x	Amazing new background on my twitter from http://t.co/bjMf6OZAT6
778525020_368015775463796737 x	I #voteonedirection for the 2013 MTV #VMA Best Song of the Summer! See who's in the lead and vote: http://t.co/TOQCb52gu9 #windowsphone
778525020_366336524939300864 x	@Louis_Tomlinson I don't know how many times I said this but " Follow me please"!! Please!! *-*
778525020_366336442680614912 x	@zaynmalik I don't know how many times I said this but " Follow me please"!! Please!! *-*
778525020_366336372405059586 x	RT @Real_Liam_Payne: ?@liamareyoudtf: @Real_Liam_Payne does this tickle ur peach http://t.co/7TofEcO08G? i love this !
778525020_366336343653101569 x	@Real_Liam_Payne I don't know how many times I said this but " Follow me please"!! Please!! *-*
778525020_366336307649183745 x	@NiallOfficial I don't know how many times I said this but " Follow me please"!! Please!! *-*
778525020_366336254763208705 x	@Harry_Styles I don't know how many times I said this but " Follow me please"!! Please!! *-*
778525020_364874542943969280 x	Acabo de completar "Directioner tipo:" e meu resultado foi: Chorona.! Experimente: http://t.co/aygzRMDUXt
778525020_359805973428322304 x	@paulwesley Happy Birthday!
778525020_359424547390783488 x	Acabo de completar "DESCOBRE O ESTILO 1D" e meu resultado foi: Niall! Experimente: http://t.co/FOTJrs1pvQ
778525020_359080687652970497 x	Acabo de completar "Qual musica do TMH combina com voce?" e meu resultado foi: Kiss you! Experimente: http://t.co/KvUyFS0JTh
778525020_359080558514540544 x	Acabo de completar "Qual musica do TMH combina com v" e meu resultado foi: Last first kiss! Experimente: http://t.co/KvUyFS0JTh
778525020_347038916374839296 x	#PortugalNeedsWWAT #BringWWATtoPortugal
778525020_324977022038335489 x	Acabo de completar "Qual cabelo da Demi conbina con " e meu resultado foi: cabelo Castanho! Experimente: http://t.co/RQKzLBelvI
778525020_324976682580713473 x	Acabo de completar "Harry Potter X Crepusculo" e meu resultado foi: Crepusculo!! Experimente: http://t.co/7WDmomNmGU
778525020_323420783013675008 x	I just voted for Best Hero at the 2013 MTV #movieawards! #votesnowwhite. Go to http://t.co/nCT29pGtBq to see who?s winning and vote!
778525020_323021134830399488 x	I voted for Taylor Lautner for Best Shirtless Performance at the 2013 MTV Movie Awards #movieawards http://t.co/Ws7Izczich
778525020_323020995755646976 x	I just voted for Best Hero at the 2013 MTV #movieawards! #votesnowwhite. Go to http://t.co/nCT29pGtBq to see who?s winning and vote!
778525020_322816333567901696 x	I just voted for Best Hero at the 2013 MTV #movieawards! #votesnowwhite. Go to http://t.co/nCT29pGtBq to see who?s winning and vote!
778525020_322815780838334465 x	I voted for Taylor Lautner for Best Shirtless Performance at the 2013 MTV Movie Awards #movieawards http://t.co/Ws7Izczich
778525020_315247192254324736 x	Acabo de completar "Qual Mino faz seu tipo ?" e meu resultado foi: Niall Horan! Experimente: http://t.co/NGuWebT7T8
